k,d,n,acc
4,2944,4096,1.0
4,3008,4096,1.0
4,3072,4096,1.0
4,3136,4096,1.0
4,3200,4096,1.0
4,3264,4096,1.0
4,3328,4096,1.0
4,3392,4096,1.0
4,3456,4096,1.0
4,3520,4096,1.0
4,3584,4096,1.0
4,3648,4096,1.0
4,3712,4096,1.0
4,3776,4096,1.0
4,3840,4096,1.0
4,3904,4096,1.0
4,3968,4096,1.0
4,4032,4096,1.0
4,4096,4096,1.0
5,64,4096,0.0615234375
5,128,4096,0.84765625
5,192,4096,0.994140625
5,256,4096,1.0
5,320,4096,1.0
5,384,4096,1.0
5,448,4096,1.0
5,512,4096,1.0
5,576,4096,1.0
5,640,4096,1.0
5,704,4096,1.0
5,768,4096,1.0
5,832,4096,1.0
5,896,4096,1.0
5,960,4096,1.0
5,1024,4096,1.0
5,1088,4096,1.0
5,1152,4096,1.0
5,1216,4096,1.0
5,1280,4096,1.0
5,1344,4096,1.0
5,1408,4096,1.0
5,1472,4096,1.0
5,1536,4096,1.0
5,1600,4096,1.0
5,1664,4096,1.0
5,1728,4096,1.0
5,1792,4096,1.0
5,1856,4096,1.0
5,1920,4096,1.0
5,1984,4096,1.0
5,2048,4096,1.0
5,2112,4096,1.0
5,2176,4096,1.0
5,2240,4096,1.0
5,2304,4096,1.0
5,2368,4096,1.0
5,2432,4096,1.0
5,2496,4096,1.0
5,2560,4096,1.0
5,2624,4096,1.0
5,2688,4096,1.0
5,2752,4096,1.0
5,2816,4096,1.0
5,2880,4096,1.0
5,2944,4096,1.0
5,3008,4096,1.0
5,3072,4096,1.0
5,3136,4096,1.0
5,3200,4096,1.0
5,3264,4096,1.0
5,3328,4096,1.0
5,3392,4096,1.0
5,3456,4096,1.0
5,3520,4096,1.0
5,3584,4096,1.0
5,3648,4096,1.0
5,3712,4096,1.0
5,3776,4096,1.0
5,3840,4096,1.0
5,3904,4096,1.0
5,3968,4096,1.0
5,4032,4096,1.0
5,4096,4096,1.0
6,64,4096,0.0048828125
6,128,4096,0.51171875
6,192,4096,0.9326171875
6,256,4096,0.9951171875
6,320,4096,1.0
6,384,4096,0.9990234375
6,448,4096,1.0
6,512,4096,1.0
6,576,4096,1.0
6,640,4096,1.0
6,704,4096,1.0
6,768,4096,1.0
6,832,4096,1.0
6,896,4096,1.0
6,960,4096,1.0
6,1024,4096,1.0
6,1088,4096,1.0
6,1152,4096,1.0
6,1216,4096,1.0
6,1280,4096,1.0
6,1344,4096,1.0
6,1408,4096,1.0
6,1472,4096,1.0
6,1536,4096,1.0
6,1600,4096,1.0
6,1664,4096,1.0
6,1728,4096,1.0
6,1792,4096,1.0
6,1856,4096,1.0
6,1920,4096,1.0
6,1984,4096,1.0
6,2048,4096,1.0
6,2112,4096,1.0
6,2176,4096,1.0
6,2240,4096,1.0
6,2304,4096,1.0
6,2368,4096,1.0
6,2432,4096,1.0
6,2496,4096,1.0
6,2560,4096,1.0
6,2624,4096,1.0
6,2688,4096,1.0
6,2752,4096,1.0
6,2816,4096,1.0
6,2880,4096,1.0
6,2944,4096,1.0
6,3008,4096,1.0
6,3072,4096,1.0
6,3136,4096,1.0
6,3200,4096,1.0
6,3264,4096,1.0
6,3328,4096,1.0
6,3392,4096,1.0
6,3456,4096,1.0
6,3520,4096,1.0
6,3584,4096,1.0
6,3648,4096,1.0
6,3712,4096,1.0
6,3776,4096,1.0
6,3840,4096,1.0
6,3904,4096,1.0
6,3968,4096,1.0
6,4032,4096,1.0
6,4096,4096,1.0
7,64,4096,0.0
7,128,4096,0.2109375
7,192,4096,0.7890625
7,256,4096,0.966796875
7,320,4096,0.9990234375
7,384,4096,0.9990234375
7,448,4096,1.0
7,512,4096,1.0
7,576,4096,1.0
7,640,4096,1.0
7,704,4096,1.0
7,768,4096,1.0
7,832,4096,1.0
7,896,4096,1.0
7,960,4096,1.0
7,1024,4096,1.0
7,1088,4096,1.0
7,1152,4096,1.0
7,1216,4096,1.0
7,1280,4096,1.0
7,1344,4096,1.0
7,1408,4096,1.0
7,1472,4096,1.0
7,1536,4096,1.0
7,1600,4096,1.0
7,1664,4096,1.0
7,1728,4096,1.0
7,1792,4096,1.0
7,1856,4096,1.0
7,1920,4096,1.0
7,1984,4096,1.0
7,2048,4096,1.0
7,2112,4096,1.0
7,2176,4096,1.0
7,2240,4096,1.0
7,2304,4096,1.0
7,2368,4096,1.0
7,2432,4096,1.0
7,2496,4096,1.0
7,2560,4096,1.0
7,2624,4096,1.0
7,2688,4096,1.0
7,2752,4096,1.0
7,2816,4096,1.0
7,2880,4096,1.0
7,2944,4096,1.0
7,3008,4096,1.0
7,3072,4096,1.0
7,3136,4096,1.0
7,3200,4096,1.0
7,3264,4096,1.0
7,3328,4096,1.0
7,3392,4096,1.0
7,3456,4096,1.0
7,3520,4096,1.0
7,3584,4096,1.0
7,3648,4096,1.0
7,3712,4096,1.0
7,3776,4096,1.0
7,3840,4096,1.0
7,3904,4096,1.0
7,3968,4096,1.0
7,4032,4096,1.0
7,4096,4096,1.0
8,64,4096,0.0
8,128,4096,0.0849609375
8,192,4096,0.576171875
8,256,4096,0.904296875
8,320,4096,0.986328125
8,384,4096,0.998046875
8,448,4096,0.9990234375
8,512,4096,1.0
8,576,4096,1.0
8,640,4096,1.0
8,704,4096,1.0
8,768,4096,1.0
8,832,4096,1.0
8,896,4096,1.0
8,960,4096,1.0
8,1024,4096,1.0
8,1088,4096,1.0
8,1152,4096,1.0
8,1216,4096,1.0
