k,d,n,acc
47,1088,4096,0.0107421875
47,1152,4096,0.0458984375
47,1216,4096,0.0869140625
47,1280,4096,0.138671875
47,1344,4096,0.2158203125
47,1408,4096,0.2783203125
47,1472,4096,0.390625
47,1536,4096,0.45703125
47,1600,4096,0.55859375
47,1664,4096,0.6083984375
47,1728,4096,0.7138671875
47,1792,4096,0.771484375
47,1856,4096,0.8330078125
47,1920,4096,0.861328125
47,1984,4096,0.890625
47,2048,4096,0.9150390625
47,2112,4096,0.9365234375
47,2176,4096,0.9482421875
47,2240,4096,0.955078125
47,2304,4096,0.96875
47,2368,4096,0.974609375
47,2432,4096,0.9873046875
47,2496,4096,0.9892578125
47,2560,4096,0.9970703125
47,2624,4096,0.994140625
47,2688,4096,0.9970703125
47,2752,4096,0.998046875
47,2816,4096,0.9970703125
47,2880,4096,0.998046875
47,2944,4096,0.9990234375
47,3008,4096,0.9990234375
47,3072,4096,1.0
47,3136,4096,1.0
47,3200,4096,1.0
47,3264,4096,1.0
47,3328,4096,1.0
47,3392,4096,0.9990234375
47,3456,4096,0.9990234375
47,3520,4096,1.0
47,3584,4096,1.0
47,3648,4096,1.0
47,3712,4096,1.0
47,3776,4096,1.0
47,3840,4096,1.0
47,3904,4096,1.0
47,3968,4096,1.0
47,4032,4096,1.0
47,4096,4096,1.0
48,64,4096,0.0
48,128,4096,0.0
48,192,4096,0.0
48,256,4096,0.0
48,320,4096,0.0
48,384,4096,0.0
48,448,4096,0.0
48,512,4096,0.0
48,576,4096,0.0
48,640,4096,0.0
48,704,4096,0.0
48,768,4096,0.0
48,832,4096,0.0
48,896,4096,0.0
48,960,4096,0.0009765625
48,1024,4096,0.005859375
48,1088,4096,0.0078125
48,1152,4096,0.033203125
48,1216,4096,0.060546875
48,1280,4096,0.1162109375
48,1344,4096,0.16015625
48,1408,4096,0.251953125
48,1472,4096,0.3203125
48,1536,4096,0.37890625
48,1600,4096,0.5146484375
48,1664,4096,0.5810546875
48,1728,4096,0.654296875
48,1792,4096,0.701171875
48,1856,4096,0.7939453125
48,1920,4096,0.8291015625
48,1984,4096,0.8603515625
48,2048,4096,0.908203125
48,2112,4096,0.9296875
48,2176,4096,0.939453125
48,2240,4096,0.9541015625
48,2304,4096,0.9619140625
48,2368,4096,0.9716796875
48,2432,4096,0.9765625
48,2496,4096,0.990234375
48,2560,4096,0.990234375
48,2624,4096,0.984375
48,2688,4096,0.99609375
48,2752,4096,0.998046875
48,2816,4096,0.9951171875
48,2880,4096,0.9990234375
48,2944,4096,0.9990234375
48,3008,4096,0.9990234375
48,3072,4096,0.9990234375
48,3136,4096,1.0
48,3200,4096,1.0
48,3264,4096,1.0
48,3328,4096,1.0
48,3392,4096,1.0
48,3456,4096,1.0
48,3520,4096,1.0
48,3584,4096,1.0
48,3648,4096,1.0
48,3712,4096,1.0
48,3776,4096,1.0
48,3840,4096,1.0
48,3904,4096,1.0
48,3968,4096,1.0
48,4032,4096,1.0
48,4096,4096,1.0
49,64,4096,0.0
49,128,4096,0.0
49,192,4096,0.0
49,256,4096,0.0
49,320,4096,0.0
49,384,4096,0.0
49,448,4096,0.0
49,512,4096,0.0
49,576,4096,0.0
49,640,4096,0.0
49,704,4096,0.0
49,768,4096,0.0
49,832,4096,0.0
49,896,4096,0.0
49,960,4096,0.0009765625
49,1024,4096,0.00390625
49,1088,4096,0.0068359375
49,1152,4096,0.0166015625
49,1216,4096,0.041015625
49,1280,4096,0.083984375
49,1344,4096,0.126953125
49,1408,4096,0.2177734375
49,1472,4096,0.271484375
49,1536,4096,0.345703125
49,1600,4096,0.451171875
49,1664,4096,0.5361328125
49,1728,4096,0.6123046875
49,1792,4096,0.6875
49,1856,4096,0.767578125
49,1920,4096,0.791015625
49,1984,4096,0.833984375
49,2048,4096,0.8701171875
49,2112,4096,0.9091796875
49,2176,4096,0.9287109375
49,2240,4096,0.93359375
49,2304,4096,0.9580078125
49,2368,4096,0.966796875
49,2432,4096,0.98046875
49,2496,4096,0.9755859375
49,2560,4096,0.9833984375
49,2624,4096,0.9853515625
49,2688,4096,0.990234375
49,2752,4096,0.994140625
49,2816,4096,0.994140625
49,2880,4096,0.99609375
49,2944,4096,0.99609375
49,3008,4096,0.9990234375
49,3072,4096,0.9990234375
49,3136,4096,0.998046875
49,3200,4096,0.998046875
49,3264,4096,1.0
49,3328,4096,1.0
49,3392,4096,0.9990234375
49,3456,4096,1.0
49,3520,4096,1.0
49,3584,4096,1.0
49,3648,4096,1.0
49,3712,4096,1.0
49,3776,4096,1.0
49,3840,4096,1.0
49,3904,4096,1.0
49,3968,4096,1.0
49,4032,4096,1.0
49,4096,4096,1.0
50,64,4096,0.0
50,128,4096,0.0
50,192,4096,0.0
50,256,4096,0.0
50,320,4096,0.0
50,384,4096,0.0
50,448,4096,0.0
50,512,4096,0.0
50,576,4096,0.0
50,640,4096,0.0
50,704,4096,0.0
50,768,4096,0.0
50,832,4096,0.0
50,896,4096,0.0
50,960,4096,0.0
50,1024,4096,0.001953125
50,1088,4096,0.0048828125
50,1152,4096,0.009765625
50,1216,4096,0.03515625
50,1280,4096,0.0625
50,1344,4096,0.1064453125
50,1408,4096,0.1552734375
50,1472,4096,0.2470703125
50,1536,4096,0.3310546875
50,1600,4096,0.4248046875
50,1664,4096,0.4697265625
50,1728,4096,0.5771484375
50,1792,4096,0.65625
50,1856,4096,0.712890625
50,1920,4096,0.7587890625
50,1984,4096,0.8095703125
50,2048,4096,0.8681640625
50,2112,4096,0.873046875
50,2176,4096,0.896484375
50,2240,4096,0.947265625
50,2304,4096,0.947265625
50,2368,4096,0.955078125
50,2432,4096,0.97265625
50,2496,4096,0.9677734375
50,2560,4096,0.9833984375
50,2624,4096,0.98828125
50,2688,4096,0.990234375
50,2752,4096,0.9892578125
50,2816,4096,0.9931640625
50,2880,4096,0.9970703125
50,2944,4096,0.9951171875
50,3008,4096,0.9970703125
50,3072,4096,0.9990234375
50,3136,4096,1.0
50,3200,4096,1.0
50,3264,4096,1.0
50,3328,4096,0.9990234375
50,3392,4096,1.0
50,3456,4096,1.0
50,3520,4096,1.0
50,3584,4096,1.0
50,3648,4096,1.0
50,3712,4096,0.9990234375
50,3776,4096,1.0
50,3840,4096,1.0
50,3904,4096,1.0
50,3968,4096,0.9990234375
50,4032,4096,1.0
50,4096,4096,1.0
51,64,4096,0.0
51,128,4096,0.0
51,192,4096,0.0
51,256,4096,0.0
51,320,4096,0.0
51,384,4096,0.0
51,448,4096,0.0
51,512,4096,0.0
51,576,4096,0.0
51,640,4096,0.0
51,704,4096,0.0
51,768,4096,0.0
51,832,4096,0.0
51,896,4096,0.0
51,960,4096,0.0009765625
51,1024,4096,0.0
51,1088,4096,0.0029296875
51,1152,4096,0.0078125
51,1216,4096,0.0224609375
51,1280,4096,0.048828125
51,1344,4096,0.078125
51,1408,4096,0.138671875
51,1472,4096,0.203125
51,1536,4096,0.2626953125
51,1600,4096,0.3623046875
51,1664,4096,0.4306640625
51,1728,4096,0.5205078125
51,1792,4096,0.615234375
51,1856,4096,0.666015625
51,1920,4096,0.7265625
51,1984,4096,0.7626953125
51,2048,4096,0.8115234375
51,2112,4096,0.873046875
51,2176,4096,0.8896484375
51,2240,4096,0.9189453125
51,2304,4096,0.94921875
51,2368,4096,0.95703125
51,2432,4096,0.9638671875
51,2496,4096,0.974609375
51,2560,4096,0.9775390625
51,2624,4096,0.9853515625
51,2688,4096,0.9853515625
51,2752,4096,0.984375
51,2816,4096,0.9921875
51,2880,4096,0.9931640625
51,2944,4096,0.9990234375
51,3008,4096,0.998046875
51,3072,4096,0.9970703125
51,3136,4096,0.998046875
51,3200,4096,0.9990234375
51,3264,4096,1.0
51,3328,4096,1.0
51,3392,4096,0.998046875
51,3456,4096,1.0
51,3520,4096,1.0
51,3584,4096,1.0
51,3648,4096,1.0
51,3712,4096,1.0
51,3776,4096,1.0
51,3840,4096,1.0
51,3904,4096,1.0
51,3968,4096,1.0
51,4032,4096,1.0
51,4096,4096,1.0
52,64,4096,0.0
52,128,4096,0.0
52,192,4096,0.0
52,256,4096,0.0
52,320,4096,0.0
52,384,4096,0.0
52,448,4096,0.0
52,512,4096,0.0
52,576,4096,0.0
52,640,4096,0.0
52,704,4096,0.0
52,768,4096,0.0
52,832,4096,0.0
52,896,4096,0.0
52,960,4096,0.0
52,1024,4096,0.0
52,1088,4096,0.00390625
52,1152,4096,0.005859375
52,1216,4096,0.017578125
52,1280,4096,0.0263671875
52,1344,4096,0.068359375
52,1408,4096,0.1162109375
52,1472,4096,0.1611328125
52,1536,4096,0.2421875
52,1600,4096,0.30078125
52,1664,4096,0.388671875
52,1728,4096,0.458984375
52,1792,4096,0.548828125
52,1856,4096,0.6318359375
52,1920,4096,0.697265625
52,1984,4096,0.7431640625
52,2048,4096,0.7998046875
52,2112,4096,0.8369140625
52,2176,4096,0.857421875
52,2240,4096,0.8828125
52,2304,4096,0.923828125
52,2368,4096,0.943359375
52,2432,4096,0.953125
52,2496,4096,0.95703125
52,2560,4096,0.970703125
52,2624,4096,0.978515625
52,2688,4096,0.98828125
52,2752,4096,0.9921875
52,2816,4096,0.9873046875
52,2880,4096,0.9892578125
52,2944,4096,0.9912109375
52,3008,4096,0.994140625
52,3072,4096,0.9951171875
52,3136,4096,0.9970703125
52,3200,4096,0.9990234375
52,3264,4096,1.0
52,3328,4096,0.9990234375
52,3392,4096,1.0
52,3456,4096,1.0
52,3520,4096,1.0
52,3584,4096,1.0
52,3648,4096,1.0
52,3712,4096,1.0
52,3776,4096,1.0
52,3840,4096,1.0
52,3904,4096,1.0
52,3968,4096,1.0
52,4032,4096,1.0
52,4096,4096,1.0
53,64,4096,0.0
53,128,4096,0.0
53,192,4096,0.0
53,256,4096,0.0
53,320,4096,0.0
53,384,4096,0.0
53,448,4096,0.0
53,512,4096,0.0
53,576,4096,0.0
53,640,4096,0.0
53,704,4096,0.0
53,768,4096,0.0
53,832,4096,0.0
53,896,4096,0.0
53,960,4096,0.0
53,1024,4096,0.0
53,1088,4096,0.0009765625
53,1152,4096,0.005859375
53,1216,4096,0.017578125
53,1280,4096,0.025390625
53,1344,4096,0.044921875
53,1408,4096,0.0771484375
53,1472,4096,0.11328125
53,1536,4096,0.19140625
53,1600,4096,0.2724609375
53,1664,4096,0.3115234375
53,1728,4096,0.4482421875
53,1792,4096,0.5029296875
53,1856,4096,0.568359375
53,1920,4096,0.61328125
53,1984,4096,0.6796875
53,2048,4096,0.7666015625
53,2112,4096,0.8095703125
53,2176,4096,0.8564453125
53,2240,4096,0.8642578125
53,2304,4096,0.9072265625
53,2368,4096,0.931640625
53,2432,4096,0.9345703125
53,2496,4096,0.94140625
53,2560,4096,0.9677734375
53,2624,4096,0.9619140625
53,2688,4096,0.9638671875
53,2752,4096,0.9833984375
53,2816,4096,0.9912109375
53,2880,4096,0.9912109375
53,2944,4096,0.9951171875
53,3008,4096,0.9892578125
53,3072,4096,0.9970703125
53,3136,4096,0.998046875
53,3200,4096,0.99609375
53,3264,4096,0.9990234375
53,3328,4096,1.0
53,3392,4096,0.9990234375
53,3456,4096,1.0
53,3520,4096,1.0
53,3584,4096,1.0
53,3648,4096,0.9990234375
53,3712,4096,1.0
53,3776,4096,1.0
53,3840,4096,1.0
53,3904,4096,1.0
53,3968,4096,1.0
53,4032,4096,1.0
53,4096,4096,1.0
54,64,4096,0.0
54,128,4096,0.0
54,192,4096,0.0
54,256,4096,0.0
54,320,4096,0.0
54,384,4096,0.0
54,448,4096,0.0
54,512,4096,0.0
54,576,4096,0.0
54,640,4096,0.0
54,704,4096,0.0
54,768,4096,0.0
54,832,4096,0.0
54,896,4096,0.0
54,960,4096,0.0
54,1024,4096,0.0
54,1088,4096,0.0
54,1152,4096,0.0009765625
54,1216,4096,0.0068359375
54,1280,4096,0.0185546875
54,1344,4096,0.0439453125
54,1408,4096,0.068359375
54,1472,4096,0.0986328125
54,1536,4096,0.1689453125
54,1600,4096,0.197265625
54,1664,4096,0.2958984375
54,1728,4096,0.392578125
54,1792,4096,0.4482421875
54,1856,4096,0.5166015625
54,1920,4096,0.60546875
54,1984,4096,0.6845703125
54,2048,4096,0.7294921875
54,2112,4096,0.7880859375
54,2176,4096,0.806640625
54,2240,4096,0.87109375
54,2304,4096,0.8916015625
54,2368,4096,0.9208984375
54,2432,4096,0.9384765625
54,2496,4096,0.9521484375
54,2560,4096,0.943359375
54,2624,4096,0.962890625
54,2688,4096,0.9833984375
54,2752,4096,0.96875
54,2816,4096,0.984375
54,2880,4096,0.9921875
54,2944,4096,0.990234375
54,3008,4096,0.9921875
54,3072,4096,0.9970703125
54,3136,4096,0.9931640625
54,3200,4096,1.0
54,3264,4096,0.998046875
54,3328,4096,0.9990234375
54,3392,4096,1.0
54,3456,4096,1.0
54,3520,4096,1.0
54,3584,4096,0.9990234375
54,3648,4096,1.0
54,3712,4096,1.0
54,3776,4096,1.0
54,3840,4096,1.0
54,3904,4096,1.0
54,3968,4096,0.9990234375
54,4032,4096,1.0
54,4096,4096,1.0
55,64,4096,0.0
55,128,4096,0.0
55,192,4096,0.0
55,256,4096,0.0
55,320,4096,0.0
55,384,4096,0.0
55,448,4096,0.0
55,512,4096,0.0
55,576,4096,0.0
55,640,4096,0.0
55,704,4096,0.0
55,768,4096,0.0
55,832,4096,0.0
55,896,4096,0.0
55,960,4096,0.0
55,1024,4096,0.0
55,1088,4096,0.0
55,1152,4096,0.0009765625
55,1216,4096,0.005859375
55,1280,4096,0.0078125
55,1344,4096,0.0185546875
55,1408,4096,0.046875
55,1472,4096,0.072265625
55,1536,4096,0.1328125
55,1600,4096,0.208984375
55,1664,4096,0.26171875
55,1728,4096,0.349609375
55,1792,4096,0.4052734375
55,1856,4096,0.486328125
55,1920,4096,0.5595703125
55,1984,4096,0.626953125
55,2048,4096,0.6962890625
55,2112,4096,0.7548828125
55,2176,4096,0.8017578125
55,2240,4096,0.8203125
55,2304,4096,0.865234375
55,2368,4096,0.8974609375
55,2432,4096,0.9111328125
55,2496,4096,0.931640625
55,2560,4096,0.951171875
55,2624,4096,0.9697265625
55,2688,4096,0.9716796875
55,2752,4096,0.96875
55,2816,4096,0.984375
55,2880,4096,0.9853515625
55,2944,4096,0.9931640625
55,3008,4096,0.9931640625
55,3072,4096,0.9921875
55,3136,4096,0.9931640625
55,3200,4096,0.9931640625
55,3264,4096,0.998046875
55,3328,4096,0.9990234375
55,3392,4096,0.9970703125
55,3456,4096,1.0
55,3520,4096,0.9990234375
55,3584,4096,0.998046875
55,3648,4096,1.0
55,3712,4096,0.9990234375
55,3776,4096,0.9990234375
55,3840,4096,1.0
55,3904,4096,1.0
55,3968,4096,1.0
55,4032,4096,1.0
55,4096,4096,0.9990234375
56,64,4096,0.0
56,128,4096,0.0
56,192,4096,0.0
56,256,4096,0.0
56,320,4096,0.0
56,384,4096,0.0
56,448,4096,0.0
56,512,4096,0.0
56,576,4096,0.0
56,640,4096,0.0
56,704,4096,0.0
56,768,4096,0.0
56,832,4096,0.0
56,896,4096,0.0
56,960,4096,0.0
56,1024,4096,0.0
56,1088,4096,0.0
56,1152,4096,0.001953125
56,1216,4096,0.0078125
56,1280,4096,0.0107421875
56,1344,4096,0.0166015625
56,1408,4096,0.033203125
56,1472,4096,0.068359375
56,1536,4096,0.1064453125
56,1600,4096,0.1650390625
56,1664,4096,0.23828125
56,1728,4096,0.283203125
56,1792,4096,0.3837890625
56,1856,4096,0.4169921875
56,1920,4096,0.5146484375
56,1984,4096,0.5791015625
56,2048,4096,0.671875
56,2112,4096,0.69921875
56,2176,4096,0.7490234375
56,2240,4096,0.8212890625
56,2304,4096,0.8349609375
56,2368,4096,0.87109375
56,2432,4096,0.9072265625
56,2496,4096,0.912109375
56,2560,4096,0.9365234375
56,2624,4096,0.96484375
56,2688,4096,0.962890625
56,2752,4096,0.966796875
56,2816,4096,0.982421875
56,2880,4096,0.9794921875
56,2944,4096,0.9892578125
56,3008,4096,0.9912109375
56,3072,4096,0.9951171875
56,3136,4096,0.994140625
56,3200,4096,0.9970703125
56,3264,4096,0.998046875
56,3328,4096,0.9951171875
56,3392,4096,0.998046875
56,3456,4096,0.9951171875
56,3520,4096,0.998046875
56,3584,4096,1.0
56,3648,4096,1.0
56,3712,4096,0.9990234375
56,3776,4096,1.0
56,3840,4096,1.0
56,3904,4096,0.9990234375
56,3968,4096,1.0
56,4032,4096,1.0
56,4096,4096,1.0
57,64,4096,0.0
57,128,4096,0.0
57,192,4096,0.0
57,256,4096,0.0
57,320,4096,0.0
57,384,4096,0.0
57,448,4096,0.0
57,512,4096,0.0
57,576,4096,0.0
57,640,4096,0.0
57,704,4096,0.0
57,768,4096,0.0
57,832,4096,0.0
57,896,4096,0.0
57,960,4096,0.0
57,1024,4096,0.0
57,1088,4096,0.0
57,1152,4096,0.001953125
57,1216,4096,0.0009765625
57,1280,4096,0.0048828125
57,1344,4096,0.009765625
57,1408,4096,0.029296875
57,1472,4096,0.0390625
57,1536,4096,0.0859375
57,1600,4096,0.14453125
57,1664,4096,0.2001953125
57,1728,4096,0.2412109375
57,1792,4096,0.3408203125
57,1856,4096,0.41015625
57,1920,4096,0.4833984375
57,1984,4096,0.5400390625
57,2048,4096,0.5888671875
57,2112,4096,0.685546875
57,2176,4096,0.70703125
57,2240,4096,0.75390625
57,2304,4096,0.8154296875
57,2368,4096,0.8603515625
57,2432,4096,0.8828125
57,2496,4096,0.9091796875
57,2560,4096,0.9365234375
57,2624,4096,0.94140625
57,2688,4096,0.9453125
57,2752,4096,0.9638671875
57,2816,4096,0.966796875
57,2880,4096,0.9775390625
57,2944,4096,0.9814453125
57,3008,4096,0.9775390625
57,3072,4096,0.98828125
57,3136,4096,0.9921875
57,3200,4096,0.9921875
57,3264,4096,0.9951171875
57,3328,4096,0.9921875
57,3392,4096,0.998046875
57,3456,4096,0.9990234375
57,3520,4096,0.9990234375
57,3584,4096,0.9970703125
57,3648,4096,0.998046875
57,3712,4096,1.0
57,3776,4096,1.0
57,3840,4096,0.9990234375
57,3904,4096,1.0
57,3968,4096,1.0
57,4032,4096,1.0
57,4096,4096,1.0
58,64,4096,0.0
58,128,4096,0.0
58,192,4096,0.0
58,256,4096,0.0
58,320,4096,0.0
58,384,4096,0.0
58,448,4096,0.0
58,512,4096,0.0
58,576,4096,0.0
58,640,4096,0.0
58,704,4096,0.0
58,768,4096,0.0
58,832,4096,0.0
58,896,4096,0.0
58,960,4096,0.0
58,1024,4096,0.0
58,1088,4096,0.0
58,1152,4096,0.0009765625
58,1216,4096,0.0009765625
58,1280,4096,0.0068359375
58,1344,4096,0.0078125
58,1408,4096,0.0244140625
58,1472,4096,0.0419921875
58,1536,4096,0.068359375
58,1600,4096,0.107421875
58,1664,4096,0.1494140625
58,1728,4096,0.203125
58,1792,4096,0.267578125
58,1856,4096,0.3671875
58,1920,4096,0.41796875
58,1984,4096,0.51171875
58,2048,4096,0.587890625
58,2112,4096,0.6357421875
58,2176,4096,0.693359375
58,2240,4096,0.7451171875
58,2304,4096,0.7880859375
58,2368,4096,0.81640625
58,2432,4096,0.87109375
58,2496,4096,0.8974609375
58,2560,4096,0.9052734375
58,2624,4096,0.9169921875
58,2688,4096,0.9345703125
58,2752,4096,0.94921875
58,2816,4096,0.955078125
58,2880,4096,0.97265625
58,2944,4096,0.974609375
58,3008,4096,0.98046875
58,3072,4096,0.9931640625
58,3136,4096,0.9873046875
58,3200,4096,0.9931640625
58,3264,4096,0.994140625
58,3328,4096,0.9892578125
58,3392,4096,0.9990234375
58,3456,4096,0.9951171875
58,3520,4096,0.9990234375
58,3584,4096,0.9990234375
58,3648,4096,0.998046875
58,3712,4096,0.998046875
58,3776,4096,1.0
58,3840,4096,1.0
58,3904,4096,1.0
58,3968,4096,1.0
58,4032,4096,1.0
58,4096,4096,1.0
59,64,4096,0.0
59,128,4096,0.0
59,192,4096,0.0
59,256,4096,0.0
59,320,4096,0.0
59,384,4096,0.0
59,448,4096,0.0
59,512,4096,0.0
59,576,4096,0.0
59,640,4096,0.0
59,704,4096,0.0
59,768,4096,0.0
59,832,4096,0.0
59,896,4096,0.0
59,960,4096,0.0
59,1024,4096,0.0
59,1088,4096,0.0
59,1152,4096,0.0
59,1216,4096,0.001953125
59,1280,4096,0.001953125
59,1344,4096,0.005859375
59,1408,4096,0.017578125
59,1472,4096,0.03125
59,1536,4096,0.0517578125
59,1600,4096,0.083984375
59,1664,4096,0.1533203125
59,1728,4096,0.2158203125
59,1792,4096,0.2431640625
59,1856,4096,0.3388671875
59,1920,4096,0.369140625
59,1984,4096,0.4462890625
59,2048,4096,0.537109375
59,2112,4096,0.58203125
59,2176,4096,0.6650390625
59,2240,4096,0.705078125
59,2304,4096,0.7529296875
59,2368,4096,0.7998046875
59,2432,4096,0.828125
59,2496,4096,0.8603515625
59,2560,4096,0.89453125
59,2624,4096,0.916015625
59,2688,4096,0.931640625
59,2752,4096,0.939453125
59,2816,4096,0.9560546875
59,2880,4096,0.970703125
59,2944,4096,0.9873046875
59,3008,4096,0.97265625
59,3072,4096,0.98046875
59,3136,4096,0.9921875
59,3200,4096,0.98828125
59,3264,4096,0.9921875
59,3328,4096,0.99609375
59,3392,4096,0.99609375
59,3456,4096,0.998046875
59,3520,4096,0.9970703125
59,3584,4096,0.998046875
59,3648,4096,1.0
59,3712,4096,0.998046875
59,3776,4096,1.0
59,3840,4096,0.9990234375
59,3904,4096,0.9990234375
59,3968,4096,0.9990234375
59,4032,4096,0.998046875
59,4096,4096,1.0
60,64,4096,0.0
60,128,4096,0.0
60,192,4096,0.0
60,256,4096,0.0
60,320,4096,0.0
60,384,4096,0.0
60,448,4096,0.0
60,512,4096,0.0
60,576,4096,0.0
60,640,4096,0.0
60,704,4096,0.0
60,768,4096,0.0
60,832,4096,0.0
60,896,4096,0.0
60,960,4096,0.0
60,1024,4096,0.0
60,1088,4096,0.0
60,1152,4096,0.0
60,1216,4096,0.0
60,1280,4096,0.0009765625
60,1344,4096,0.0087890625
60,1408,4096,0.0068359375
60,1472,4096,0.02734375
60,1536,4096,0.033203125
60,1600,4096,0.072265625
60,1664,4096,0.0908203125
60,1728,4096,0.1572265625
60,1792,4096,0.2021484375
60,1856,4096,0.279296875
60,1920,4096,0.3369140625
60,1984,4096,0.4375
60,2048,4096,0.4970703125
60,2112,4096,0.583984375
60,2176,4096,0.6044921875
60,2240,4096,0.6806640625
60,2304,4096,0.7314453125
60,2368,4096,0.75
60,2432,4096,0.8173828125
60,2496,4096,0.8134765625
60,2560,4096,0.8583984375
60,2624,4096,0.8876953125
60,2688,4096,0.9150390625
60,2752,4096,0.939453125
60,2816,4096,0.939453125
60,2880,4096,0.9599609375
60,2944,4096,0.958984375
60,3008,4096,0.970703125
60,3072,4096,0.9814453125
60,3136,4096,0.9912109375
60,3200,4096,0.986328125
60,3264,4096,0.9921875
60,3328,4096,0.99609375
60,3392,4096,0.99609375
60,3456,4096,1.0
60,3520,4096,0.998046875
60,3584,4096,0.9970703125
60,3648,4096,0.998046875
60,3712,4096,0.998046875
60,3776,4096,0.9990234375
60,3840,4096,0.99609375
60,3904,4096,1.0
60,3968,4096,1.0
60,4032,4096,0.9990234375
60,4096,4096,0.9990234375
61,64,4096,0.0
61,128,4096,0.0
61,192,4096,0.0
61,256,4096,0.0
61,320,4096,0.0
61,384,4096,0.0
61,448,4096,0.0
61,512,4096,0.0
61,576,4096,0.0
61,640,4096,0.0
61,704,4096,0.0
61,768,4096,0.0
61,832,4096,0.0
61,896,4096,0.0
61,960,4096,0.0
61,1024,4096,0.0
61,1088,4096,0.0
61,1152,4096,0.0
61,1216,4096,0.0
61,1280,4096,0.0
61,1344,4096,0.0029296875
61,1408,4096,0.00390625
61,1472,4096,0.01171875
61,1536,4096,0.0244140625
61,1600,4096,0.046875
61,1664,4096,0.0849609375
61,1728,4096,0.12890625
61,1792,4096,0.1787109375
61,1856,4096,0.2294921875
61,1920,4096,0.302734375
61,1984,4096,0.3544921875
61,2048,4096,0.4287109375
61,2112,4096,0.5107421875
61,2176,4096,0.56640625
61,2240,4096,0.6171875
61,2304,4096,0.689453125
61,2368,4096,0.70703125
61,2432,4096,0.779296875
61,2496,4096,0.806640625
61,2560,4096,0.8505859375
61,2624,4096,0.873046875
61,2688,4096,0.9052734375
61,2752,4096,0.919921875
61,2816,4096,0.93359375
61,2880,4096,0.9443359375
61,2944,4096,0.9560546875
61,3008,4096,0.95703125
61,3072,4096,0.9697265625
61,3136,4096,0.982421875
61,3200,4096,0.9873046875
61,3264,4096,0.9794921875
61,3328,4096,0.9912109375
61,3392,4096,0.99609375
61,3456,4096,0.99609375
61,3520,4096,0.9912109375
61,3584,4096,0.9990234375
61,3648,4096,0.99609375
61,3712,4096,0.998046875
61,3776,4096,0.994140625
61,3840,4096,0.998046875
61,3904,4096,0.99609375
61,3968,4096,0.998046875
61,4032,4096,1.0
61,4096,4096,1.0
62,64,4096,0.0
62,128,4096,0.0
62,192,4096,0.0
62,256,4096,0.0
62,320,4096,0.0
62,384,4096,0.0
62,448,4096,0.0
62,512,4096,0.0
62,576,4096,0.0
62,640,4096,0.0
62,704,4096,0.0
62,768,4096,0.0
62,832,4096,0.0
62,896,4096,0.0
62,960,4096,0.0
62,1024,4096,0.0
62,1088,4096,0.0
62,1152,4096,0.0
62,1216,4096,0.0
62,1280,4096,0.0009765625
62,1344,4096,0.001953125
62,1408,4096,0.005859375
62,1472,4096,0.01171875
62,1536,4096,0.029296875
62,1600,4096,0.0400390625
62,1664,4096,0.052734375
62,1728,4096,0.0966796875
62,1792,4096,0.1376953125
62,1856,4096,0.1943359375
62,1920,4096,0.2626953125
62,1984,4096,0.3251953125
62,2048,4096,0.4130859375
62,2112,4096,0.4423828125
62,2176,4096,0.5302734375
62,2240,4096,0.5869140625
62,2304,4096,0.6669921875
62,2368,4096,0.7021484375
62,2432,4096,0.7587890625
62,2496,4096,0.783203125
62,2560,4096,0.828125
62,2624,4096,0.859375
62,2688,4096,0.8857421875
62,2752,4096,0.876953125
62,2816,4096,0.9140625
62,2880,4096,0.927734375
62,2944,4096,0.95703125
62,3008,4096,0.9609375
62,3072,4096,0.9677734375
62,3136,4096,0.9677734375
62,3200,4096,0.9755859375
62,3264,4096,0.9794921875
62,3328,4096,0.9892578125
62,3392,4096,0.9912109375
62,3456,4096,0.9912109375
62,3520,4096,0.994140625
62,3584,4096,0.99609375
62,3648,4096,0.9970703125
62,3712,4096,0.998046875
62,3776,4096,1.0
62,3840,4096,0.998046875
62,3904,4096,1.0
62,3968,4096,1.0
62,4032,4096,1.0
62,4096,4096,1.0
63,64,4096,0.0
63,128,4096,0.0
63,192,4096,0.0
63,256,4096,0.0
63,320,4096,0.0
63,384,4096,0.0
63,448,4096,0.0
63,512,4096,0.0
63,576,4096,0.0
63,640,4096,0.0
63,704,4096,0.0
63,768,4096,0.0
63,832,4096,0.0
63,896,4096,0.0
63,960,4096,0.0
63,1024,4096,0.0
63,1088,4096,0.0
63,1152,4096,0.0
63,1216,4096,0.0
63,1280,4096,0.0
63,1344,4096,0.001953125
63,1408,4096,0.0029296875
63,1472,4096,0.0087890625
63,1536,4096,0.013671875
63,1600,4096,0.0361328125
63,1664,4096,0.05078125
63,1728,4096,0.078125
63,1792,4096,0.111328125
63,1856,4096,0.1630859375
63,1920,4096,0.2236328125
63,1984,4096,0.306640625
63,2048,4096,0.3818359375
63,2112,4096,0.451171875
63,2176,4096,0.4716796875
63,2240,4096,0.55859375
63,2304,4096,0.62890625
63,2368,4096,0.66796875
63,2432,4096,0.70703125
63,2496,4096,0.740234375
63,2560,4096,0.79296875
63,2624,4096,0.8486328125
63,2688,4096,0.8603515625
63,2752,4096,0.88671875
63,2816,4096,0.9130859375
63,2880,4096,0.935546875
63,2944,4096,0.939453125
