k,d,max_steps,acc
2,80,64,1.0
2,96,1,1.0
2,96,2,1.0
2,96,4,1.0
2,96,64,1.0
2,112,1,1.0
2,112,2,1.0
2,112,4,1.0
2,112,64,1.0
2,128,1,1.0
2,128,2,1.0
2,128,4,1.0
2,128,64,1.0
2,144,1,1.0
2,144,2,1.0
2,144,4,1.0
2,144,64,1.0
2,160,1,1.0
2,160,2,1.0
2,160,4,1.0
2,160,64,1.0
2,176,1,1.0
2,176,2,1.0
2,176,4,1.0
2,176,64,1.0
2,192,1,1.0
2,192,2,1.0
2,192,4,1.0
2,192,64,1.0
2,208,1,1.0
2,208,2,1.0
2,208,4,1.0
2,208,64,1.0
2,224,1,1.0
2,224,2,1.0
2,224,4,1.0
2,224,64,1.0
2,240,1,1.0
2,240,2,1.0
2,240,4,1.0
2,240,64,1.0
2,256,1,1.0
2,256,2,1.0
2,256,4,1.0
2,256,64,1.0
2,272,1,1.0
2,272,2,1.0
2,272,4,1.0
2,272,64,1.0
2,288,1,1.0
2,288,2,1.0
2,288,4,1.0
2,288,64,1.0
2,304,1,1.0
2,304,2,1.0
2,304,4,1.0
2,304,64,1.0
2,320,1,1.0
2,320,2,1.0
2,320,4,1.0
2,320,64,1.0
2,336,1,1.0
2,336,2,1.0
2,336,4,1.0
2,336,64,1.0
2,352,1,1.0
2,352,2,1.0
2,352,4,1.0
2,352,64,1.0
2,368,1,1.0
2,368,2,1.0
2,368,4,1.0
2,368,64,1.0
2,384,1,1.0
2,384,2,1.0
2,384,4,1.0
2,384,64,1.0
2,400,1,1.0
2,400,2,1.0
2,400,4,1.0
2,400,64,1.0
2,416,1,1.0
2,416,2,1.0
2,416,4,1.0
2,416,64,1.0
2,432,1,1.0
2,432,2,1.0
2,432,4,1.0
2,432,64,1.0
2,448,1,1.0
2,448,2,1.0
2,448,4,1.0
2,448,64,1.0
2,464,1,1.0
2,464,2,1.0
2,464,4,1.0
2,464,64,1.0
2,480,1,1.0
2,480,2,1.0
2,480,4,1.0
2,480,64,1.0
2,496,1,1.0
2,496,2,1.0
2,496,4,1.0
2,496,64,1.0
2,512,1,1.0
2,512,2,1.0
2,512,4,1.0
2,512,64,1.0
2,528,1,1.0
2,528,2,1.0
2,528,4,1.0
2,528,64,1.0
2,544,1,1.0
