n,d,k,b,accuracy
1048576,246,20,50,0.05999999865889549
1048576,328,20,50,0.7799999713897705
1048576,410,20,50,0.9800000190734863
1048576,492,20,50,1.0
1048576,574,20,50,1.0
1048576,656,20,50,1.0
1048576,738,20,50,1.0
1048576,820,20,50,1.0
1048576,902,20,50,1.0
1048576,984,20,50,1.0
1048576,82,21,50,0.0
1048576,164,21,50,0.0
1048576,246,21,50,0.03999999910593033
1048576,328,21,50,0.6600000262260437
1048576,410,21,50,0.9399999976158142
1048576,492,21,50,1.0
1048576,574,21,50,1.0
1048576,656,21,50,1.0
1048576,738,21,50,1.0
1048576,820,21,50,1.0
1048576,902,21,50,1.0
1048576,984,21,50,1.0
1048576,82,22,50,0.0
1048576,164,22,50,0.0
1048576,246,22,50,0.0
1048576,328,22,50,0.6000000238418579
1048576,410,22,50,0.8999999761581421
1048576,492,22,50,1.0
1048576,574,22,50,1.0
1048576,656,22,50,1.0
1048576,738,22,50,1.0
1048576,820,22,50,1.0
1048576,902,22,50,1.0
1048576,984,22,50,1.0
1048576,82,23,50,0.0
1048576,164,23,50,0.0
1048576,246,23,50,0.019999999552965164
1048576,328,23,50,0.4399999976158142
1048576,410,23,50,0.9399999976158142
1048576,492,23,50,0.9800000190734863
1048576,574,23,50,1.0
1048576,656,23,50,1.0
1048576,738,23,50,1.0
1048576,820,23,50,1.0
1048576,902,23,50,1.0
1048576,984,23,50,1.0
1048576,82,24,50,0.0
1048576,164,24,50,0.0
1048576,246,24,50,0.0
1048576,328,24,50,0.36000001430511475
1048576,410,24,50,0.800000011920929
1048576,492,24,50,1.0
1048576,574,24,50,1.0
1048576,656,24,50,1.0
1048576,738,24,50,1.0
1048576,820,24,50,1.0
1048576,902,24,50,1.0
1048576,984,24,50,1.0
1048576,82,25,50,0.0
1048576,164,25,50,0.0
1048576,246,25,50,0.0
1048576,328,25,50,0.14000000059604645
1048576,410,25,50,0.8799999952316284
1048576,492,25,50,0.9800000190734863
1048576,574,25,50,1.0
1048576,656,25,50,1.0
1048576,738,25,50,1.0
1048576,820,25,50,1.0
1048576,902,25,50,1.0
1048576,984,25,50,1.0
1048576,82,26,50,0.0
1048576,164,26,50,0.0
1048576,246,26,50,0.0
1048576,328,26,50,0.05999999865889549
1048576,410,26,50,0.7799999713897705
1048576,492,26,50,0.9800000190734863
1048576,574,26,50,1.0
1048576,656,26,50,1.0
1048576,738,26,50,1.0
1048576,820,26,50,1.0
1048576,902,26,50,1.0
1048576,984,26,50,1.0
1048576,82,27,50,0.0
1048576,164,27,50,0.0
1048576,246,27,50,0.0
1048576,328,27,50,0.05999999865889549
1048576,410,27,50,0.5400000214576721
1048576,492,27,50,0.9599999785423279
1048576,574,27,50,1.0
1048576,656,27,50,1.0
1048576,738,27,50,1.0
1048576,820,27,50,1.0
1048576,902,27,50,1.0
1048576,984,27,50,1.0
1048576,82,28,50,0.0
1048576,164,28,50,0.0
1048576,246,28,50,0.0
1048576,328,28,50,0.0
1048576,410,28,50,0.36000001430511475
1048576,492,28,50,0.9200000166893005
1048576,574,28,50,0.9800000190734863
1048576,656,28,50,0.9800000190734863
1048576,738,28,50,1.0
1048576,820,28,50,1.0
1048576,902,28,50,1.0
1048576,984,28,50,1.0
1048576,82,29,50,0.0
1048576,164,29,50,0.0
1048576,246,29,50,0.0
1048576,328,29,50,0.019999999552965164
1048576,410,29,50,0.36000001430511475
1048576,492,29,50,0.9200000166893005
1048576,574,29,50,0.9599999785423279
1048576,656,29,50,1.0
1048576,738,29,50,1.0
1048576,820,29,50,1.0
1048576,902,29,50,1.0
1048576,984,29,50,1.0
1048576,82,30,50,0.0
1048576,164,30,50,0.0
1048576,246,30,50,0.0
1048576,328,30,50,0.019999999552965164
1048576,410,30,50,0.30000001192092896
1048576,492,30,50,0.699999988079071
1048576,574,30,50,0.9599999785423279
1048576,656,30,50,1.0
1048576,738,30,50,1.0
1048576,820,30,50,1.0
1048576,902,30,50,1.0
1048576,984,30,50,1.0
1048576,82,31,50,0.0
1048576,164,31,50,0.0
1048576,246,31,50,0.0
1048576,328,31,50,0.0
1048576,410,31,50,0.25999999046325684
1048576,492,31,50,0.7400000095367432
1048576,574,31,50,1.0
1048576,656,31,50,1.0
1048576,738,31,50,1.0
1048576,820,31,50,1.0
1048576,902,31,50,1.0
1048576,984,31,50,1.0
1048576,82,32,50,0.0
1048576,164,32,50,0.0
1048576,246,32,50,0.0
1048576,328,32,50,0.0
1048576,410,32,50,0.10000000149011612
1048576,492,32,50,0.6800000071525574
1048576,574,32,50,0.8600000143051147
1048576,656,32,50,1.0
1048576,738,32,50,1.0
1048576,820,32,50,1.0
1048576,902,32,50,1.0
1048576,984,32,50,1.0
1048576,82,33,50,0.0
1048576,164,33,50,0.0
1048576,246,33,50,0.0
1048576,328,33,50,0.0
1048576,410,33,50,0.05999999865889549
1048576,492,33,50,0.6600000262260437
1048576,574,33,50,0.8600000143051147
1048576,656,33,50,0.9800000190734863
1048576,738,33,50,1.0
1048576,820,33,50,1.0
1048576,902,33,50,1.0
1048576,984,33,50,1.0
1048576,82,34,50,0.0
1048576,164,34,50,0.0
1048576,246,34,50,0.0
1048576,328,34,50,0.0
1048576,410,34,50,0.05999999865889549
1048576,492,34,50,0.4399999976158142
1048576,574,34,50,0.8399999737739563
1048576,656,34,50,0.9800000190734863
1048576,738,34,50,0.9800000190734863
1048576,820,34,50,1.0
1048576,902,34,50,1.0
1048576,984,34,50,1.0
1048576,82,35,50,0.0
1048576,164,35,50,0.0
1048576,246,35,50,0.0
1048576,328,35,50,0.0
1048576,410,35,50,0.03999999910593033
1048576,492,35,50,0.4399999976158142
1048576,574,35,50,0.7599999904632568
1048576,656,35,50,0.9599999785423279
1048576,738,35,50,1.0
1048576,820,35,50,1.0
1048576,902,35,50,1.0
1048576,984,35,50,1.0
1048576,82,36,50,0.0
1048576,164,36,50,0.0
1048576,246,36,50,0.0
1048576,328,36,50,0.0
1048576,410,36,50,0.0
1048576,492,36,50,0.3199999928474426
1048576,574,36,50,0.699999988079071
1048576,656,36,50,0.9800000190734863
1048576,738,36,50,1.0
1048576,820,36,50,1.0
1048576,902,36,50,1.0
1048576,984,36,50,1.0
1048576,82,37,50,0.0
1048576,164,37,50,0.0
1048576,246,37,50,0.0
1048576,328,37,50,0.0
1048576,410,37,50,0.0
1048576,492,37,50,0.23999999463558197
1048576,574,37,50,0.800000011920929
1048576,656,37,50,0.9599999785423279
1048576,738,37,50,0.9599999785423279
1048576,820,37,50,0.9800000190734863
1048576,902,37,50,1.0
1048576,984,37,50,1.0
1048576,82,38,50,0.0
1048576,164,38,50,0.0
1048576,246,38,50,0.0
1048576,328,38,50,0.0
1048576,410,38,50,0.0
1048576,492,38,50,0.20000000298023224
1048576,574,38,50,0.6600000262260437
1048576,656,38,50,0.9599999785423279
1048576,738,38,50,0.9800000190734863
1048576,820,38,50,0.9800000190734863
1048576,902,38,50,1.0
1048576,984,38,50,1.0
1048576,82,39,50,0.0
1048576,164,39,50,0.0
1048576,246,39,50,0.0
1048576,328,39,50,0.0
1048576,410,39,50,0.0
1048576,492,39,50,0.07999999821186066
1048576,574,39,50,0.5199999809265137
1048576,656,39,50,0.8199999928474426
1048576,738,39,50,0.9399999976158142
1048576,820,39,50,1.0
1048576,902,39,50,1.0
1048576,984,39,50,1.0
1048576,82,40,50,0.0
1048576,164,40,50,0.0
1048576,246,40,50,0.0
1048576,328,40,50,0.0
1048576,410,40,50,0.0
