n,d,k,b,accuracy
1048576,82,78,50,0.0
1048576,164,78,50,0.0
1048576,246,78,50,0.0
1048576,328,78,50,0.0
1048576,410,78,50,0.0
1048576,492,78,50,0.0
1048576,574,78,50,0.0
1048576,656,78,50,0.0
1048576,738,78,50,0.0
1048576,820,78,50,0.0
1048576,902,78,50,0.0
1048576,984,78,50,0.11999999731779099
1048576,82,79,50,0.0
1048576,164,79,50,0.0
1048576,246,79,50,0.0
1048576,328,79,50,0.0
1048576,410,79,50,0.0
1048576,492,79,50,0.0
1048576,574,79,50,0.0
1048576,656,79,50,0.0
1048576,738,79,50,0.0
1048576,820,79,50,0.0
1048576,902,79,50,0.0
1048576,984,79,50,0.05999999865889549
1048576,287,62,50,0.0
1048576,1312,84,50,0.7400000095367432
1048576,861,68,50,0.07999999821186066
1048576,1148,98,50,0.0
1048576,697,82,50,0.0
1048576,41,42,50,0.0
1048576,451,26,50,0.8399999737739563
1048576,1066,64,50,0.9399999976158142
1048576,1927,100,50,1.0
1048576,451,62,50,0.0
1048576,1476,84,50,0.9399999976158142
1048576,1271,60,50,1.0
1048576,779,92,50,0.0
1048576,615,20,50,1.0
1048576,1681,80,50,1.0
1048576,123,52,50,0.0
1048576,123,88,50,0.0
1048576,533,72,50,0.0
1048576,943,92,50,0.0
1048576,861,22,50,1.0
1048576,1517,98,50,0.800000011920929
1048576,287,52,50,0.0
1048576,1312,74,50,0.9399999976158142
1048576,861,58,50,0.5600000023841858
1048576,1148,88,50,0.07999999821186066
1048576,697,72,50,0.0
1048576,1107,56,50,0.9800000190734863
1048576,1722,94,50,0.9599999785423279
1048576,41,32,50,0.0
1048576,451,16,50,1.0
1048576,1066,54,50,1.0
1048576,1107,92,50,0.03999999910593033
1048576,574,86,50,0.0
1048576,369,62,50,0.0
1048576,205,76,50,0.0
1048576,369,98,50,0.0
1048576,779,82,50,0.0
1048576,123,42,50,0.0
1048576,533,62,50,0.0
1048576,1394,98,50,0.5199999809265137
1048576,287,6,50,1.0
1048576,943,82,50,0.019999999552965164
1048576,1353,66,50,1.0
1048576,1517,88,50,0.9599999785423279
1048576,287,42,50,0.0
1048576,697,26,50,1.0
1048576,1312,64,50,0.9599999785423279
1048576,1148,78,50,0.5400000214576721
1048576,820,96,50,0.0
1048576,697,62,50,0.0
1048576,1107,46,50,1.0
1048576,615,72,50,0.0
1048576,1558,98,50,0.8199999928474426
1048576,451,6,50,1.0
1048576,1025,92,50,0.0
1048576,369,52,50,0.0
1048576,205,66,50,0.0
1048576,984,96,50,0.0
1048576,779,72,50,0.0
1048576,123,32,50,0.0
1048576,1189,92,50,0.07999999821186066
1048576,1763,98,50,0.9599999785423279
1048576,533,52,50,0.0
1048576,943,36,50,1.0
1048576,1394,88,50,0.8600000143051147
1048576,943,72,50,0.2800000011920929
1048576,1353,56,50,1.0
1048576,697,16,50,1.0
1048576,246,80,50,0.0
1048576,820,86,50,0.0
1048576,615,62,50,0.0
1048576,656,100,50,0.0
1048576,1025,82,50,0.05999999865889549
1048576,369,42,50,0.0
1048576,205,56,50,0.0
1048576,984,86,50,0.019999999552965164
1048576,779,62,50,0.11999999731779099
1048576,1189,46,50,1.0
1048576,123,22,50,0.0
1048576,533,6,50,1.0
1048576,1189,82,50,0.5799999833106995
1048576,861,100,50,0.0
1048576,533,42,50,0.07999999821186066
1048576,41,74,50,0.0
1048576,1394,78,50,0.9200000166893005
1048576,1066,96,50,0.019999999552965164
1048576,451,94,50,0.0
1048576,1271,92,50,0.30000001192092896
1048576,615,52,50,0.05999999865889549
1048576,656,90,50,0.0
1048576,1640,80,50,1.0
1048576,1230,96,50,0.10000000149011612
1048576,1025,72,50,0.5600000023841858
1048576,369,32,50,0.03999999910593033
1048576,779,16,50,1.0
1048576,1435,92,50,0.7799999713897705
1048576,779,52,50,0.6399999856948853
1048576,861,90,50,0.0
1048576,1066,86,50,0.07999999821186066
1048576,1271,82,50,0.7599999904632568
1048576,1230,50,50,1.0
1048576,615,42,50,0.47999998927116394
1048576,1230,86,50,0.41999998688697815
1048576,1025,62,50,0.8199999928474426
1048576,1435,82,50,0.9599999785423279
1048576,205,36,50,0.0
1048576,1312,96,50,0.3400000035762787
1048576,861,80,50,0.0
1048576,1066,76,50,0.4399999976158142
1048576,902,90,50,0.0
1048576,1476,96,50,0.7599999904632568
1048576,1271,72,50,0.9800000190734863
1048576,615,32,50,0.9599999785423279
1048576,1681,92,50,0.9200000166893005
1048576,738,80,50,0.0
1048576,1312,86,50,0.6200000047683716
1048576,861,70,50,0.05999999865889549
1048576,1148,100,50,0.019999999552965164
1048576,41,8,50,0.0
1048576,1107,68,50,0.8999999761581421
1048576,451,28,50,0.7599999904632568
1048576,1066,66,50,0.8399999737739563
1048576,902,80,50,0.019999999552965164
1048576,1271,62,50,1.0
1048576,943,94,50,0.0
1048576,861,24,50,1.0
1048576,1517,100,50,0.7599999904632568
1048576,697,38,50,0.8999999761581421
1048576,1312,76,50,0.9399999976158142
1048576,1148,90,50,0.03999999910593033
1048576,1558,74,50,1.0
1048576,697,74,50,0.0
1048576,1107,58,50,0.9599999785423279
1048576,1722,96,50,1.0
1048576,451,18,50,1.0
1048576,779,84,50,0.0
1048576,533,64,50,0.0
1048576,943,48,50,1.0
1048576,1394,100,50,0.36000001430511475
1048576,287,8,50,1.0
1048576,943,84,50,0.0
1048576,1353,68,50,1.0
1048576,1148,44,50,1.0
1048576,697,28,50,1.0
1048576,1148,80,50,0.47999998927116394
1048576,1107,48,50,1.0
1048576,451,8,50,1.0
1048576,1025,94,50,0.0
1048576,369,54,50,0.0
1048576,984,98,50,0.0
1048576,779,74,50,0.0
1048576,123,34,50,0.0
1048576,533,18,50,1.0
1048576,1189,94,50,0.10000000149011612
1048576,1599,78,50,0.9800000190734863
1048576,533,54,50,0.0
1048576,943,38,50,1.0
1048576,1394,90,50,0.6800000071525574
1048576,1353,58,50,1.0
1048576,697,18,50,1.0
1048576,820,88,50,0.0
1048576,1107,38,50,1.0
1048576,615,64,50,0.0
1048576,1025,84,50,0.05999999865889549
1048576,369,44,50,0.0
1048576,779,28,50,1.0
1048576,984,88,50,0.019999999552965164
1048576,779,64,50,0.03999999910593033
1048576,1189,48,50,1.0
1048576,533,8,50,1.0
1048576,1189,84,50,0.47999998927116394
1048576,943,28,50,1.0
1048576,1066,98,50,0.0
1048576,1271,94,50,0.30000001192092896
1048576,1230,62,50,1.0
1048576,615,54,50,0.0
1048576,1640,82,50,0.9800000190734863
1048576,1230,98,50,0.05999999865889549
1048576,1025,74,50,0.36000001430511475
1048576,205,12,50,0.7200000286102295
1048576,369,34,50,0.0
1048576,779,18,50,1.0
1048576,1435,94,50,0.7200000286102295
1048576,1066,88,50,0.03999999910593033
1048576,615,8,50,1.0
1048576,1271,84,50,0.7799999713897705
1048576,1230,52,50,0.9800000190734863
1048576,615,44,50,0.36000001430511475
1048576,205,2,50,1.0
1048576,1312,98,50,0.30000001192092896
1048576,861,82,50,0.0
1048576,1066,42,50,1.0
1048576,451,40,50,0.019999999552965164
1048576,1066,78,50,0.30000001192092896
1048576,902,92,50,0.0
1048576,1476,98,50,0.7200000286102295
1048576,1271,74,50,1.0
1048576,861,36,50,1.0
1048576,738,82,50,0.0
1048576,697,50,50,0.3199999928474426
1048576,1312,88,50,0.5799999833106995
1048576,861,72,50,0.019999999552965164
1048576,41,10,50,0.0
1048576,1107,70,50,0.8199999928474426
1048576,451,30,50,0.5600000023841858
1048576,902,82,50,0.0
1048576,287,20,50,0.30000001192092896
1048576,943,96,50,0.0
1048576,1353,80,50,0.8600000143051147
1048576,861,26,50,1.0
1048576,1148,56,50,0.9800000190734863
1048576,697,40,50,0.8999999761581421
1048576,1312,78,50,0.8399999737739563
1048576,1148,92,50,0.03999999910593033
1048576,1558,76,50,1.0
1048576,1107,60,50,0.9800000190734863
1048576,451,20,50,1.0
1048576,533,30,50,0.8999999761581421
1048576,1599,90,50,0.9800000190734863
1048576,1394,66,50,1.0
1048576,533,66,50,0.0
1048576,943,50,50,0.8799999952316284
1048576,287,10,50,1.0
1048576,1353,70,50,0.9599999785423279
1048576,1148,46,50,1.0
1048576,697,30,50,1.0
1048576,1107,50,50,1.0
1048576,451,10,50,1.0
1048576,1025,96,50,0.0
1048576,984,100,50,0.0
1048576,779,76,50,0.0
1048576,1189,60,50,1.0
1048576,123,36,50,0.0
1048576,533,20,50,1.0
1048576,1189,96,50,0.03999999910593033
1048576,1599,80,50,1.0
1048576,943,40,50,1.0
1048576,1353,60,50,1.0
1048576,697,20,50,1.0
1048576,1107,40,50,1.0
1048576,615,66,50,0.0
1048576,1640,94,50,0.9800000190734863
1048576,369,10,50,1.0
1048576,1025,86,50,0.03999999910593033
1048576,1435,70,50,1.0
1048576,369,46,50,0.0
1048576,779,30,50,1.0
1048576,1845,90,50,1.0
1048576,1189,50,50,1.0
1048576,533,10,50,1.0
1048576,943,30,50,1.0
1048576,1066,100,50,0.0
1048576,1271,96,50,0.2800000011920929
1048576,1230,64,50,0.9800000190734863
1048576,820,80,50,0.0
1048576,615,56,50,0.0
1048576,1025,40,50,1.0
1048576,1230,100,50,0.03999999910593033
1048576,1640,84,50,0.9800000190734863
1048576,1025,76,50,0.30000001192092896
1048576,205,14,50,0.3199999928474426
1048576,779,20,50,1.0
1048576,451,52,50,0.0
1048576,1476,74,50,1.0
1048576,1066,90,50,0.0
1048576,1271,50,50,1.0
1048576,1886,94,50,1.0
1048576,615,10,50,1.0
1048576,1271,86,50,0.7200000286102295
1048576,1230,54,50,1.0
1048576,205,4,50,1.0
1048576,861,48,50,1.0
1048576,1312,100,50,0.1599999964237213
1048576,1722,84,50,1.0
1048576,861,84,50,0.0
1048576,41,22,50,0.0
1048576,1066,44,50,1.0
1048576,1107,82,50,0.3199999928474426
1048576,451,42,50,0.0
1048576,1066,80,50,0.2199999988079071
1048576,1476,64,50,0.9800000190734863
1048576,902,94,50,0.0
1048576,1517,78,50,1.0
1048576,287,32,50,0.0
1048576,1312,54,50,1.0
1048576,1353,92,50,0.47999998927116394
1048576,861,38,50,0.9800000190734863
1048576,1148,68,50,0.8600000143051147
1048576,697,52,50,0.1599999964237213
1048576,1312,90,50,0.6200000047683716
1048576,1558,88,50,0.9800000190734863
1048576,41,12,50,0.0
1048576,1107,72,50,0.6399999856948853
1048576,451,32,50,0.5799999833106995
1048576,1763,88,50,0.9800000190734863
1048576,943,62,50,0.6600000262260437
1048576,1517,68,50,1.0
1048576,1804,98,50,0.9800000190734863
1048576,287,22,50,0.23999999463558197
1048576,1353,82,50,0.7799999713897705
1048576,861,28,50,1.0
1048576,1148,58,50,1.0
1048576,697,42,50,0.800000011920929
1048576,1558,78,50,1.0
1048576,41,2,50,0.7200000286102295
1048576,1107,62,50,0.9800000190734863
1048576,451,22,50,1.0
1048576,123,12,50,0.019999999552965164
1048576,1189,72,50,0.8600000143051147
1048576,533,32,50,0.8199999928474426
1048576,1599,92,50,0.8999999761581421
1048576,1394,68,50,0.9800000190734863
1048576,943,52,50,0.9399999976158142
1048576,1804,88,50,1.0
1048576,287,12,50,1.0
1048576,1353,72,50,0.9599999785423279
1048576,1148,48,50,1.0
1048576,697,32,50,1.0
1048576,1107,52,50,1.0
1048576,451,12,50,1.0
1048576,369,22,50,0.7799999713897705
1048576,1025,98,50,0.0
1048576,779,42,50,1.0
1048576,123,2,50,1.0
1048576,779,78,50,0.0
1048576,1189,62,50,1.0
1048576,533,22,50,1.0
1048576,1599,82,50,1.0
1048576,1394,58,50,1.0
1048576,943,42,50,1.0
1048576,287,2,50,1.0
1048576,1353,62,50,1.0
1048576,697,22,50,1.0
1048576,1230,76,50,0.8799999952316284
1048576,615,68,50,0.0
1048576,1025,52,50,1.0
1048576,1640,96,50,0.9599999785423279
1048576,369,12,50,1.0
1048576,1025,88,50,0.019999999552965164
1048576,1435,72,50,1.0
1048576,205,26,50,0.0
1048576,779,32,50,1.0
1048576,1845,92,50,1.0
1048576,1189,52,50,1.0
1048576,533,12,50,1.0
1048576,1599,72,50,1.0
1048576,943,32,50,1.0
1048576,1476,86,50,0.9200000166893005
1048576,615,22,50,1.0
1048576,1271,98,50,0.18000000715255737
1048576,1681,82,50,0.9800000190734863
1048576,820,82,50,0.0
1048576,1230,66,50,0.9599999785423279
1048576,615,58,50,0.0
1048576,1025,42,50,1.0
1048576,1640,86,50,0.9599999785423279
1048576,369,2,50,1.0
1048576,1435,62,50,1.0
1048576,205,16,50,0.10000000149011612
1048576,779,22,50,1.0
1048576,861,60,50,0.5400000214576721
1048576,533,2,50,1.0
1048576,1066,56,50,0.9599999785423279
1048576,1107,94,50,0.03999999910593033
1048576,451,54,50,0.0
1048576,1476,76,50,0.9399999976158142
1048576,1066,92,50,0.0
1048576,1271,52,50,1.0
1048576,1886,96,50,0.9800000190734863
1048576,615,12,50,1.0
1048576,1230,56,50,1.0
1048576,1025,32,50,1.0
1048576,1640,76,50,0.9599999785423279
1048576,205,6,50,1.0
1048576,1517,90,50,0.9399999976158142
1048576,287,44,50,0.0
1048576,1312,66,50,0.9800000190734863
1048576,861,50,50,0.8799999952316284
1048576,697,64,50,0.0
1048576,1722,86,50,1.0
1048576,1558,100,50,0.800000011920929
1048576,41,24,50,0.0
1048576,1066,46,50,1.0
1048576,1107,84,50,0.2199999988079071
1048576,451,44,50,0.0
1048576,1476,66,50,0.9800000190734863
1048576,1230,46,50,1.0
1048576,1763,100,50,0.9200000166893005
1048576,943,74,50,0.1599999964237213
1048576,1517,80,50,0.9800000190734863
1048576,287,34,50,0.0
1048576,1312,56,50,1.0
1048576,1353,94,50,0.46000000834465027
1048576,861,40,50,1.0
1048576,1148,70,50,0.8399999737739563
1048576,697,54,50,0.05999999865889549
1048576,1558,90,50,0.9800000190734863
1048576,41,14,50,0.0
1048576,1066,36,50,1.0
1048576,1107,74,50,0.699999988079071
1048576,451,34,50,0.18000000715255737
1048576,123,24,50,0.0
1048576,1763,90,50,0.9800000190734863
1048576,533,44,50,0.0
1048576,1394,80,50,0.9399999976158142
1048576,943,64,50,0.6399999856948853
1048576,1517,70,50,1.0
1048576,1804,100,50,0.9800000190734863
1048576,287,24,50,0.03999999910593033
1048576,1353,84,50,0.8199999928474426
1048576,861,30,50,1.0
1048576,1148,60,50,1.0
1048576,697,44,50,0.8399999737739563
1048576,1558,80,50,0.9800000190734863
1048576,41,4,50,0.0
1048576,1107,64,50,0.8600000143051147
1048576,451,24,50,0.9599999785423279
1048576,779,54,50,0.5
1048576,123,14,50,0.0
1048576,1189,74,50,0.8399999737739563
1048576,533,34,50,0.6000000238418579
1048576,1599,94,50,0.9399999976158142
1048576,1394,70,50,1.0
1048576,943,54,50,0.9200000166893005
1048576,1804,90,50,1.0
1048576,287,14,50,0.9800000190734863
1048576,1353,74,50,0.9200000166893005
1048576,1148,50,50,1.0
1048576,697,34,50,0.9800000190734863
1048576,1558,70,50,1.0
1048576,1230,88,50,0.3799999952316284
1048576,1107,54,50,0.9800000190734863
1048576,1025,64,50,0.8799999952316284
1048576,369,24,50,0.5400000214576721
1048576,1025,100,50,0.0
1048576,1435,84,50,0.8999999761581421
1048576,205,38,50,0.0
1048576,779,44,50,0.9599999785423279
1048576,123,4,50,1.0
1048576,1189,64,50,1.0
1048576,533,24,50,1.0
1048576,1599,84,50,1.0
1048576,1394,60,50,1.0
1048576,943,44,50,1.0
1048576,287,4,50,1.0
1048576,1353,64,50,0.9800000190734863
1048576,615,34,50,0.9599999785423279
1048576,1681,94,50,0.9599999785423279
1048576,1230,78,50,0.800000011920929
1048576,615,70,50,0.0
1048576,1025,54,50,0.9399999976158142
1048576,1640,98,50,0.9200000166893005
1048576,369,14,50,1.0
1048576,1435,74,50,0.9800000190734863
1048576,205,28,50,0.0
1048576,779,34,50,1.0
1048576,1845,94,50,1.0
1048576,1189,54,50,1.0
1048576,533,14,50,1.0
1048576,1599,74,50,1.0
1048576,1066,68,50,0.800000011920929
1048576,943,34,50,1.0
1048576,1476,88,50,0.8999999761581421
1048576,1271,64,50,1.0
1048576,615,24,50,1.0
1048576,1271,100,50,0.10000000149011612
1048576,1681,84,50,0.9599999785423279
1048576,1230,68,50,0.9800000190734863
1048576,1025,44,50,1.0
1048576,1640,88,50,0.9800000190734863
1048576,369,4,50,1.0
1048576,1435,64,50,1.0
1048576,205,18,50,0.03999999910593033
1048576,779,24,50,1.0
1048576,1189,44,50,1.0
1048576,861,62,50,0.4000000059604645
1048576,697,76,50,0.0
1048576,1722,98,50,0.9200000166893005
1048576,1066,58,50,0.9599999785423279
1048576,1107,96,50,0.019999999552965164
1048576,451,56,50,0.0
1048576,1476,78,50,1.0
1048576,1271,54,50,1.0
1048576,1886,98,50,0.9599999785423279
1048576,615,14,50,1.0
1048576,1230,58,50,1.0
1048576,1025,34,50,1.0
1048576,1640,78,50,0.9800000190734863
1048576,205,8,50,1.0
1048576,943,86,50,0.019999999552965164
1048576,1517,92,50,0.8799999952316284
1048576,287,46,50,0.0
1048576,1312,68,50,0.9599999785423279
1048576,861,52,50,0.8799999952316284
1048576,1148,82,50,0.4000000059604645
1048576,697,66,50,0.0
1048576,1722,88,50,0.9800000190734863
1048576,41,26,50,0.0
1048576,1066,48,50,1.0
1048576,1107,86,50,0.18000000715255737
1048576,451,46,50,0.0
1048576,1476,68,50,1.0
1048576,1230,48,50,1.0
1048576,533,56,50,0.0
1048576,1394,92,50,0.7200000286102295
1048576,943,76,50,0.03999999910593033
1048576,1517,82,50,1.0
1048576,287,36,50,0.0
1048576,1312,58,50,1.0
1048576,1353,96,50,0.4399999976158142
1048576,861,42,50,0.9800000190734863
1048576,1148,72,50,0.8600000143051147
1048576,697,56,50,0.019999999552965164
1048576,1558,92,50,0.9200000166893005
1048576,41,16,50,0.0
1048576,1066,38,50,1.0
1048576,1107,76,50,0.6600000262260437
1048576,451,36,50,0.03999999910593033
1048576,984,90,50,0.0
1048576,779,66,50,0.03999999910593033
1048576,123,26,50,0.0
1048576,1189,86,50,0.36000001430511475
1048576,1763,92,50,0.9800000190734863
1048576,533,46,50,0.03999999910593033
1048576,1394,82,50,0.9200000166893005
1048576,943,66,50,0.25999999046325684
1048576,1517,72,50,1.0
1048576,287,26,50,0.019999999552965164
1048576,1353,86,50,0.8399999737739563
1048576,861,32,50,1.0
1048576,1148,62,50,0.9399999976158142
1048576,697,46,50,0.6399999856948853
1048576,1558,82,50,0.9599999785423279
1048576,41,6,50,0.0
1048576,1107,66,50,0.8999999761581421
1048576,369,36,50,0.0
1048576,1435,96,50,0.800000011920929
1048576,984,80,50,0.07999999821186066
1048576,779,56,50,0.30000001192092896
1048576,123,16,50,0.0
1048576,1189,76,50,0.7599999904632568
1048576,533,36,50,0.5
1048576,1599,96,50,0.8999999761581421
1048576,1394,72,50,0.9800000190734863
1048576,943,56,50,0.8600000143051147
1048576,1804,92,50,1.0
1048576,287,16,50,0.9200000166893005
1048576,1353,76,50,0.9800000190734863
1048576,1148,52,50,1.0
1048576,697,36,50,0.9800000190734863
1048576,615,46,50,0.1599999964237213
1048576,1558,72,50,1.0
1048576,1230,90,50,0.4399999976158142
1048576,1025,66,50,0.7200000286102295
1048576,369,26,50,0.4000000059604645
1048576,1435,86,50,0.9200000166893005
1048576,205,40,50,0.0
1048576,779,46,50,0.9599999785423279
1048576,123,6,50,1.0
1048576,1189,66,50,0.9800000190734863
1048576,533,26,50,1.0
1048576,1599,86,50,0.9599999785423279
1048576,1394,62,50,1.0
1048576,943,46,50,0.9800000190734863
1048576,1476,100,50,0.5600000023841858
1048576,1271,76,50,0.8799999952316284
1048576,1148,42,50,1.0
1048576,615,36,50,0.8999999761581421
1048576,1681,96,50,0.8999999761581421
1048576,1230,80,50,0.6000000238418579
1048576,1025,56,50,0.9800000190734863
1048576,1640,100,50,0.8600000143051147
1048576,369,16,50,1.0
1048576,1435,76,50,0.9800000190734863
1048576,205,30,50,0.0
1048576,779,36,50,1.0
1048576,1845,96,50,0.9599999785423279
1048576,1189,56,50,0.9800000190734863
1048576,861,74,50,0.019999999552965164
1048576,533,16,50,1.0
1048576,1599,76,50,0.9800000190734863
1048576,1066,70,50,0.7400000095367432
1048576,902,84,50,0.0
1048576,1476,90,50,0.8799999952316284
1048576,1271,66,50,0.9599999785423279
1048576,615,26,50,0.9800000190734863
1048576,1681,86,50,1.0
1048576,1230,70,50,0.9800000190734863
1048576,1025,46,50,1.0
1048576,1640,90,50,1.0
1048576,369,6,50,1.0
1048576,1435,66,50,1.0
1048576,205,20,50,0.0
1048576,779,26,50,1.0
1048576,1312,80,50,0.8399999737739563
1048576,861,64,50,0.20000000298023224
1048576,1148,94,50,0.07999999821186066
1048576,697,78,50,0.0
1048576,1722,100,50,0.9399999976158142
1048576,1066,60,50,0.9599999785423279
1048576,1107,98,50,0.0
1048576,451,58,50,0.0
1048576,1476,80,50,0.8999999761581421
1048576,1271,56,50,1.0
1048576,1886,100,50,0.9800000190734863
1048576,615,16,50,1.0
1048576,1230,60,50,0.9800000190734863
1048576,1025,36,50,1.0
1048576,205,10,50,0.9599999785423279
1048576,943,88,50,0.0
1048576,1517,94,50,0.9200000166893005
1048576,287,48,50,0.0
1048576,1312,70,50,0.9599999785423279
1048576,861,54,50,0.8199999928474426
1048576,1148,84,50,0.4000000059604645
1048576,697,68,50,0.0
1048576,1722,90,50,0.9599999785423279
1048576,41,28,50,0.0
1048576,1066,50,50,1.0
1048576,1107,88,50,0.03999999910593033
1048576,451,48,50,0.0
1048576,1476,70,50,1.0
1048576,123,38,50,0.0
1048576,1189,98,50,0.03999999910593033
1048576,533,58,50,0.0
1048576,1394,94,50,0.6000000238418579
1048576,943,78,50,0.019999999552965164
1048576,1968,100,50,1.0
1048576,1517,84,50,0.9599999785423279
1048576,287,38,50,0.0
1048576,1312,60,50,1.0
1048576,1353,98,50,0.3199999928474426
1048576,861,44,50,1.0
1048576,1148,74,50,0.800000011920929
1048576,697,58,50,0.03999999910593033
1048576,1107,42,50,1.0
1048576,1558,94,50,0.9399999976158142
1048576,41,18,50,0.0
1048576,451,2,50,1.0
1048576,1066,40,50,1.0
1048576,1107,78,50,0.46000000834465027
1048576,451,38,50,0.0
1048576,369,48,50,0.0
1048576,984,92,50,0.0
1048576,779,68,50,0.0
1048576,123,28,50,0.0
1048576,1189,88,50,0.30000001192092896
1048576,1763,94,50,0.9599999785423279
1048576,533,48,50,0.0
1048576,1394,84,50,0.9200000166893005
1048576,943,68,50,0.25999999046325684
1048576,1517,74,50,1.0
1048576,287,28,50,0.0
1048576,697,12,50,1.0
1048576,1353,88,50,0.699999988079071
1048576,861,34,50,1.0
1048576,1148,64,50,0.9599999785423279
1048576,697,48,50,0.5
1048576,1558,84,50,0.9800000190734863
1048576,1025,78,50,0.23999999463558197
1048576,369,38,50,0.0
1048576,1435,98,50,0.6000000238418579
1048576,984,82,50,0.0
1048576,779,58,50,0.3199999928474426
1048576,123,18,50,0.0
1048576,1189,78,50,0.7400000095367432
1048576,1763,84,50,1.0
1048576,533,38,50,0.3799999952316284
1048576,1599,98,50,0.7799999713897705
1048576,1394,74,50,0.9599999785423279
1048576,943,58,50,0.8399999737739563
1048576,1804,94,50,0.9800000190734863
1048576,287,18,50,0.699999988079071
1048576,1353,78,50,0.8999999761581421
1048576,1271,88,50,0.6000000238418579
1048576,1148,54,50,0.9800000190734863
1048576,615,48,50,0.18000000715255737
1048576,1230,92,50,0.2800000011920929
1048576,1025,68,50,0.7799999713897705
1048576,369,28,50,0.30000001192092896
1048576,1435,88,50,0.8799999952316284
1048576,205,42,50,0.0
1048576,779,48,50,0.7799999713897705
1048576,123,8,50,0.5600000023841858
1048576,1189,68,50,0.9200000166893005
1048576,861,86,50,0.0
1048576,533,28,50,0.9800000190734863
1048576,1599,88,50,0.9800000190734863
1048576,1394,64,50,1.0
1048576,1066,82,50,0.20000000298023224
1048576,1271,78,50,0.9399999976158142
1048576,615,38,50,0.7599999904632568
1048576,1681,98,50,0.9599999785423279
1048576,1230,82,50,0.6399999856948853
1048576,1025,58,50,0.9599999785423279
1048576,369,18,50,0.9800000190734863
1048576,1435,78,50,0.9800000190734863
1048576,205,32,50,0.0
1048576,779,38,50,1.0
1048576,1845,98,50,0.9800000190734863
1048576,1312,92,50,0.5199999809265137
1048576,1189,58,50,1.0
1048576,861,76,50,0.0
1048576,1066,72,50,0.699999988079071
1048576,902,86,50,0.0
1048576,1476,92,50,0.8399999737739563
1048576,1271,68,50,0.9800000190734863
1048576,615,28,50,1.0
1048576,1681,88,50,0.9800000190734863
1048576,1230,72,50,0.8799999952316284
1048576,1025,48,50,1.0
1048576,1640,92,50,0.9599999785423279
1048576,369,8,50,1.0
1048576,1435,68,50,1.0
1048576,205,22,50,0.0
1048576,1312,82,50,0.8600000143051147
1048576,861,66,50,0.14000000059604645
1048576,1148,96,50,0.019999999552965164
1048576,1066,62,50,0.8799999952316284
1048576,1107,100,50,0.019999999552965164
1048576,1927,98,50,0.9800000190734863
1048576,451,60,50,0.0
1048576,1476,82,50,0.9599999785423279
1048576,1271,58,50,1.0
1048576,615,18,50,1.0
1048576,1681,78,50,1.0
1048576,1025,38,50,1.0
1048576,943,90,50,0.0
1048576,1517,96,50,0.800000011920929
1048576,1312,72,50,0.9399999976158142
1048576,861,56,50,0.6000000238418579
1048576,1148,86,50,0.25999999046325684
1048576,697,70,50,0.0
1048576,1722,92,50,0.9599999785423279
1048576,41,30,50,0.0
1048576,451,14,50,1.0
1048576,1066,52,50,1.0
1048576,1107,90,50,0.019999999552965164
1048576,451,50,50,0.0
1048576,1476,72,50,1.0
1048576,779,80,50,0.0
1048576,1189,100,50,0.03999999910593033
1048576,533,60,50,0.0
1048576,1394,96,50,0.5199999809265137
1048576,943,80,50,0.0
1048576,1517,86,50,0.9599999785423279
1048576,287,40,50,0.0
1048576,697,24,50,1.0
1048576,1312,62,50,1.0
1048576,1353,100,50,0.2800000011920929
1048576,861,46,50,1.0
1048576,1148,76,50,0.6800000071525574
1048576,697,60,50,0.0
1048576,1107,44,50,1.0
1048576,1722,82,50,1.0
1048576,1558,96,50,0.8799999952316284
1048576,41,20,50,0.0
1048576,451,4,50,1.0
1048576,1107,80,50,0.3199999928474426
1048576,1025,90,50,0.0
1048576,369,50,50,0.0
1048576,984,94,50,0.0
1048576,779,70,50,0.0
1048576,123,30,50,0.0
1048576,1189,90,50,0.2800000011920929
1048576,1763,96,50,0.9800000190734863
1048576,533,50,50,0.0
1048576,1394,86,50,0.8199999928474426
1048576,943,70,50,0.36000001430511475
1048576,1517,76,50,0.9800000190734863
1048576,287,30,50,0.0
1048576,697,14,50,1.0
1048576,1312,52,50,1.0
1048576,1353,90,50,0.6800000071525574
1048576,1148,66,50,0.9399999976158142
1048576,820,84,50,0.0
1048576,615,60,50,0.0
1048576,1558,86,50,0.9399999976158142
1048576,1025,80,50,0.18000000715255737
1048576,369,40,50,0.0
1048576,1435,100,50,0.5199999809265137
1048576,984,84,50,0.03999999910593033
1048576,779,60,50,0.14000000059604645
1048576,123,20,50,0.0
1048576,533,4,50,1.0
1048576,1189,80,50,0.5199999809265137
1048576,1763,86,50,1.0
1048576,533,40,50,0.1599999964237213
1048576,1599,100,50,0.8199999928474426
1048576,1394,76,50,0.9599999785423279
1048576,1066,94,50,0.0
1048576,943,60,50,0.6399999856948853
1048576,1804,96,50,0.9399999976158142
1048576,1271,90,50,0.5600000023841858
1048576,615,50,50,0.07999999821186066
1048576,1230,94,50,0.1599999964237213
1048576,1025,70,50,0.6000000238418579
1048576,369,30,50,0.07999999821186066
1048576,1435,90,50,0.7799999713897705
1048576,205,44,50,0.0
1048576,779,50,50,0.7599999904632568
1048576,123,10,50,0.14000000059604645
1048576,1189,70,50,0.8600000143051147
1048576,861,88,50,0.0
1048576,1066,84,50,0.11999999731779099
