d,n,k,errs
428,65536,18,0
452,65536,18,0
476,65536,18,0
500,65536,18,0
524,65536,18,0
548,65536,18,0
572,65536,18,0
596,65536,18,0
620,65536,18,0
644,65536,18,0
668,65536,18,0
692,65536,18,0
716,65536,18,0
740,65536,18,0
764,65536,18,0
788,65536,18,0
812,65536,18,0
836,65536,18,0
860,65536,18,0
884,65536,18,0
908,65536,18,0
932,65536,18,0
956,65536,18,0
980,65536,18,0
1004,65536,18,0
20,65536,20,8
44,65536,20,6
68,65536,20,3
92,65536,20,6
116,65536,20,14
140,65536,20,0
164,65536,20,3
188,65536,20,0
212,65536,20,8
236,65536,20,0
260,65536,20,0
284,65536,20,0
308,65536,20,0
332,65536,20,0
356,65536,20,0
380,65536,20,0
404,65536,20,0
428,65536,20,0
452,65536,20,0
476,65536,20,0
500,65536,20,0
524,65536,20,0
548,65536,20,0
572,65536,20,0
596,65536,20,0
620,65536,20,0
644,65536,20,0
668,65536,20,0
692,65536,20,0
716,65536,20,0
740,65536,20,0
764,65536,20,0
788,65536,20,0
812,65536,20,0
836,65536,20,0
860,65536,20,0
884,65536,20,0
908,65536,20,0
932,65536,20,0
956,65536,20,0
980,65536,20,0
1004,65536,20,0
20,65536,22,15
44,65536,22,4
68,65536,22,6
92,65536,22,4
116,65536,22,15
140,65536,22,1
164,65536,22,0
188,65536,22,0
212,65536,22,0
236,65536,22,0
260,65536,22,0
284,65536,22,0
308,65536,22,0
332,65536,22,0
356,65536,22,0
380,65536,22,0
404,65536,22,0
428,65536,22,0
452,65536,22,0
476,65536,22,0
500,65536,22,0
524,65536,22,0
548,65536,22,0
572,65536,22,0
596,65536,22,0
620,65536,22,0
644,65536,22,0
668,65536,22,0
692,65536,22,0
716,65536,22,0
740,65536,22,0
764,65536,22,0
788,65536,22,0
812,65536,22,0
836,65536,22,0
860,65536,22,0
884,65536,22,0
908,65536,22,0
932,65536,22,0
956,65536,22,0
980,65536,22,0
1004,65536,22,0
20,65536,24,15
44,65536,24,8
68,65536,24,6
92,65536,24,3
116,65536,24,3
140,65536,24,0
164,65536,24,5
188,65536,24,1
212,65536,24,0
236,65536,24,0
260,65536,24,0
284,65536,24,0
308,65536,24,0
332,65536,24,0
356,65536,24,0
380,65536,24,0
404,65536,24,0
428,65536,24,0
452,65536,24,0
476,65536,24,0
500,65536,24,0
524,65536,24,0
548,65536,24,0
572,65536,24,0
596,65536,24,0
620,65536,24,0
644,65536,24,0
