d,n,k,errs
500,65536,50,0
44,65536,26,9
68,65536,26,4
92,65536,26,8
116,65536,26,1
524,65536,50,0
140,65536,26,10
164,65536,26,6
548,65536,50,0
572,65536,50,0
188,65536,26,17
212,65536,26,0
596,65536,50,0
236,65536,26,12
620,65536,50,0
260,65536,26,0
644,65536,50,0
284,65536,26,0
668,65536,50,0
308,65536,26,0
692,65536,50,0
332,65536,26,0
356,65536,26,0
716,65536,50,0
740,65536,50,0
380,65536,26,0
404,65536,26,0
764,65536,50,0
428,65536,26,0
788,65536,50,0
452,65536,26,0
476,65536,26,0
812,65536,50,0
500,65536,26,0
836,65536,50,0
524,65536,26,0
548,65536,26,0
860,65536,50,0
572,65536,26,0
884,65536,50,0
596,65536,26,0
620,65536,26,0
908,65536,50,0
644,65536,26,0
932,65536,50,0
668,65536,26,0
692,65536,26,0
956,65536,50,0
716,65536,26,0
980,65536,50,0
740,65536,26,0
1004,65536,50,0
20,65536,52,32
44,65536,52,30
68,65536,52,22
764,65536,26,0
92,65536,52,18
788,65536,26,0
116,65536,52,35
812,65536,26,0
140,65536,52,38
836,65536,26,0
164,65536,52,35
860,65536,26,0
884,65536,26,0
188,65536,52,37
908,65536,26,0
932,65536,26,0
212,65536,52,44
956,65536,26,0
236,65536,52,43
980,65536,26,0
1004,65536,26,0
20,65536,28,15
260,65536,52,45
44,65536,28,12
68,65536,28,11
92,65536,28,8
116,65536,28,7
284,65536,52,38
140,65536,28,16
164,65536,28,11
308,65536,52,35
188,65536,28,9
332,65536,52,26
212,65536,28,14
236,65536,28,8
356,65536,52,37
260,65536,28,0
284,65536,28,0
308,65536,28,0
380,65536,52,31
332,65536,28,0
356,65536,28,0
404,65536,52,28
380,65536,28,0
404,65536,28,0
428,65536,52,0
452,65536,52,0
428,65536,28,0
452,65536,28,0
476,65536,52,2
476,65536,28,0
500,65536,28,0
500,65536,52,0
524,65536,28,0
548,65536,28,0
572,65536,28,0
524,65536,52,0
596,65536,28,0
548,65536,52,0
620,65536,28,0
644,65536,28,0
572,65536,52,0
668,65536,28,0
692,65536,28,0
596,65536,52,0
716,65536,28,0
620,65536,52,0
740,65536,28,0
644,65536,52,0
764,65536,28,0
788,65536,28,0
668,65536,52,0
812,65536,28,0
692,65536,52,0
836,65536,28,0
716,65536,52,0
860,65536,28,0
740,65536,52,0
884,65536,28,0
764,65536,52,0
908,65536,28,0
788,65536,52,0
932,65536,28,0
812,65536,52,0
956,65536,28,0
836,65536,52,0
980,65536,28,0
860,65536,52,0
1004,65536,28,0
20,65536,30,14
44,65536,30,13
68,65536,30,7
884,65536,52,0
92,65536,30,13
116,65536,30,2
908,65536,52,0
140,65536,30,22
932,65536,52,0
164,65536,30,18
956,65536,52,0
188,65536,30,2
980,65536,52,0
212,65536,30,7
1004,65536,52,0
20,65536,54,33
44,65536,54,30
68,65536,54,26
236,65536,30,19
92,65536,54,26
260,65536,30,3
116,65536,54,27
140,65536,54,28
284,65536,30,0
308,65536,30,0
164,65536,54,34
332,65536,30,0
356,65536,30,0
188,65536,54,38
380,65536,30,0
212,65536,54,43
404,65536,30,0
236,65536,54,42
428,65536,30,0
452,65536,30,0
260,65536,54,38
476,65536,30,0
500,65536,30,0
524,65536,30,0
284,65536,54,47
548,65536,30,0
572,65536,30,0
308,65536,54,41
596,65536,30,0
620,65536,30,0
644,65536,30,0
332,65536,54,39
668,65536,30,0
692,65536,30,0
716,65536,30,0
356,65536,54,37
740,65536,30,0
764,65536,30,0
380,65536,54,40
788,65536,30,0
812,65536,30,0
836,65536,30,0
404,65536,54,43
860,65536,30,0
428,65536,54,0
884,65536,30,0
908,65536,30,0
452,65536,54,24
932,65536,30,0
476,65536,54,0
956,65536,30,0
500,65536,54,0
980,65536,30,0
524,65536,54,0
1004,65536,30,0
20,65536,32,19
44,65536,32,12
68,65536,32,7
92,65536,32,6
548,65536,54,0
116,65536,32,9
572,65536,54,0
140,65536,32,5
164,65536,32,18
596,65536,54,0
620,65536,54,0
188,65536,32,16
212,65536,32,0
644,65536,54,0
668,65536,54,0
236,65536,32,20
692,65536,54,0
260,65536,32,0
284,65536,32,0
716,65536,54,0
308,65536,32,3
740,65536,54,0
332,65536,32,0
764,65536,54,0
356,65536,32,0
788,65536,54,0
380,65536,32,0
812,65536,54,0
404,65536,32,0
428,65536,32,0
836,65536,54,0
452,65536,32,0
860,65536,54,0
476,65536,32,0
500,65536,32,0
884,65536,54,0
524,65536,32,0
908,65536,54,0
548,65536,32,0
572,65536,32,0
932,65536,54,0
596,65536,32,0
956,65536,54,0
620,65536,32,0
644,65536,32,0
980,65536,54,0
668,65536,32,0
1004,65536,54,0
20,65536,56,35
44,65536,56,22
692,65536,32,0
68,65536,56,29
716,65536,32,0
92,65536,56,26
740,65536,32,0
116,65536,56,35
764,65536,32,0
140,65536,56,26
788,65536,32,0
164,65536,56,41
812,65536,32,0
836,65536,32,0
188,65536,56,28
860,65536,32,0
212,65536,56,29
884,65536,32,0
236,65536,56,36
908,65536,32,0
932,65536,32,0
260,65536,56,41
956,65536,32,0
980,65536,32,0
284,65536,56,47
1004,65536,32,0
20,65536,34,14
44,65536,34,11
68,65536,34,9
92,65536,34,11
308,65536,56,46
116,65536,34,15
140,65536,34,13
332,65536,56,48
164,65536,34,19
188,65536,34,15
356,65536,56,47
212,65536,34,17
380,65536,56,30
236,65536,34,15
260,65536,34,0
404,65536,56,5
284,65536,34,0
428,65536,56,0
308,65536,34,0
332,65536,34,0
452,65536,56,0
476,65536,56,0
356,65536,34,0
380,65536,34,0
500,65536,56,0
404,65536,34,0
428,65536,34,0
524,65536,56,0
452,65536,34,0
548,65536,56,0
476,65536,34,0
500,65536,34,0
572,65536,56,0
524,65536,34,0
596,65536,56,0
548,65536,34,0
572,65536,34,0
620,65536,56,0
596,65536,34,0
644,65536,56,0
620,65536,34,0
644,65536,34,0
668,65536,56,0
668,65536,34,0
692,65536,56,0
692,65536,34,0
716,65536,56,0
716,65536,34,0
740,65536,56,0
740,65536,34,0
764,65536,56,0
764,65536,34,0
788,65536,56,0
788,65536,34,0
812,65536,34,0
812,65536,56,0
836,65536,34,0
836,65536,56,0
860,65536,34,0
860,65536,56,0
884,65536,34,0
884,65536,56,0
908,65536,34,0
908,65536,56,0
932,65536,34,0
932,65536,56,0
956,65536,34,0
956,65536,56,0
980,65536,34,0
980,65536,56,0
1004,65536,34,0
20,65536,36,23
44,65536,36,16
68,65536,36,12
1004,65536,56,0
20,65536,58,41
44,65536,58,27
68,65536,58,24
92,65536,36,19
92,65536,58,22
116,65536,58,31
116,65536,36,25
140,65536,58,39
140,65536,36,26
164,65536,58,41
164,65536,36,20
188,65536,36,19
188,65536,58,32
212,65536,36,21
212,65536,58,36
236,65536,36,14
236,65536,58,39
260,65536,36,21
260,65536,58,45
284,65536,36,4
308,65536,36,0
332,65536,36,0
284,65536,58,40
356,65536,36,0
380,65536,36,0
308,65536,58,49
404,65536,36,0
428,65536,36,0
332,65536,58,45
452,65536,36,0
476,65536,36,0
356,65536,58,47
500,65536,36,0
524,65536,36,0
548,65536,36,0
380,65536,58,34
572,65536,36,0
596,65536,36,0
620,65536,36,0
404,65536,58,37
644,65536,36,0
668,65536,36,0
692,65536,36,0
428,65536,58,41
716,65536,36,0
452,65536,58,0
740,65536,36,0
476,65536,58,0
764,65536,36,0
500,65536,58,0
788,65536,36,0
524,65536,58,0
812,65536,36,0
548,65536,58,0
836,65536,36,0
860,65536,36,0
572,65536,58,0
884,65536,36,0
908,65536,36,0
596,65536,58,0
932,65536,36,0
620,65536,58,0
956,65536,36,0
644,65536,58,0
980,65536,36,0
668,65536,58,0
1004,65536,36,0
20,65536,38,26
44,65536,38,13
68,65536,38,13
92,65536,38,14
692,65536,58,0
116,65536,38,14
716,65536,58,0
140,65536,38,22
164,65536,38,27
740,65536,58,0
764,65536,58,0
188,65536,38,30
788,65536,58,0
212,65536,38,25
812,65536,58,0
236,65536,38,7
836,65536,58,0
260,65536,38,3
860,65536,58,0
284,65536,38,0
884,65536,58,0
308,65536,38,0
908,65536,58,0
332,65536,38,5
356,65536,38,0
932,65536,58,0
380,65536,38,0
956,65536,58,0
404,65536,38,0
980,65536,58,0
428,65536,38,0
452,65536,38,0
1004,65536,58,0
20,65536,60,40
44,65536,60,30
68,65536,60,25
476,65536,38,0
92,65536,60,41
500,65536,38,0
116,65536,60,47
524,65536,38,0
140,65536,60,30
548,65536,38,0
164,65536,60,35
572,65536,38,0
188,65536,60,42
596,65536,38,0
620,65536,38,0
212,65536,60,43
644,65536,38,0
668,65536,38,0
236,65536,60,43
692,65536,38,0
716,65536,38,0
260,65536,60,45
740,65536,38,0
764,65536,38,0
284,65536,60,46
788,65536,38,0
812,65536,38,0
308,65536,60,50
836,65536,38,0
860,65536,38,0
332,65536,60,36
884,65536,38,0
908,65536,38,0
932,65536,38,0
956,65536,38,0
356,65536,60,47
980,65536,38,0
380,65536,60,47
1004,65536,38,0
20,65536,40,30
44,65536,40,21
68,65536,40,12
92,65536,40,10
116,65536,40,21
404,65536,60,47
140,65536,40,30
164,65536,40,32
188,65536,40,9
428,65536,60,42
452,65536,60,0
212,65536,40,21
476,65536,60,0
236,65536,40,20
500,65536,60,0
524,65536,60,0
260,65536,40,28
548,65536,60,2
284,65536,40,20
572,65536,60,0
308,65536,40,23
596,65536,60,0
332,65536,40,0
356,65536,40,0
380,65536,40,2
620,65536,60,0
404,65536,40,0
428,65536,40,0
644,65536,60,0
452,65536,40,0
668,65536,60,0
476,65536,40,0
692,65536,60,0
500,65536,40,0
716,65536,60,0
524,65536,40,0
740,65536,60,0
548,65536,40,0
572,65536,40,0
764,65536,60,0
596,65536,40,0
788,65536,60,0
620,65536,40,0
812,65536,60,0
644,65536,40,0
668,65536,40,0
836,65536,60,0
692,65536,40,0
860,65536,60,0
716,65536,40,0
884,65536,60,0
740,65536,40,0
908,65536,60,0
764,65536,40,0
788,65536,40,0
932,65536,60,0
812,65536,40,0
956,65536,60,0
836,65536,40,0
980,65536,60,0
860,65536,40,0
1004,65536,60,0
20,65536,62,39
44,65536,62,38
68,65536,62,28
884,65536,40,0
92,65536,62,20
116,65536,62,23
908,65536,40,0
140,65536,62,51
932,65536,40,0
164,65536,62,47
956,65536,40,0
980,65536,40,0
188,65536,62,44
1004,65536,40,0
20,65536,42,26
44,65536,42,25
68,65536,42,18
92,65536,42,10
212,65536,62,45
116,65536,42,21
236,65536,62,51
140,65536,42,27
164,65536,42,15
260,65536,62,44
188,65536,42,34
284,65536,62,50
212,65536,42,33
308,65536,62,44
236,65536,42,40
332,65536,62,49
260,65536,42,35
356,65536,62,43
284,65536,42,20
308,65536,42,0
332,65536,42,0
380,65536,62,50
356,65536,42,0
380,65536,42,0
404,65536,42,0
404,65536,62,38
428,65536,42,0
428,65536,62,34
452,65536,42,0
476,65536,42,0
452,65536,62,45
500,65536,42,0
524,65536,42,0
548,65536,42,0
476,65536,62,31
572,65536,42,0
596,65536,42,0
620,65536,42,0
500,65536,62,34
644,65536,42,0
524,65536,62,0
668,65536,42,0
692,65536,42,0
548,65536,62,0
716,65536,42,0
572,65536,62,0
740,65536,42,0
764,65536,42,0
596,65536,62,0
788,65536,42,0
620,65536,62,0
812,65536,42,0
836,65536,42,0
644,65536,62,0
860,65536,42,0
668,65536,62,0
884,65536,42,0
692,65536,62,0
908,65536,42,0
716,65536,62,0
932,65536,42,0
740,65536,62,0
956,65536,42,0
764,65536,62,0
980,65536,42,0
788,65536,62,0
1004,65536,42,0
20,65536,44,33
44,65536,44,22
68,65536,44,23
92,65536,44,16
812,65536,62,0
116,65536,44,20
140,65536,44,12
836,65536,62,0
164,65536,44,30
860,65536,62,0
884,65536,62,0
188,65536,44,28
908,65536,62,0
212,65536,44,34
932,65536,62,0
236,65536,44,25
956,65536,62,0
260,65536,44,27
980,65536,62,0
284,65536,44,0
1004,65536,62,0
20,65536,64,35
44,65536,64,34
68,65536,64,29
92,65536,64,36
308,65536,44,29
116,65536,64,43
332,65536,44,5
140,65536,64,47
356,65536,44,1
164,65536,64,42
380,65536,44,6
188,65536,64,39
404,65536,44,0
428,65536,44,0
212,65536,64,51
452,65536,44,0
236,65536,64,47
260,65536,64,47
476,65536,44,0
500,65536,44,0
284,65536,64,56
524,65536,44,0
548,65536,44,0
308,65536,64,47
572,65536,44,0
596,65536,44,0
332,65536,64,51
620,65536,44,0
644,65536,44,0
356,65536,64,55
668,65536,44,0
692,65536,44,0
380,65536,64,43
716,65536,44,0
740,65536,44,0
764,65536,44,0
404,65536,64,35
788,65536,44,0
812,65536,44,0
836,65536,44,0
428,65536,64,29
860,65536,44,0
884,65536,44,0
452,65536,64,41
908,65536,44,0
476,65536,64,1
932,65536,44,0
956,65536,44,0
500,65536,64,6
980,65536,44,0
1004,65536,44,0
20,65536,46,29
44,65536,46,30
68,65536,46,13
524,65536,64,0
92,65536,46,23
548,65536,64,0
116,65536,46,26
140,65536,46,28
572,65536,64,0
164,65536,46,34
596,65536,64,0
188,65536,46,30
620,65536,64,0
212,65536,46,33
236,65536,46,29
644,65536,64,0
260,65536,46,34
668,65536,64,0
692,65536,64,0
284,65536,46,31
716,65536,64,0
308,65536,46,6
740,65536,64,0
332,65536,46,33
764,65536,64,0
356,65536,46,0
788,65536,64,0
380,65536,46,0
812,65536,64,0
404,65536,46,1
836,65536,64,0
428,65536,46,0
860,65536,64,0
452,65536,46,0
884,65536,64,0
476,65536,46,0
908,65536,64,0
932,65536,64,0
500,65536,46,0
524,65536,46,0
956,65536,64,0
548,65536,46,0
980,65536,64,0
572,65536,46,0
1004,65536,64,0
20,65536,66,45
44,65536,66,43
68,65536,66,34
596,65536,46,0
92,65536,66,34
116,65536,66,33
620,65536,46,0
140,65536,66,42
644,65536,46,0
164,65536,66,31
668,65536,46,0
692,65536,46,0
188,65536,66,47
716,65536,46,0
212,65536,66,47
740,65536,46,0
764,65536,46,0
236,65536,66,49
788,65536,46,0
260,65536,66,49
812,65536,46,0
836,65536,46,0
860,65536,46,0
284,65536,66,58
884,65536,46,0
908,65536,46,0
308,65536,66,55
932,65536,46,0
956,65536,46,0
332,65536,66,56
980,65536,46,0
1004,65536,46,0
20,65536,48,31
44,65536,48,28
68,65536,48,22
356,65536,66,52
92,65536,48,25
116,65536,48,29
380,65536,66,52
140,65536,48,32
164,65536,48,23
404,65536,66,52
188,65536,48,29
212,65536,48,34
428,65536,66,36
236,65536,48,25
452,65536,66,50
260,65536,48,35
284,65536,48,26
476,65536,66,28
500,65536,66,0
308,65536,48,19
524,65536,66,2
332,65536,48,24
356,65536,48,0
548,65536,66,45
572,65536,66,0
380,65536,48,35
596,65536,66,0
404,65536,48,5
428,65536,48,0
620,65536,66,0
452,65536,48,0
644,65536,66,0
668,65536,66,0
476,65536,48,0
692,65536,66,0
500,65536,48,0
716,65536,66,0
524,65536,48,0
548,65536,48,0
740,65536,66,0
572,65536,48,0
764,65536,66,0
596,65536,48,0
788,65536,66,0
620,65536,48,0
812,65536,66,0
644,65536,48,0
836,65536,66,0
668,65536,48,0
692,65536,48,0
860,65536,66,0
716,65536,48,0
884,65536,66,0
740,65536,48,0
908,65536,66,0
764,65536,48,0
788,65536,48,0
932,65536,66,0
812,65536,48,0
956,65536,66,0
836,65536,48,0
980,65536,66,0
860,65536,48,0
1004,65536,66,0
20,65536,68,40
44,65536,68,44
68,65536,68,37
884,65536,48,0
92,65536,68,27
116,65536,68,41
908,65536,48,0
140,65536,68,48
932,65536,48,0
164,65536,68,52
956,65536,48,0
980,65536,48,0
188,65536,68,49
1004,65536,48,0
20,65536,50,32
44,65536,50,28
68,65536,50,21
92,65536,50,19
212,65536,68,57
116,65536,50,22
236,65536,68,57
140,65536,50,29
260,65536,68,56
164,65536,50,29
188,65536,50,36
284,65536,68,54
212,65536,50,33
308,65536,68,49
236,65536,50,33
332,65536,68,59
260,65536,50,41
356,65536,68,56
284,65536,50,35
308,65536,50,32
380,65536,68,50
332,65536,50,39
404,65536,68,51
356,65536,50,33
428,65536,68,54
380,65536,50,3
404,65536,50,10
452,65536,68,52
428,65536,50,1
452,65536,50,1
476,65536,68,33
476,65536,50,0
500,65536,68,34
500,65536,50,0
524,65536,68,4
524,65536,50,0
548,65536,68,0
548,65536,50,0
572,65536,68,0
572,65536,50,0
596,65536,68,0
596,65536,50,0
620,65536,50,0
620,65536,68,30
644,65536,50,0
644,65536,68,3
668,65536,50,0
692,65536,50,0
716,65536,50,0
668,65536,68,0
740,65536,50,0
692,65536,68,0
764,65536,50,0
716,65536,68,0
788,65536,50,0
740,65536,68,0
812,65536,50,0
764,65536,68,0
836,65536,50,0
860,65536,50,0
788,65536,68,0
884,65536,50,0
812,65536,68,0
908,65536,50,0
836,65536,68,0
932,65536,50,0
860,65536,68,0
956,65536,50,0
980,65536,50,0
884,65536,68,0
1004,65536,50,0
20,65536,52,32
44,65536,52,28
68,65536,52,23
908,65536,68,0
92,65536,52,31
116,65536,52,24
932,65536,68,0
140,65536,52,38
956,65536,68,0
164,65536,52,39
980,65536,68,0
188,65536,52,39
1004,65536,68,0
20,65536,70,45
44,65536,70,44
68,65536,70,34
92,65536,70,35
116,65536,70,26
212,65536,52,28
140,65536,70,49
236,65536,52,32
164,65536,70,43
260,65536,52,45
188,65536,70,46
284,65536,52,39
212,65536,70,45
308,65536,52,34
236,65536,70,54
260,65536,70,60
332,65536,52,42
284,65536,70,55
356,65536,52,36
380,65536,52,1
308,65536,70,65
404,65536,52,35
332,65536,70,61
356,65536,70,64
428,65536,52,1
452,65536,52,0
476,65536,52,0
380,65536,70,54
500,65536,52,0
404,65536,70,58
524,65536,52,0
548,65536,52,0
428,65536,70,47
572,65536,52,0
596,65536,52,0
452,65536,70,48
620,65536,52,0
644,65536,52,0
476,65536,70,51
668,65536,52,0
692,65536,52,0
500,65536,70,0
716,65536,52,0
524,65536,70,2
740,65536,52,0
548,65536,70,0
764,65536,52,0
572,65536,70,0
788,65536,52,0
596,65536,70,0
812,65536,52,0
620,65536,70,0
836,65536,52,0
860,65536,52,0
644,65536,70,0
884,65536,52,0
908,65536,52,0
668,65536,70,0
932,65536,52,0
956,65536,52,0
692,65536,70,0
980,65536,52,0
716,65536,70,0
1004,65536,52,0
20,65536,54,31
44,65536,54,25
68,65536,54,27
92,65536,54,22
740,65536,70,0
116,65536,54,31
764,65536,70,0
140,65536,54,33
788,65536,70,0
164,65536,54,42
812,65536,70,0
188,65536,54,41
836,65536,70,0
212,65536,54,37
860,65536,70,0
236,65536,54,45
884,65536,70,0
260,65536,54,39
908,65536,70,0
932,65536,70,0
284,65536,54,46
956,65536,70,0
980,65536,70,0
308,65536,54,46
1004,65536,70,0
20,65536,72,47
44,65536,72,42
68,65536,72,32
92,65536,72,31
116,65536,72,40
332,65536,54,41
140,65536,72,51
164,65536,72,42
356,65536,54,40
188,65536,72,42
380,65536,54,0
212,65536,72,54
404,65536,54,1
236,65536,72,54
428,65536,54,3
452,65536,54,0
260,65536,72,63
476,65536,54,0
284,65536,72,59
500,65536,54,0
524,65536,54,0
308,65536,72,58
548,65536,54,0
332,65536,72,67
572,65536,54,0
356,65536,72,56
596,65536,54,0
620,65536,54,0
380,65536,72,57
644,65536,54,0
668,65536,54,0
692,65536,54,0
404,65536,72,47
716,65536,54,0
740,65536,54,0
428,65536,72,57
764,65536,54,0
788,65536,54,0
452,65536,72,58
812,65536,54,0
836,65536,54,0
860,65536,54,0
476,65536,72,31
884,65536,54,0
908,65536,54,0
932,65536,54,0
500,65536,72,56
956,65536,54,0
524,65536,72,1
980,65536,54,0
548,65536,72,9
1004,65536,54,0
20,65536,56,32
44,65536,56,30
68,65536,56,24
92,65536,56,18
116,65536,56,35
140,65536,56,33
572,65536,72,38
164,65536,56,42
596,65536,72,0
188,65536,56,39
620,65536,72,0
212,65536,56,40
644,65536,72,0
236,65536,56,43
668,65536,72,0
260,65536,56,37
692,65536,72,0
284,65536,56,48
716,65536,72,0
308,65536,56,46
740,65536,72,0
332,65536,56,43
764,65536,72,0
788,65536,72,0
356,65536,56,27
812,65536,72,0
836,65536,72,0
380,65536,56,52
860,65536,72,0
884,65536,72,0
404,65536,56,33
908,65536,72,0
932,65536,72,0
428,65536,56,25
452,65536,56,2
956,65536,72,0
476,65536,56,0
980,65536,72,0
500,65536,56,0
1004,65536,72,0
20,65536,74,47
44,65536,74,37
68,65536,74,32
92,65536,74,41
116,65536,74,38
140,65536,74,31
524,65536,56,0
164,65536,74,51
548,65536,56,0
188,65536,74,55
572,65536,56,0
212,65536,74,48
596,65536,56,0
236,65536,74,62
620,65536,56,0
260,65536,74,57
644,65536,56,0
668,65536,56,0
284,65536,74,62
692,65536,56,0
308,65536,74,57
716,65536,56,0
740,65536,56,0
332,65536,74,62
764,65536,56,0
788,65536,56,0
356,65536,74,62
812,65536,56,0
836,65536,56,0
380,65536,74,55
860,65536,56,0
884,65536,56,0
404,65536,74,64
908,65536,56,0
932,65536,56,0
428,65536,74,45
956,65536,56,0
980,65536,56,0
452,65536,74,62
1004,65536,56,0
20,65536,58,44
44,65536,58,23
68,65536,58,24
92,65536,58,26
116,65536,58,26
140,65536,58,35
476,65536,74,39
164,65536,58,27
188,65536,58,43
500,65536,74,63
212,65536,58,38
236,65536,58,45
524,65536,74,29
548,65536,74,0
260,65536,58,45
572,65536,74,1
284,65536,58,47
596,65536,74,0
620,65536,74,0
308,65536,58,43
644,65536,74,1
332,65536,58,46
668,65536,74,0
356,65536,58,44
692,65536,74,0
380,65536,58,41
716,65536,74,0
740,65536,74,0
404,65536,58,40
764,65536,74,0
428,65536,58,36
788,65536,74,0
452,65536,58,0
812,65536,74,0
476,65536,58,4
836,65536,74,0
500,65536,58,0
860,65536,74,0
524,65536,58,0
884,65536,74,0
548,65536,58,1
908,65536,74,0
572,65536,58,0
932,65536,74,0
596,65536,58,0
956,65536,74,0
620,65536,58,0
980,65536,74,0
644,65536,58,0
1004,65536,74,0
20,65536,76,47
44,65536,76,37
68,65536,76,31
92,65536,76,35
668,65536,58,0
116,65536,76,50
692,65536,58,0
140,65536,76,41
716,65536,58,0
164,65536,76,51
740,65536,58,0
188,65536,76,60
764,65536,58,0
212,65536,76,56
788,65536,58,0
812,65536,58,0
236,65536,76,54
836,65536,58,0
260,65536,76,59
860,65536,58,0
884,65536,58,0
284,65536,76,66
908,65536,58,0
308,65536,76,68
932,65536,58,0
956,65536,58,0
332,65536,76,60
980,65536,58,0
1004,65536,58,0
20,65536,60,35
44,65536,60,40
68,65536,60,31
356,65536,76,61
92,65536,60,26
116,65536,60,24
140,65536,60,37
380,65536,76,70
164,65536,60,43
188,65536,60,42
404,65536,76,60
212,65536,60,38
428,65536,76,62
236,65536,60,40
260,65536,60,43
452,65536,76,64
284,65536,60,44
476,65536,76,66
308,65536,60,50
332,65536,60,50
500,65536,76,49
356,65536,60,48
524,65536,76,52
380,65536,60,36
404,65536,60,44
548,65536,76,47
428,65536,60,36
572,65536,76,0
452,65536,60,7
596,65536,76,0
476,65536,60,0
500,65536,60,0
620,65536,76,12
524,65536,60,0
644,65536,76,0
548,65536,60,0
668,65536,76,0
572,65536,60,0
692,65536,76,0
596,65536,60,0
620,65536,60,0
716,65536,76,0
644,65536,60,0
740,65536,76,0
668,65536,60,0
692,65536,60,0
764,65536,76,0
716,65536,60,0
740,65536,60,0
788,65536,76,0
764,65536,60,0
812,65536,76,0
788,65536,60,0
836,65536,76,0
812,65536,60,0
860,65536,76,0
836,65536,60,0
884,65536,76,0
860,65536,60,0
908,65536,76,0
884,65536,60,0
908,65536,60,0
932,65536,76,0
932,65536,60,0
956,65536,76,0
956,65536,60,0
980,65536,76,0
980,65536,60,0
1004,65536,76,0
20,65536,78,54
44,65536,78,46
68,65536,78,35
1004,65536,60,0
20,65536,62,39
44,65536,62,33
92,65536,78,46
68,65536,62,30
116,65536,78,36
92,65536,62,26
140,65536,78,30
116,65536,62,37
164,65536,78,45
140,65536,62,28
164,65536,62,38
188,65536,78,57
188,65536,62,43
212,65536,78,62
236,65536,78,69
212,65536,62,47
260,65536,78,71
236,65536,62,51
260,65536,62,52
284,65536,78,63
284,65536,62,47
308,65536,78,59
308,65536,62,50
332,65536,78,60
332,65536,62,53
356,65536,78,54
356,65536,62,52
380,65536,78,64
380,65536,62,43
404,65536,78,62
404,65536,62,21
428,65536,78,61
428,65536,62,51
452,65536,78,66
452,65536,62,46
476,65536,78,52
476,65536,62,17
500,65536,62,0
524,65536,62,0
500,65536,78,59
548,65536,62,1
524,65536,78,67
572,65536,62,0
596,65536,62,0
620,65536,62,0
644,65536,62,0
548,65536,78,43
572,65536,78,0
668,65536,62,0
596,65536,78,1
692,65536,62,0
716,65536,62,0
620,65536,78,1
740,65536,62,0
644,65536,78,0
764,65536,62,0
788,65536,62,0
668,65536,78,0
812,65536,62,0
836,65536,62,0
692,65536,78,0
860,65536,62,0
716,65536,78,0
884,65536,62,0
740,65536,78,0
908,65536,62,0
764,65536,78,0
932,65536,62,0
788,65536,78,0
956,65536,62,0
980,65536,62,0
812,65536,78,0
1004,65536,62,0
20,65536,64,43
44,65536,64,36
68,65536,64,34
836,65536,78,0
92,65536,64,38
860,65536,78,0
116,65536,64,40
140,65536,64,29
164,65536,64,39
884,65536,78,0
908,65536,78,0
188,65536,64,39
932,65536,78,0
212,65536,64,44
956,65536,78,0
236,65536,64,53
980,65536,78,0
260,65536,64,46
1004,65536,78,0
20,65536,80,55
44,65536,80,47
68,65536,80,34
92,65536,80,38
284,65536,64,48
116,65536,80,50
140,65536,80,45
164,65536,80,58
308,65536,64,48
188,65536,80,57
332,65536,64,45
212,65536,80,62
356,65536,64,46
236,65536,80,67
260,65536,80,61
380,65536,64,41
284,65536,80,63
308,65536,80,75
332,65536,80,68
404,65536,64,45
356,65536,80,63
428,65536,64,46
452,65536,64,0
380,65536,80,72
404,65536,80,66
476,65536,64,25
500,65536,64,15
428,65536,80,69
524,65536,64,0
548,65536,64,0
452,65536,80,67
572,65536,64,0
596,65536,64,0
476,65536,80,63
620,65536,64,0
644,65536,64,0
500,65536,80,57
668,65536,64,0
692,65536,64,0
524,65536,80,55
716,65536,64,0
548,65536,80,43
740,65536,64,0
572,65536,80,1
764,65536,64,0
788,65536,64,0
812,65536,64,0
596,65536,80,33
836,65536,64,0
620,65536,80,7
860,65536,64,0
644,65536,80,3
884,65536,64,0
668,65536,80,0
908,65536,64,0
932,65536,64,0
692,65536,80,0
956,65536,64,0
980,65536,64,0
716,65536,80,0
1004,65536,64,0
20,65536,66,32
44,65536,66,38
68,65536,66,41
740,65536,80,0
92,65536,66,40
116,65536,66,36
140,65536,66,42
764,65536,80,0
164,65536,66,38
788,65536,80,0
188,65536,66,43
812,65536,80,0
212,65536,66,51
836,65536,80,0
236,65536,66,58
860,65536,80,0
260,65536,66,51
884,65536,80,0
284,65536,66,62
908,65536,80,0
932,65536,80,0
308,65536,66,52
956,65536,80,0
332,65536,66,55
980,65536,80,0
356,65536,66,43
1004,65536,80,0
20,65536,82,54
44,65536,82,52
68,65536,82,40
92,65536,82,38
116,65536,82,37
140,65536,82,39
380,65536,66,58
164,65536,82,62
188,65536,82,61
404,65536,66,39
212,65536,82,70
428,65536,66,41
236,65536,82,66
452,65536,66,0
260,65536,82,67
284,65536,82,68
476,65536,66,45
308,65536,82,72
500,65536,66,37
332,65536,82,72
524,65536,66,4
548,65536,66,0
356,65536,82,74
572,65536,66,0
596,65536,66,0
380,65536,82,64
620,65536,66,0
644,65536,66,0
404,65536,82,73
668,65536,66,0
428,65536,82,72
692,65536,66,0
716,65536,66,0
452,65536,82,61
740,65536,66,0
764,65536,66,0
476,65536,82,72
788,65536,66,0
812,65536,66,0
500,65536,82,69
836,65536,66,0
860,65536,66,0
884,65536,66,0
524,65536,82,62
