method,n,eta,k,d_per_nat,d,dict_type,acc
2_step,256,0.0,1,6.142857074737549,40,spherical,1.0
2_step,256,0.0,1,6.285714149475098,41,rademacher,1.0
2_step,256,0.0,1,6.285714149475098,41,spherical,1.0
2_step,256,0.0,1,6.4285712242126465,42,rademacher,1.0
2_step,256,0.0,1,6.4285712242126465,42,spherical,1.0
2_step,256,0.0,1,6.571428298950195,43,rademacher,1.0
2_step,256,0.0,1,6.571428298950195,43,spherical,1.0
2_step,256,0.0,1,6.714285850524902,43,rademacher,1.0
2_step,256,0.0,1,6.714285850524902,43,spherical,1.0
2_step,256,0.0,1,6.857142925262451,44,rademacher,1.0
2_step,256,0.0,1,6.857142925262451,44,spherical,1.0
2_step,256,0.0,1,7.0,45,rademacher,1.0
2_step,256,0.0,1,7.0,45,spherical,1.0
2_step,256,0.0,1,7.142857074737549,46,rademacher,1.0
2_step,256,0.0,1,7.142857074737549,46,spherical,1.0
2_step,256,0.0,1,7.285714149475098,47,rademacher,1.0
2_step,256,0.0,1,7.285714149475098,47,spherical,1.0
2_step,256,0.0,1,7.4285712242126465,48,rademacher,1.0
2_step,256,0.0,1,7.4285712242126465,48,spherical,1.0
2_step,256,0.0,1,7.571428298950195,49,rademacher,1.0
2_step,256,0.0,1,7.571428298950195,49,spherical,1.0
2_step,256,0.0,1,7.714285850524902,50,rademacher,1.0
2_step,256,0.0,1,7.714285850524902,50,spherical,1.0
2_step,256,0.0,1,7.857142925262451,51,rademacher,1.0
2_step,256,0.0,1,7.857142925262451,51,spherical,1.0
2_step,256,0.0,1,8.0,52,rademacher,1.0
2_step,256,0.0,1,8.0,52,spherical,1.0
2_step,256,0.0,1,8.142857551574707,53,rademacher,1.0
2_step,256,0.0,1,8.142857551574707,53,spherical,1.0
2_step,256,0.0,1,8.285714149475098,54,rademacher,1.0
2_step,256,0.0,1,8.285714149475098,54,spherical,1.0
2_step,256,0.0,1,8.428571701049805,55,rademacher,1.0
2_step,256,0.0,1,8.428571701049805,55,spherical,1.0
2_step,256,0.0,1,8.571428298950195,56,rademacher,1.0
2_step,256,0.0,1,8.571428298950195,56,spherical,1.0
2_step,256,0.0,1,8.714285850524902,57,rademacher,1.0
