k,d,max_steps,n,acc
1,224,1,65536,1.0
1,224,1,1048576,1.0
1,224,2,256,1.0
1,224,2,4096,1.0
1,224,2,65536,1.0
1,224,2,1048576,1.0
1,224,4,256,1.0
1,224,4,4096,1.0
1,224,4,65536,1.0
1,224,4,1048576,1.0
1,224,64,256,1.0
1,224,64,4096,1.0
1,224,64,65536,1.0
1,224,64,1048576,1.0
1,240,1,256,1.0
1,240,1,4096,1.0
1,240,1,65536,1.0
1,240,1,1048576,1.0
1,240,2,256,1.0
1,240,2,4096,1.0
1,240,2,65536,1.0
1,240,2,1048576,1.0
1,240,4,256,1.0
1,240,4,4096,1.0
1,240,4,65536,1.0
1,240,4,1048576,1.0
1,240,64,256,1.0
1,240,64,4096,1.0
1,240,64,65536,1.0
1,240,64,1048576,1.0
1,256,1,256,1.0
1,256,1,4096,1.0
1,256,1,65536,1.0
1,256,1,1048576,1.0
1,256,2,256,1.0
1,256,2,4096,1.0
1,256,2,65536,1.0
1,256,2,1048576,1.0
1,256,4,256,1.0
1,256,4,4096,1.0
1,256,4,65536,1.0
1,256,4,1048576,1.0
1,256,64,256,1.0
1,256,64,4096,1.0
1,256,64,65536,1.0
1,256,64,1048576,1.0
1,272,1,256,1.0
1,272,1,4096,1.0
1,272,1,65536,1.0
1,272,1,1048576,1.0
1,272,2,256,1.0
1,272,2,4096,1.0
1,272,2,65536,1.0
1,272,2,1048576,1.0
1,272,4,256,1.0
1,272,4,4096,1.0
1,272,4,65536,1.0
1,272,4,1048576,1.0
1,272,64,256,1.0
1,272,64,4096,1.0
1,272,64,65536,1.0
1,272,64,1048576,1.0
1,288,1,256,1.0
1,288,1,4096,1.0
1,288,1,65536,1.0
1,288,1,1048576,1.0
1,288,2,256,1.0
1,288,2,4096,1.0
1,288,2,65536,1.0
1,288,2,1048576,1.0
1,288,4,256,1.0
1,288,4,4096,1.0
1,288,4,65536,1.0
1,288,4,1048576,1.0
1,288,64,256,1.0
1,288,64,4096,1.0
1,288,64,65536,1.0
1,288,64,1048576,1.0
1,304,1,256,1.0
1,304,1,4096,1.0
1,304,1,65536,1.0
1,304,1,1048576,1.0
1,304,2,256,1.0
1,304,2,4096,1.0
1,304,2,65536,1.0
1,304,2,1048576,1.0
1,304,4,256,1.0
1,304,4,4096,1.0
1,304,4,65536,1.0
1,304,4,1048576,1.0
1,304,64,256,1.0
1,304,64,4096,1.0
1,304,64,65536,1.0
1,304,64,1048576,1.0
1,320,1,256,1.0
1,320,1,4096,1.0
1,320,1,65536,1.0
1,320,1,1048576,1.0
1,320,2,256,1.0
1,320,2,4096,1.0
1,320,2,65536,1.0
1,320,2,1048576,1.0
1,320,4,256,1.0
1,320,4,4096,1.0
1,320,4,65536,1.0
1,320,4,1048576,1.0
1,320,64,256,1.0
1,320,64,4096,1.0
1,320,64,65536,1.0
1,320,64,1048576,1.0
1,336,1,256,1.0
1,336,1,4096,1.0
1,336,1,65536,1.0
1,336,1,1048576,1.0
1,336,2,256,1.0
1,336,2,4096,1.0
1,336,2,65536,1.0
1,336,2,1048576,1.0
1,336,4,256,1.0
1,336,4,4096,1.0
1,336,4,65536,1.0
1,336,4,1048576,1.0
1,336,64,256,1.0
1,336,64,4096,1.0
1,336,64,65536,1.0
1,336,64,1048576,1.0
1,352,1,256,1.0
1,352,1,4096,1.0
1,352,1,65536,1.0
1,352,1,1048576,1.0
1,352,2,256,1.0
1,352,2,4096,1.0
1,352,2,65536,1.0
1,352,2,1048576,1.0
1,352,4,256,1.0
1,352,4,4096,1.0
1,352,4,65536,1.0
1,352,4,1048576,1.0
1,352,64,256,1.0
1,352,64,4096,1.0
1,352,64,65536,1.0
1,352,64,1048576,1.0
1,368,1,256,1.0
1,368,1,4096,1.0
1,368,1,65536,1.0
1,368,1,1048576,1.0
1,368,2,256,1.0
1,368,2,4096,1.0
1,368,2,65536,1.0
1,368,2,1048576,1.0
1,368,4,256,1.0
1,368,4,4096,1.0
1,368,4,65536,1.0
1,368,4,1048576,1.0
1,368,64,256,1.0
1,368,64,4096,1.0
1,368,64,65536,1.0
1,368,64,1048576,1.0
1,384,1,256,1.0
1,384,1,4096,1.0
1,384,1,65536,1.0
1,384,1,1048576,1.0
1,384,2,256,1.0
1,384,2,4096,1.0
1,384,2,65536,1.0
1,384,2,1048576,1.0
1,384,4,256,1.0
1,384,4,4096,1.0
1,384,4,65536,1.0
1,384,4,1048576,1.0
1,384,64,256,1.0
1,384,64,4096,1.0
1,384,64,65536,1.0
1,384,64,1048576,1.0
1,400,1,256,1.0
1,400,1,4096,1.0
1,400,1,65536,1.0
1,400,1,1048576,1.0
1,400,2,256,1.0
1,400,2,4096,1.0
1,400,2,65536,1.0
1,400,2,1048576,1.0
1,400,4,256,1.0
1,400,4,4096,1.0
1,400,4,65536,1.0
1,400,4,1048576,1.0
1,400,64,256,1.0
1,400,64,4096,1.0
1,400,64,65536,1.0
1,400,64,1048576,1.0
1,416,1,256,1.0
1,416,1,4096,1.0
1,416,1,65536,1.0
1,416,1,1048576,1.0
1,416,2,256,1.0
1,416,2,4096,1.0
1,416,2,65536,1.0
1,416,2,1048576,1.0
1,416,4,256,1.0
1,416,4,4096,1.0
1,416,4,65536,1.0
1,416,4,1048576,1.0
1,416,64,256,1.0
1,416,64,4096,1.0
1,416,64,65536,1.0
1,416,64,1048576,1.0
1,432,1,256,1.0
1,432,1,4096,1.0
1,432,1,65536,1.0
1,432,1,1048576,1.0
1,432,2,256,1.0
1,432,2,4096,1.0
1,432,2,65536,1.0
1,432,2,1048576,1.0
1,432,4,256,1.0
1,432,4,4096,1.0
1,432,4,65536,1.0
1,432,4,1048576,1.0
1,432,64,256,1.0
1,432,64,4096,1.0
1,432,64,65536,1.0
1,432,64,1048576,1.0
1,448,1,256,1.0
1,448,1,4096,1.0
1,448,1,65536,1.0
1,448,1,1048576,1.0
1,448,2,256,1.0
1,448,2,4096,1.0
1,448,2,65536,1.0
1,448,2,1048576,1.0
1,448,4,256,1.0
1,448,4,4096,1.0
1,448,4,65536,1.0
1,448,4,1048576,1.0
1,448,64,256,1.0
1,448,64,4096,1.0
1,448,64,65536,1.0
1,448,64,1048576,1.0
1,464,1,256,1.0
1,464,1,4096,1.0
1,464,1,65536,1.0
1,464,1,1048576,1.0
1,464,2,256,1.0
1,464,2,4096,1.0
1,464,2,65536,1.0
1,464,2,1048576,1.0
1,464,4,256,1.0
1,464,4,4096,1.0
1,464,4,65536,1.0
1,464,4,1048576,1.0
1,464,64,256,1.0
1,464,64,4096,1.0
1,464,64,65536,1.0
1,464,64,1048576,1.0
1,480,1,256,1.0
1,480,1,4096,1.0
1,480,1,65536,1.0
1,480,1,1048576,1.0
1,480,2,256,1.0
1,480,2,4096,1.0
1,480,2,65536,1.0
1,480,2,1048576,1.0
1,480,4,256,1.0
1,480,4,4096,1.0
1,480,4,65536,1.0
1,480,4,1048576,1.0
1,480,64,256,1.0
1,480,64,4096,1.0
1,480,64,65536,1.0
1,480,64,1048576,1.0
1,496,1,256,1.0
1,496,1,4096,1.0
1,496,1,65536,1.0
1,496,1,1048576,1.0
1,496,2,256,1.0
1,496,2,4096,1.0
1,496,2,65536,1.0
