type,n,k,d,success_rate,b
topk,4096,12,6232,1.0,80
topk,4096,12,6888,1.0,80
topk,4096,12,7544,1.0,80
topk,4096,12,7708,1.0,80
threshold,4096,12,8036,1.0,80
threshold,8192,12,164,0.0,80
threshold,8192,12,328,0.0,80
threshold,8192,12,1148,1.0,80
topk,8192,12,1968,1.0,80
topk,8192,12,2132,1.0,80
topk,8192,12,2460,1.0,80
topk,8192,12,3116,1.0,80
topk,8192,12,3936,1.0,80
topk,8192,12,4264,1.0,80
threshold,8192,12,6724,1.0,80
topk,8192,12,7216,1.0,80
topk,8192,12,7380,1.0,80
topk,8192,12,7872,1.0,80
topk,16384,12,984,1.0,80
topk,16384,12,1312,1.0,80
threshold,16384,12,1476,1.0,80
threshold,16384,12,2624,1.0,80
topk,16384,12,3444,1.0,80
topk,16384,12,3608,1.0,80
topk,16384,12,3772,1.0,80
topk,16384,12,4592,1.0,80
threshold,16384,12,4920,1.0,80
threshold,16384,12,5412,1.0,80
threshold,16384,12,6232,1.0,80
threshold,16384,12,6888,1.0,80
threshold,16384,12,7544,1.0,80
threshold,16384,12,7708,1.0,80
threshold,32768,12,984,0.8625,80
threshold,32768,12,1312,1.0,80
topk,32768,12,1640,1.0,80
threshold,32768,12,3444,1.0,80
threshold,32768,12,3608,1.0,80
threshold,32768,12,3772,1.0,80
threshold,32768,12,4592,1.0,80
topk,32768,12,8036,1.0,80
threshold,65536,12,492,0.0,80
threshold,65536,12,656,0.0,80
threshold,65536,12,1804,1.0,80
threshold,65536,12,2296,1.0,80
topk,65536,12,2952,1.0,80
threshold,65536,12,3280,1.0,80
threshold,65536,12,4100,1.0,80
topk,65536,12,4428,1.0,80
threshold,65536,12,4756,1.0,80
topk,65536,12,5084,1.0,80
topk,65536,12,5248,1.0,80
topk,65536,12,5576,1.0,80
topk,65536,12,5740,1.0,80
topk,65536,12,6068,1.0,80
topk,65536,12,6396,1.0,80
threshold,65536,12,7052,1.0,80
threshold,131072,12,1476,1.0,80
topk,131072,12,1476,1.0,80
threshold,131072,12,2624,1.0,80
topk,131072,12,2624,1.0,80
threshold,131072,12,4920,1.0,80
topk,131072,12,4920,1.0,80
threshold,131072,12,5412,1.0,80
topk,131072,12,5412,1.0,80
threshold,131072,12,6232,1.0,80
topk,131072,12,6232,1.0,80
threshold,131072,12,6888,1.0,80
topk,131072,12,6888,1.0,80
threshold,131072,12,7544,1.0,80
topk,131072,12,7544,1.0,80
threshold,131072,12,7708,1.0,80
topk,131072,12,7708,1.0,80
topk,262144,12,164,0.0,80
topk,262144,12,328,0.0625,80
topk,262144,12,1148,1.0,80
threshold,262144,12,1968,1.0,80
threshold,262144,12,2132,1.0,80
threshold,262144,12,2460,1.0,80
threshold,262144,12,3116,1.0,80
threshold,262144,12,3936,1.0,80
threshold,262144,12,4264,1.0,80
topk,262144,12,6724,1.0,80
threshold,262144,12,7216,1.0,80
threshold,262144,12,7380,1.0,80
threshold,262144,12,7872,1.0,80
topk,1048576,46,1640,0.0,80
threshold,1048576,46,1968,0.0,80
threshold,1048576,46,2132,0.0,80
threshold,1048576,46,2460,0.0,80
threshold,1048576,46,3116,0.0,80
threshold,1048576,46,3936,0.15,80
threshold,1048576,46,4264,0.475,80
threshold,1048576,46,7216,1.0,80
threshold,1048576,46,7380,1.0,80
threshold,1048576,46,7872,1.0,80
topk,1048576,46,8036,1.0,80
threshold,256,48,1968,0.8375,80
topk,256,48,1968,0.9875,80
threshold,256,48,2132,0.9,80
topk,256,48,2132,1.0,80
threshold,256,48,2460,0.95,80
topk,256,48,2460,1.0,80
threshold,256,48,3116,0.9875,80
topk,256,48,3116,1.0,80
threshold,256,48,3936,1.0,80
topk,256,48,3936,1.0,80
threshold,256,48,4264,1.0,80
topk,256,48,4264,1.0,80
threshold,256,48,7216,1.0,80
topk,256,48,7216,1.0,80
threshold,256,48,7380,1.0,80
topk,256,48,7380,1.0,80
threshold,256,48,7872,1.0,80
topk,256,48,7872,1.0,80
threshold,512,48,164,0.0,80
threshold,512,48,328,0.0,80
threshold,512,48,1148,0.0375,80
topk,512,48,1476,0.7375,80
topk,512,48,2624,1.0,80
topk,512,48,4920,1.0,80
topk,512,48,5412,1.0,80
topk,512,48,6232,1.0,80
threshold,512,48,6724,1.0,80
topk,512,48,6888,1.0,80
topk,512,48,7544,1.0,80
topk,512,48,7708,1.0,80
threshold,1024,48,492,0.0,80
threshold,1024,48,656,0.0,80
topk,1024,48,1640,0.8375,80
threshold,1024,48,1804,0.35,80
threshold,1024,48,2296,0.75,80
threshold,1024,48,3280,0.9875,80
threshold,1024,48,4100,1.0,80
threshold,1024,48,4756,1.0,80
threshold,1024,48,7052,1.0,80
topk,1024,48,8036,1.0,80
topk,2048,48,164,0.0,80
topk,2048,48,328,0.0,80
topk,2048,48,1148,0.0875,80
threshold,2048,48,1476,0.0125,80
threshold,2048,48,2624,0.8375,80
threshold,2048,48,4920,1.0,80
threshold,2048,48,5412,1.0,80
threshold,2048,48,6232,1.0,80
topk,2048,48,6724,1.0,80
threshold,2048,48,6888,1.0,80
threshold,2048,48,7544,1.0,80
threshold,2048,48,7708,1.0,80
threshold,4096,48,984,0.0,80
threshold,4096,48,1312,0.0,80
topk,4096,48,1640,0.575,80
threshold,4096,48,3444,0.975,80
threshold,4096,48,3608,0.975,80
threshold,4096,48,3772,0.9875,80
threshold,4096,48,4592,0.9875,80
topk,4096,48,8036,1.0,80
threshold,8192,48,984,0.0,80
threshold,8192,48,1312,0.0,80
topk,8192,48,1476,0.275,80
topk,8192,48,2624,0.975,80
threshold,8192,48,3444,0.9375,80
threshold,8192,48,3608,0.9375,80
threshold,8192,48,3772,0.9625,80
threshold,8192,48,4592,0.9875,80
topk,8192,48,4920,1.0,80
topk,8192,48,5412,1.0,80
topk,8192,48,6232,1.0,80
topk,8192,48,6888,1.0,80
topk,8192,48,7544,1.0,80
topk,8192,48,7708,1.0,80
threshold,16384,48,164,0.0,80
threshold,16384,48,328,0.0,80
threshold,16384,48,1148,0.0,80
topk,16384,48,1476,0.175,80
topk,16384,48,2624,0.9625,80
topk,16384,48,4920,1.0,80
topk,16384,48,5412,1.0,80
topk,16384,48,6232,1.0,80
threshold,16384,48,6724,1.0,80
topk,16384,48,6888,1.0,80
topk,16384,48,7544,1.0,80
topk,16384,48,7708,1.0,80
threshold,32768,48,1968,0.0,80
threshold,32768,48,2132,0.0,80
threshold,32768,48,2460,0.025,80
topk,32768,48,2952,0.975,80
threshold,32768,48,3116,0.3625,80
threshold,32768,48,3936,0.925,80
threshold,32768,48,4264,0.975,80
topk,32768,48,4428,1.0,80
topk,32768,48,5084,1.0,80
topk,32768,48,5248,1.0,80
topk,32768,48,5576,1.0,80
topk,32768,48,5740,1.0,80
topk,32768,48,6068,1.0,80
topk,32768,48,6396,1.0,80
threshold,32768,48,7216,1.0,80
threshold,32768,48,7380,1.0,80
threshold,32768,48,7872,1.0,80
topk,65536,48,820,0.0,80
topk,65536,48,2788,0.95,80
threshold,65536,48,2952,0.0375,80
threshold,65536,48,4428,0.9,80
threshold,65536,48,5084,1.0,80
threshold,65536,48,5248,0.9875,80
threshold,65536,48,5576,1.0,80
threshold,65536,48,5740,1.0,80
topk,65536,48,5904,1.0,80
threshold,65536,48,6068,1.0,80
threshold,65536,48,6396,1.0,80
topk,65536,48,6560,1.0,80
topk,524288,12,820,1.0,80
topk,524288,12,2788,1.0,80
threshold,524288,12,2952,1.0,80
threshold,524288,12,4428,1.0,80
threshold,524288,12,5084,1.0,80
threshold,524288,12,5248,1.0,80
threshold,524288,12,5576,1.0,80
threshold,524288,12,5740,1.0,80
topk,524288,12,5904,1.0,80
threshold,524288,12,6068,1.0,80
threshold,524288,12,6396,1.0,80
topk,524288,12,6560,1.0,80
topk,131072,48,820,0.0,80
threshold,131072,48,1476,0.0,80
threshold,131072,48,2624,0.0,80
topk,131072,48,2788,0.9375,80
threshold,131072,48,4920,0.9625,80
threshold,131072,48,5412,0.9875,80
topk,131072,48,5904,1.0,80
threshold,131072,48,6232,1.0,80
topk,131072,48,6560,1.0,80
threshold,131072,48,6888,1.0,80
threshold,131072,48,7544,1.0,80
threshold,131072,48,7708,1.0,80
topk,262144,48,984,0.0,80
topk,262144,48,1312,0.0,80
threshold,262144,48,1968,0.0,80
threshold,262144,48,2132,0.0,80
threshold,262144,48,2460,0.0,80
threshold,262144,48,3116,0.0,80
topk,262144,48,3444,0.9875,80
topk,262144,48,3608,1.0,80
topk,262144,48,3772,1.0,80
threshold,262144,48,3936,0.55,80
threshold,262144,48,4264,0.725,80
topk,262144,48,4592,1.0,80
threshold,262144,48,7216,1.0,80
threshold,262144,48,7380,1.0,80
threshold,262144,48,7872,1.0,80
threshold,524288,48,1476,0.0,80
topk,524288,48,1968,0.125,80
topk,524288,48,2132,0.275,80
topk,524288,48,2460,0.6,80
threshold,524288,48,2624,0.0,80
topk,524288,48,3116,0.9625,80
topk,524288,48,3936,1.0,80
topk,524288,48,4264,1.0,80
threshold,524288,48,4920,0.925,80
threshold,524288,48,5412,0.975,80
threshold,524288,48,6232,1.0,80
threshold,524288,48,6888,1.0,80
topk,524288,48,7216,1.0,80
topk,524288,48,7380,1.0,80
threshold,524288,48,7544,1.0,80
threshold,524288,48,7708,1.0,80
topk,524288,48,7872,1.0,80
topk,1048576,12,820,1.0,80
threshold,1048576,12,1640,1.0,80
topk,1048576,12,2788,1.0,80
topk,1048576,12,5904,1.0,80
topk,1048576,12,6560,1.0,80
threshold,1048576,12,8036,1.0,80
topk,256,14,1476,1.0,80
threshold,256,14,1968,1.0,80
threshold,256,14,2132,1.0,80
threshold,256,14,2460,1.0,80
topk,256,14,2624,1.0,80
threshold,256,14,3116,1.0,80
threshold,256,14,3936,1.0,80
threshold,256,14,4264,1.0,80
topk,256,14,4920,1.0,80
topk,256,14,5412,1.0,80
topk,256,14,6232,1.0,80
topk,256,14,6888,1.0,80
threshold,256,14,7216,1.0,80
threshold,256,14,7380,1.0,80
topk,256,14,7544,1.0,80
topk,256,14,7708,1.0,80
threshold,256,14,7872,1.0,80
threshold,512,14,164,0.0,80
threshold,512,14,328,0.0,80
threshold,512,14,1148,1.0,80
topk,512,14,1968,1.0,80
topk,512,14,2132,1.0,80
topk,512,14,2460,1.0,80
topk,512,14,3116,1.0,80
topk,512,14,3936,1.0,80
topk,512,14,4264,1.0,80
threshold,512,14,6724,1.0,80
topk,512,14,7216,1.0,80
topk,512,14,7380,1.0,80
topk,512,14,7872,1.0,80
topk,1024,14,984,1.0,80
topk,1024,14,1312,1.0,80
threshold,1024,14,1968,1.0,80
threshold,1024,14,2132,1.0,80
threshold,1024,14,2460,1.0,80
threshold,1024,14,3116,1.0,80
topk,1024,14,3444,1.0,80
topk,1024,14,3608,1.0,80
topk,1024,14,3772,1.0,80
threshold,1024,14,3936,1.0,80
threshold,1024,14,4264,1.0,80
topk,1024,14,4592,1.0,80
threshold,1024,14,7216,1.0,80
threshold,1024,14,7380,1.0,80
threshold,1024,14,7872,1.0,80
threshold,2048,14,820,0.8375,80
topk,2048,14,1640,1.0,80
threshold,2048,14,2788,1.0,80
threshold,2048,14,5904,1.0,80
threshold,2048,14,6560,1.0,80
topk,2048,14,8036,1.0,80
topk,4096,14,1476,1.0,80
threshold,4096,14,1968,1.0,80
threshold,4096,14,2132,1.0,80
threshold,4096,14,2460,1.0,80
topk,4096,14,2624,1.0,80
threshold,4096,14,3116,1.0,80
threshold,4096,14,3936,1.0,80
threshold,4096,14,4264,1.0,80
topk,4096,14,4920,1.0,80
topk,4096,14,5412,1.0,80
topk,4096,14,6232,1.0,80
topk,4096,14,6888,1.0,80
threshold,4096,14,7216,1.0,80
threshold,4096,14,7380,1.0,80
topk,4096,14,7544,1.0,80
topk,4096,14,7708,1.0,80
threshold,4096,14,7872,1.0,80
threshold,8192,14,492,0.0,80
threshold,8192,14,656,0.075,80
threshold,8192,14,1804,1.0,80
threshold,8192,14,2296,1.0,80
topk,8192,14,2952,1.0,80
threshold,8192,14,3280,1.0,80
threshold,8192,14,4100,1.0,80
topk,8192,14,4428,1.0,80
threshold,8192,14,4756,1.0,80
topk,8192,14,5084,1.0,80
topk,8192,14,5248,1.0,80
topk,8192,14,5576,1.0,80
topk,8192,14,5740,1.0,80
topk,8192,14,6068,1.0,80
topk,8192,14,6396,1.0,80
threshold,8192,14,7052,1.0,80
topk,16384,14,984,1.0,80
topk,16384,14,1312,1.0,80
threshold,16384,14,1968,1.0,80
threshold,16384,14,2132,1.0,80
threshold,16384,14,2460,1.0,80
threshold,16384,14,3116,1.0,80
topk,16384,14,3444,1.0,80
topk,16384,14,3608,1.0,80
topk,16384,14,3772,1.0,80
threshold,16384,14,3936,1.0,80
threshold,16384,14,4264,1.0,80
topk,16384,14,4592,1.0,80
threshold,16384,14,7216,1.0,80
threshold,16384,14,7380,1.0,80
threshold,16384,14,7872,1.0,80
threshold,32768,14,984,0.6625,80
threshold,32768,14,1312,1.0,80
topk,32768,14,1640,1.0,80
threshold,32768,14,3444,1.0,80
threshold,32768,14,3608,1.0,80
threshold,32768,14,3772,1.0,80
threshold,32768,14,4592,1.0,80
topk,32768,14,8036,1.0,80
threshold,65536,14,164,0.0,80
threshold,65536,14,328,0.0,80
threshold,65536,14,1148,0.9,80
topk,65536,14,1640,1.0,80
threshold,65536,14,6724,1.0,80
topk,65536,14,8036,1.0,80
topk,131072,14,492,0.425,80
topk,131072,14,656,0.9375,80
threshold,131072,14,1640,1.0,80
topk,131072,14,1804,1.0,80
topk,131072,14,2296,1.0,80
topk,131072,14,3280,1.0,80
topk,131072,14,4100,1.0,80
topk,131072,14,4756,1.0,80
topk,131072,14,7052,1.0,80
threshold,131072,14,8036,1.0,80
topk,262144,14,820,1.0,80
threshold,262144,14,1968,1.0,80
threshold,262144,14,2132,1.0,80
threshold,262144,14,2460,1.0,80
topk,262144,14,2788,1.0,80
threshold,262144,14,3116,1.0,80
threshold,262144,14,3936,1.0,80
threshold,262144,14,4264,1.0,80
topk,262144,14,5904,1.0,80
topk,262144,14,6560,1.0,80
threshold,262144,14,7216,1.0,80
threshold,262144,14,7380,1.0,80
threshold,262144,14,7872,1.0,80
threshold,1048576,48,1476,0.0,80
topk,1048576,48,1968,0.1,80
topk,1048576,48,2132,0.1875,80
topk,1048576,48,2460,0.5,80
threshold,1048576,48,2624,0.0,80
topk,1048576,48,3116,0.95,80
topk,1048576,48,3936,1.0,80
topk,1048576,48,4264,1.0,80
threshold,1048576,48,4920,0.775,80
threshold,1048576,48,5412,0.95,80
threshold,1048576,48,6232,1.0,80
threshold,1048576,48,6888,1.0,80
topk,1048576,48,7216,1.0,80
topk,1048576,48,7380,1.0,80
threshold,1048576,48,7544,1.0,80
threshold,1048576,48,7708,1.0,80
topk,1048576,48,7872,1.0,80
topk,256,50,164,0.0,80
topk,256,50,328,0.0,80
threshold,256,50,984,0.0375,80
topk,256,50,1148,0.45,80
threshold,256,50,1312,0.225,80
threshold,256,50,3444,1.0,80
threshold,256,50,3608,1.0,80
threshold,256,50,3772,1.0,80
threshold,256,50,4592,1.0,80
topk,256,50,6724,1.0,80
topk,512,50,492,0.0,80
topk,512,50,656,0.0125,80
threshold,512,50,820,0.0,80
topk,512,50,1804,0.9125,80
topk,512,50,2296,1.0,80
threshold,512,50,2788,0.9625,80
topk,512,50,3280,1.0,80
topk,512,50,4100,1.0,80
topk,512,50,4756,1.0,80
threshold,512,50,5904,1.0,80
threshold,512,50,6560,1.0,80
topk,512,50,7052,1.0,80
threshold,1024,50,164,0.0,80
threshold,1024,50,328,0.0,80
topk,1024,50,492,0.0,80
topk,1024,50,656,0.0,80
threshold,1024,50,1148,0.0,80
topk,1024,50,1804,0.875,80
topk,1024,50,2296,1.0,80
topk,1024,50,3280,1.0,80
topk,1024,50,4100,1.0,80
topk,1024,50,4756,1.0,80
threshold,1024,50,6724,1.0,80
topk,1024,50,7052,1.0,80
topk,2048,50,164,0.0,80
topk,2048,50,328,0.0,80
threshold,2048,50,984,0.0,80
topk,2048,50,1148,0.0,80
threshold,2048,50,1312,0.0,80
threshold,2048,50,3444,0.9875,80
threshold,2048,50,3608,1.0,80
threshold,2048,50,3772,1.0,80
threshold,2048,50,4592,1.0,80
topk,2048,50,6724,1.0,80
topk,4096,50,820,0.0,80
threshold,4096,50,1476,0.0,80
threshold,4096,50,2624,0.4125,80
topk,4096,50,2788,1.0,80
threshold,4096,50,4920,1.0,80
threshold,4096,50,5412,1.0,80
topk,4096,50,5904,1.0,80
threshold,4096,50,6232,1.0,80
topk,4096,50,6560,1.0,80
threshold,4096,50,6888,1.0,80
threshold,4096,50,7544,1.0,80
threshold,4096,50,7708,1.0,80
threshold,8192,50,2952,0.7125,80
topk,8192,50,2952,1.0,80
threshold,8192,50,4428,0.9875,80
topk,8192,50,4428,1.0,80
threshold,8192,50,5084,0.9875,80
topk,8192,50,5084,1.0,80
threshold,8192,50,5248,1.0,80
topk,8192,50,5248,1.0,80
threshold,8192,50,5576,1.0,80
topk,8192,50,5576,1.0,80
threshold,8192,50,5740,1.0,80
topk,8192,50,5740,1.0,80
threshold,8192,50,6068,1.0,80
topk,8192,50,6068,1.0,80
threshold,8192,50,6396,1.0,80
topk,8192,50,6396,1.0,80
topk,16384,50,1640,0.2125,80
threshold,16384,50,2952,0.3875,80
threshold,16384,50,4428,0.9625,80
threshold,16384,50,5084,0.975,80
threshold,16384,50,5248,1.0,80
threshold,16384,50,5576,1.0,80
threshold,16384,50,5740,1.0,80
threshold,16384,50,6068,1.0,80
threshold,16384,50,6396,1.0,80
topk,16384,50,8036,1.0,80
threshold,32768,50,1640,0.0,80
topk,32768,50,1640,0.1,80
threshold,32768,50,8036,1.0,80
topk,32768,50,8036,1.0,80
threshold,65536,50,1476,0.0,80
topk,65536,50,1640,0.0375,80
threshold,65536,50,2624,0.0,80
threshold,65536,50,4920,0.95,80
threshold,65536,50,5412,0.9625,80
threshold,65536,50,6232,1.0,80
threshold,65536,50,6888,1.0,80
threshold,65536,50,7544,1.0,80
threshold,65536,50,7708,1.0,80
topk,65536,50,8036,1.0,80
topk,524288,14,984,1.0,80
topk,524288,14,1312,1.0,80
threshold,524288,14,1640,0.9625,80
topk,524288,14,3444,1.0,80
topk,524288,14,3608,1.0,80
topk,524288,14,3772,1.0,80
topk,524288,14,4592,1.0,80
threshold,524288,14,8036,1.0,80
topk,131072,50,164,0.0,80
topk,131072,50,328,0.0,80
topk,131072,50,1148,0.0,80
threshold,131072,50,1640,0.0,80
topk,131072,50,6724,1.0,80
threshold,131072,50,8036,1.0,80
threshold,262144,50,492,0.0,80
threshold,262144,50,656,0.0,80
threshold,262144,50,1804,0.0,80
threshold,262144,50,2296,0.0,80
topk,262144,50,2952,0.9375,80
threshold,262144,50,3280,0.0,80
threshold,262144,50,4100,0.45,80
topk,262144,50,4428,1.0,80
threshold,262144,50,4756,0.7875,80
topk,262144,50,5084,1.0,80
topk,262144,50,5248,1.0,80
topk,262144,50,5576,1.0,80
topk,262144,50,5740,1.0,80
topk,262144,50,6068,1.0,80
topk,262144,50,6396,1.0,80
threshold,262144,50,7052,1.0,80
topk,524288,50,164,0.0,80
topk,524288,50,328,0.0,80
topk,524288,50,1148,0.0,80
threshold,524288,50,1640,0.0,80
topk,524288,50,6724,1.0,80
threshold,524288,50,8036,1.0,80
threshold,1048576,14,2952,1.0,80
topk,1048576,14,2952,1.0,80
threshold,1048576,14,4428,1.0,80
topk,1048576,14,4428,1.0,80
threshold,1048576,14,5084,1.0,80
topk,1048576,14,5084,1.0,80
threshold,1048576,14,5248,1.0,80
topk,1048576,14,5248,1.0,80
threshold,1048576,14,5576,1.0,80
topk,1048576,14,5576,1.0,80
threshold,1048576,14,5740,1.0,80
topk,1048576,14,5740,1.0,80
threshold,1048576,14,6068,1.0,80
topk,1048576,14,6068,1.0,80
threshold,1048576,14,6396,1.0,80
topk,1048576,14,6396,1.0,80
threshold,256,16,1476,1.0,80
topk,256,16,1968,1.0,80
topk,256,16,2132,1.0,80
topk,256,16,2460,1.0,80
threshold,256,16,2624,1.0,80
topk,256,16,3116,1.0,80
topk,256,16,3936,1.0,80
topk,256,16,4264,1.0,80
threshold,256,16,4920,1.0,80
threshold,256,16,5412,1.0,80
threshold,256,16,6232,1.0,80
threshold,256,16,6888,1.0,80
topk,256,16,7216,1.0,80
topk,256,16,7380,1.0,80
threshold,256,16,7544,1.0,80
threshold,256,16,7708,1.0,80
topk,256,16,7872,1.0,80
topk,512,16,164,0.0,80
topk,512,16,328,0.3875,80
threshold,512,16,820,0.9125,80
topk,512,16,1148,1.0,80
threshold,512,16,2788,1.0,80
threshold,512,16,5904,1.0,80
threshold,512,16,6560,1.0,80
topk,512,16,6724,1.0,80
topk,1024,16,164,0.0,80
topk,1024,16,328,0.2625,80
threshold,1024,16,984,0.95,80
topk,1024,16,1148,1.0,80
threshold,1024,16,1312,1.0,80
threshold,1024,16,3444,1.0,80
threshold,1024,16,3608,1.0,80
threshold,1024,16,3772,1.0,80
threshold,1024,16,4592,1.0,80
topk,1024,16,6724,1.0,80
threshold,2048,16,1968,1.0,80
threshold,2048,16,2132,1.0,80
threshold,2048,16,2460,1.0,80
topk,2048,16,2952,1.0,80
threshold,2048,16,3116,1.0,80
threshold,2048,16,3936,1.0,80
threshold,2048,16,4264,1.0,80
topk,2048,16,4428,1.0,80
topk,2048,16,5084,1.0,80
topk,2048,16,5248,1.0,80
topk,2048,16,5576,1.0,80
topk,2048,16,5740,1.0,80
topk,2048,16,6068,1.0,80
topk,2048,16,6396,1.0,80
threshold,2048,16,7216,1.0,80
threshold,2048,16,7380,1.0,80
threshold,2048,16,7872,1.0,80
threshold,4096,16,164,0.0,80
threshold,4096,16,328,0.0,80
threshold,4096,16,1148,0.975,80
topk,4096,16,1640,1.0,80
threshold,4096,16,6724,1.0,80
topk,4096,16,8036,1.0,80
topk,8192,16,164,0.0,80
topk,8192,16,328,0.0,80
topk,8192,16,1148,1.0,80
threshold,8192,16,2952,1.0,80
threshold,8192,16,4428,1.0,80
threshold,8192,16,5084,1.0,80
threshold,8192,16,5248,1.0,80
threshold,8192,16,5576,1.0,80
threshold,8192,16,5740,1.0,80
threshold,8192,16,6068,1.0,80
threshold,8192,16,6396,1.0,80
topk,8192,16,6724,1.0,80
topk,16384,16,1640,1.0,80
threshold,16384,16,1968,1.0,80
threshold,16384,16,2132,1.0,80
threshold,16384,16,2460,1.0,80
threshold,16384,16,3116,1.0,80
threshold,16384,16,3936,1.0,80
threshold,16384,16,4264,1.0,80
threshold,16384,16,7216,1.0,80
threshold,16384,16,7380,1.0,80
threshold,16384,16,7872,1.0,80
topk,16384,16,8036,1.0,80
topk,32768,16,164,0.0,80
topk,32768,16,328,0.0,80
topk,32768,16,1148,1.0,80
threshold,32768,16,1968,1.0,80
threshold,32768,16,2132,1.0,80
threshold,32768,16,2460,1.0,80
threshold,32768,16,3116,1.0,80
threshold,32768,16,3936,1.0,80
threshold,32768,16,4264,1.0,80
topk,32768,16,6724,1.0,80
threshold,32768,16,7216,1.0,80
threshold,32768,16,7380,1.0,80
threshold,32768,16,7872,1.0,80
threshold,65536,16,984,0.0375,80
threshold,65536,16,1312,0.7,80
topk,65536,16,2952,1.0,80
threshold,65536,16,3444,1.0,80
threshold,65536,16,3608,1.0,80
threshold,65536,16,3772,1.0,80
topk,65536,16,4428,1.0,80
threshold,65536,16,4592,1.0,80
topk,65536,16,5084,1.0,80
topk,65536,16,5248,1.0,80
topk,65536,16,5576,1.0,80
topk,65536,16,5740,1.0,80
topk,65536,16,6068,1.0,80
topk,65536,16,6396,1.0,80
threshold,131072,16,492,0.0,80
threshold,131072,16,656,0.0,80
topk,131072,16,1640,1.0,80
threshold,131072,16,1804,1.0,80
threshold,131072,16,2296,1.0,80
threshold,131072,16,3280,1.0,80
threshold,131072,16,4100,1.0,80
threshold,131072,16,4756,1.0,80
threshold,131072,16,7052,1.0,80
topk,131072,16,8036,1.0,80
threshold,262144,16,164,0.0,80
threshold,262144,16,328,0.0,80
topk,262144,16,984,1.0,80
threshold,262144,16,1148,0.05,80
topk,262144,16,1312,1.0,80
topk,262144,16,3444,1.0,80
topk,262144,16,3608,1.0,80
topk,262144,16,3772,1.0,80
topk,262144,16,4592,1.0,80
threshold,262144,16,6724,1.0,80
topk,1048576,50,984,0.0,80
topk,1048576,50,1312,0.0,80
threshold,1048576,50,1640,0.0,80
topk,1048576,50,3444,0.975,80
topk,1048576,50,3608,0.975,80
topk,1048576,50,3772,0.975,80
topk,1048576,50,4592,1.0,80
threshold,1048576,50,8036,1.0,80
topk,256,52,1476,0.7125,80
threshold,256,52,1968,0.8,80
threshold,256,52,2132,0.8625,80
threshold,256,52,2460,0.9,80
topk,256,52,2624,1.0,80
threshold,256,52,3116,1.0,80
threshold,256,52,3936,1.0,80
threshold,256,52,4264,1.0,80
topk,256,52,4920,1.0,80
topk,256,52,5412,1.0,80
topk,256,52,6232,1.0,80
topk,256,52,6888,1.0,80
threshold,256,52,7216,1.0,80
threshold,256,52,7380,1.0,80
topk,256,52,7544,1.0,80
topk,256,52,7708,1.0,80
threshold,256,52,7872,1.0,80
threshold,512,52,984,0.0,80
topk,512,52,984,0.0625,80
threshold,512,52,1312,0.0375,80
topk,512,52,1312,0.3875,80
threshold,512,52,3444,0.9875,80
topk,512,52,3444,1.0,80
threshold,512,52,3608,0.9875,80
topk,512,52,3608,1.0,80
threshold,512,52,3772,1.0,80
topk,512,52,3772,1.0,80
threshold,512,52,4592,1.0,80
topk,512,52,4592,1.0,80
topk,1024,52,492,0.0,80
topk,1024,52,656,0.0,80
threshold,1024,52,984,0.0,80
threshold,1024,52,1312,0.0,80
topk,1024,52,1804,0.825,80
topk,1024,52,2296,0.95,80
topk,1024,52,3280,1.0,80
threshold,1024,52,3444,0.9875,80
threshold,1024,52,3608,0.9875,80
threshold,1024,52,3772,1.0,80
topk,1024,52,4100,1.0,80
threshold,1024,52,4592,1.0,80
topk,1024,52,4756,1.0,80
topk,1024,52,7052,1.0,80
topk,2048,52,492,0.0,80
topk,2048,52,656,0.0,80
threshold,2048,52,1640,0.0,80
topk,2048,52,1804,0.6875,80
topk,2048,52,2296,0.9375,80
topk,2048,52,3280,1.0,80
topk,2048,52,4100,1.0,80
topk,2048,52,4756,1.0,80
topk,2048,52,7052,1.0,80
threshold,2048,52,8036,1.0,80
threshold,4096,52,492,0.0,80
threshold,4096,52,656,0.0,80
topk,4096,52,820,0.0,80
threshold,4096,52,1804,0.0,80
threshold,4096,52,2296,0.0875,80
topk,4096,52,2788,1.0,80
threshold,4096,52,3280,0.8625,80
threshold,4096,52,4100,0.9875,80
threshold,4096,52,4756,1.0,80
topk,4096,52,5904,1.0,80
topk,4096,52,6560,1.0,80
threshold,4096,52,7052,1.0,80
threshold,8192,52,820,0.0,80
threshold,8192,52,2788,0.45,80
topk,8192,52,2952,0.9875,80
topk,8192,52,4428,1.0,80
topk,8192,52,5084,1.0,80
topk,8192,52,5248,1.0,80
topk,8192,52,5576,1.0,80
topk,8192,52,5740,1.0,80
threshold,8192,52,5904,1.0,80
topk,8192,52,6068,1.0,80
topk,8192,52,6396,1.0,80
threshold,8192,52,6560,1.0,80
threshold,16384,52,820,0.0,80
threshold,16384,52,2788,0.1625,80
topk,16384,52,2952,0.975,80
topk,16384,52,4428,1.0,80
topk,16384,52,5084,1.0,80
topk,16384,52,5248,1.0,80
topk,16384,52,5576,1.0,80
topk,16384,52,5740,1.0,80
threshold,16384,52,5904,1.0,80
topk,16384,52,6068,1.0,80
topk,16384,52,6396,1.0,80
threshold,16384,52,6560,1.0,80
threshold,32768,52,1476,0.0,80
topk,32768,52,1640,0.05,80
threshold,32768,52,2624,0.0,80
threshold,32768,52,4920,1.0,80
