n,k,d,method,acc
256,2,1984,top_k,1.0
256,2,2048,threshold,1.0
256,2,2048,top_k,1.0
256,2,2112,threshold,1.0
256,2,2112,top_k,1.0
256,2,2176,threshold,1.0
256,2,2176,top_k,1.0
256,2,2240,threshold,1.0
256,2,2240,top_k,1.0
256,2,2304,threshold,1.0
256,2,2304,top_k,1.0
256,2,2368,threshold,1.0
256,2,2368,top_k,1.0
256,2,2432,threshold,1.0
256,2,2432,top_k,1.0
256,2,2496,threshold,1.0
256,2,2496,top_k,1.0
256,2,2560,threshold,1.0
256,2,2560,top_k,1.0
256,2,2624,threshold,1.0
256,2,2624,top_k,1.0
256,2,2688,threshold,1.0
256,2,2688,top_k,1.0
256,2,2752,threshold,1.0
256,2,2752,top_k,1.0
256,2,2816,threshold,1.0
256,2,2816,top_k,1.0
256,2,2880,threshold,1.0
256,2,2880,top_k,1.0
256,2,2944,threshold,1.0
256,2,2944,top_k,1.0
256,2,3008,threshold,1.0
256,2,3008,top_k,1.0
256,2,3072,threshold,1.0
256,2,3072,top_k,1.0
256,2,3136,threshold,1.0
256,2,3136,top_k,1.0
256,2,3200,threshold,1.0
256,2,3200,top_k,1.0
256,2,3264,threshold,1.0
256,2,3264,top_k,1.0
256,2,3328,threshold,1.0
256,2,3328,top_k,1.0
256,2,3392,threshold,1.0
256,2,3392,top_k,1.0
256,2,3456,threshold,1.0
256,2,3456,top_k,1.0
256,2,3520,threshold,1.0
256,2,3520,top_k,1.0
256,2,3584,threshold,1.0
256,2,3584,top_k,1.0
256,2,3648,threshold,1.0
256,2,3648,top_k,1.0
256,2,3712,threshold,1.0
256,2,3712,top_k,1.0
256,2,3776,threshold,1.0
256,2,3776,top_k,1.0
256,2,3840,threshold,1.0
256,2,3840,top_k,1.0
256,2,3904,threshold,1.0
256,2,3904,top_k,1.0
256,2,3968,threshold,1.0
256,2,3968,top_k,1.0
256,2,4032,threshold,1.0
256,2,4032,top_k,1.0
256,2,4096,threshold,1.0
256,2,4096,top_k,1.0
256,3,64,threshold,0.7562792056074766
256,3,64,top_k,0.9797021028037384
256,3,128,threshold,0.9866384345794392
256,3,128,top_k,1.0
256,3,192,threshold,0.999123831775701
256,3,192,top_k,1.0
256,3,256,threshold,1.0
256,3,256,top_k,1.0
256,3,320,threshold,1.0
256,3,320,top_k,1.0
256,3,384,threshold,1.0
256,3,384,top_k,1.0
256,3,448,threshold,1.0
256,3,448,top_k,1.0
256,3,512,threshold,1.0
256,3,512,top_k,1.0
256,3,576,threshold,1.0
256,3,576,top_k,1.0
256,3,640,threshold,1.0
256,3,640,top_k,1.0
256,3,704,threshold,1.0
256,3,704,top_k,1.0
256,3,768,threshold,1.0
256,3,768,top_k,1.0
256,3,832,threshold,1.0
256,3,832,top_k,1.0
256,3,896,threshold,1.0
256,3,896,top_k,1.0
256,3,960,threshold,1.0
256,3,960,top_k,1.0
256,3,1024,threshold,1.0
256,3,1024,top_k,1.0
256,3,1088,threshold,1.0
256,3,1088,top_k,1.0
256,3,1152,threshold,1.0
256,3,1152,top_k,1.0
256,3,1216,threshold,1.0
256,3,1216,top_k,1.0
256,3,1280,threshold,1.0
256,3,1280,top_k,1.0
256,3,1344,threshold,1.0
256,3,1344,top_k,1.0
256,3,1408,threshold,1.0
256,3,1408,top_k,1.0
256,3,1472,threshold,1.0
256,3,1472,top_k,1.0
256,3,1536,threshold,1.0
256,3,1536,top_k,1.0
256,3,1600,threshold,1.0
256,3,1600,top_k,1.0
256,3,1664,threshold,1.0
256,3,1664,top_k,1.0
256,3,1728,threshold,1.0
256,3,1728,top_k,1.0
256,3,1792,threshold,1.0
256,3,1792,top_k,1.0
256,3,1856,threshold,1.0
256,3,1856,top_k,1.0
256,3,1920,threshold,1.0
256,3,1920,top_k,1.0
256,3,1984,threshold,1.0
256,3,1984,top_k,1.0
256,3,2048,threshold,1.0
256,3,2048,top_k,1.0
256,3,2112,threshold,1.0
256,3,2112,top_k,1.0
256,3,2176,threshold,1.0
256,3,2176,top_k,1.0
256,3,2240,threshold,1.0
256,3,2240,top_k,1.0
256,3,2304,threshold,1.0
256,3,2304,top_k,1.0
256,3,2368,threshold,1.0
256,3,2368,top_k,1.0
256,3,2432,threshold,1.0
256,3,2432,top_k,1.0
256,3,2496,threshold,1.0
256,3,2496,top_k,1.0
256,3,2560,threshold,1.0
256,3,2560,top_k,1.0
256,3,2624,threshold,1.0
256,3,2624,top_k,1.0
256,3,2688,threshold,1.0
256,3,2688,top_k,1.0
256,3,2752,threshold,1.0
256,3,2752,top_k,1.0
256,3,2816,threshold,1.0
256,3,2816,top_k,1.0
256,3,2880,threshold,1.0
256,3,2880,top_k,1.0
256,3,2944,threshold,1.0
256,3,2944,top_k,1.0
256,3,3008,threshold,1.0
256,3,3008,top_k,1.0
256,3,3072,threshold,1.0
256,3,3072,top_k,1.0
256,3,3136,threshold,1.0
256,3,3136,top_k,1.0
256,3,3200,threshold,1.0
256,3,3200,top_k,1.0
256,3,3264,threshold,1.0
256,3,3264,top_k,1.0
256,3,3328,threshold,1.0
256,3,3328,top_k,1.0
256,3,3392,threshold,1.0
256,3,3392,top_k,1.0
256,3,3456,threshold,1.0
256,3,3456,top_k,1.0
256,3,3520,threshold,1.0
256,3,3520,top_k,1.0
256,3,3584,threshold,1.0
256,3,3584,top_k,1.0
256,3,3648,threshold,1.0
256,3,3648,top_k,1.0
256,3,3712,threshold,1.0
256,3,3712,top_k,1.0
256,3,3776,threshold,1.0
256,3,3776,top_k,1.0
256,3,3840,threshold,1.0
256,3,3840,top_k,1.0
256,3,3904,threshold,1.0
256,3,3904,top_k,1.0
256,3,3968,threshold,1.0
256,3,3968,top_k,1.0
256,3,4032,threshold,1.0
256,3,4032,top_k,1.0
256,3,4096,threshold,1.0
256,3,4096,top_k,1.0
256,4,64,threshold,0.4153767523364486
256,4,64,top_k,0.7651869158878505
256,4,128,threshold,0.929322429906542
256,4,128,top_k,0.998758761682243
256,4,192,threshold,0.992552570093458
256,4,192,top_k,1.0
256,4,256,threshold,0.9986127336448598
256,4,256,top_k,1.0
256,4,320,threshold,1.0
256,4,320,top_k,1.0
256,4,384,threshold,1.0
256,4,384,top_k,1.0
256,4,448,threshold,0.9999269859813084
256,4,448,top_k,1.0
256,4,512,threshold,1.0
256,4,512,top_k,1.0
256,4,576,threshold,1.0
256,4,576,top_k,1.0
256,4,640,threshold,1.0
256,4,640,top_k,1.0
256,4,704,threshold,1.0
256,4,704,top_k,1.0
256,4,768,threshold,1.0
256,4,768,top_k,1.0
256,4,832,threshold,1.0
256,4,832,top_k,1.0
256,4,896,threshold,1.0
256,4,896,top_k,1.0
256,4,960,threshold,1.0
256,4,960,top_k,1.0
256,4,1024,threshold,1.0
256,4,1024,top_k,1.0
256,4,1088,threshold,1.0
256,4,1088,top_k,1.0
256,4,1152,threshold,1.0
256,4,1152,top_k,1.0
256,4,1216,threshold,1.0
256,4,1216,top_k,1.0
256,4,1280,threshold,1.0
256,4,1280,top_k,1.0
256,4,1344,threshold,1.0
256,4,1344,top_k,1.0
256,4,1408,threshold,1.0
256,4,1408,top_k,1.0
256,4,1472,threshold,1.0
256,4,1472,top_k,1.0
256,4,1536,threshold,1.0
256,4,1536,top_k,1.0
256,4,1600,threshold,1.0
256,4,1600,top_k,1.0
256,4,1664,threshold,1.0
256,4,1664,top_k,1.0
256,4,1728,threshold,1.0
256,4,1728,top_k,1.0
256,4,1792,threshold,1.0
256,4,1792,top_k,1.0
256,4,1856,threshold,1.0
256,4,1856,top_k,1.0
256,4,1920,threshold,1.0
256,4,1920,top_k,1.0
256,4,1984,threshold,1.0
256,4,1984,top_k,1.0
256,4,2048,threshold,1.0
256,4,2048,top_k,1.0
256,4,2112,threshold,1.0
256,4,2112,top_k,1.0
256,4,2176,threshold,1.0
256,4,2176,top_k,1.0
256,4,2240,threshold,1.0
256,4,2240,top_k,1.0
256,4,2304,threshold,1.0
256,4,2304,top_k,1.0
256,4,2368,threshold,1.0
256,4,2368,top_k,1.0
256,4,2432,threshold,1.0
256,4,2432,top_k,1.0
256,4,2496,threshold,1.0
256,4,2496,top_k,1.0
256,4,2560,threshold,1.0
256,4,2560,top_k,1.0
256,4,2624,threshold,1.0
256,4,2624,top_k,1.0
256,4,2688,threshold,1.0
256,4,2688,top_k,1.0
256,4,2752,threshold,1.0
256,4,2752,top_k,1.0
256,4,2816,threshold,1.0
256,4,2816,top_k,1.0
256,4,2880,threshold,1.0
256,4,2880,top_k,1.0
256,4,2944,threshold,1.0
256,4,2944,top_k,1.0
256,4,3008,threshold,1.0
256,4,3008,top_k,1.0
256,4,3072,threshold,1.0
256,4,3072,top_k,1.0
256,4,3136,threshold,1.0
256,4,3136,top_k,1.0
256,4,3200,threshold,1.0
256,4,3200,top_k,1.0
256,4,3264,threshold,1.0
256,4,3264,top_k,1.0
256,4,3328,threshold,1.0
256,4,3328,top_k,1.0
256,4,3392,threshold,1.0
256,4,3392,top_k,1.0
256,4,3456,threshold,1.0
256,4,3456,top_k,1.0
256,4,3520,threshold,1.0
256,4,3520,top_k,1.0
256,4,3584,threshold,1.0
256,4,3584,top_k,1.0
256,4,3648,threshold,1.0
256,4,3648,top_k,1.0
256,4,3712,threshold,1.0
256,4,3712,top_k,1.0
256,4,3776,threshold,1.0
256,4,3776,top_k,1.0
256,4,3840,threshold,1.0
256,4,3840,top_k,1.0
256,4,3904,threshold,1.0
256,4,3904,top_k,1.0
256,4,3968,threshold,1.0
256,4,3968,top_k,1.0
256,4,4032,threshold,1.0
256,4,4032,top_k,1.0
256,4,4096,threshold,1.0
256,4,4096,top_k,1.0
256,5,64,threshold,0.16691004672897197
256,5,64,top_k,0.4310017523364486
256,5,128,threshold,0.7834404205607477
256,5,128,top_k,0.971232476635514
256,5,192,threshold,0.9586740654205608
256,5,192,top_k,0.9993428738317757
256,5,256,threshold,0.9941588785046729
256,5,256,top_k,1.0
256,5,320,threshold,0.9984667056074766
256,5,320,top_k,1.0
256,5,384,threshold,0.9997079439252337
256,5,384,top_k,1.0
256,5,448,threshold,1.0
256,5,448,top_k,1.0
256,5,512,threshold,1.0
256,5,512,top_k,1.0
256,5,576,threshold,1.0
256,5,576,top_k,1.0
256,5,640,threshold,1.0
256,5,640,top_k,1.0
256,5,704,threshold,1.0
256,5,704,top_k,1.0
256,5,768,threshold,1.0
256,5,768,top_k,1.0
256,5,832,threshold,1.0
256,5,832,top_k,1.0
256,5,896,threshold,1.0
256,5,896,top_k,1.0
256,5,960,threshold,1.0
256,5,960,top_k,1.0
256,5,1024,threshold,1.0
256,5,1024,top_k,1.0
256,5,1088,threshold,1.0
256,5,1088,top_k,1.0
256,5,1152,threshold,1.0
256,5,1152,top_k,1.0
256,5,1216,threshold,1.0
256,5,1216,top_k,1.0
256,5,1280,threshold,1.0
256,5,1280,top_k,1.0
256,5,1344,threshold,1.0
256,5,1344,top_k,1.0
256,5,1408,threshold,1.0
