n,k,d,method,acc
256,49,2304,threshold,0.9455315420560748
256,49,2304,top_k,0.9966413551401869
256,49,2368,threshold,0.9531980140186916
256,49,2368,top_k,0.9975905373831776
256,49,2432,threshold,0.9620327102803738
256,49,2432,top_k,0.997517523364486
256,49,2496,threshold,0.9667786214953271
256,49,2496,top_k,0.9983206775700935
256,49,2560,threshold,0.974080023364486
256,49,2560,top_k,0.9993428738317757
256,49,2624,threshold,0.979044976635514
256,49,2624,top_k,0.9991968457943925
256,49,2688,threshold,0.9805052570093458
256,49,2688,top_k,0.9997079439252337
256,49,2752,threshold,0.9845210280373832
256,49,2752,top_k,0.9994158878504673
256,49,2816,threshold,0.986857476635514
256,49,2816,top_k,0.9995619158878505
256,49,2880,threshold,0.9888288551401869
256,49,2880,top_k,0.9997809579439252
256,49,2944,threshold,0.9896320093457944
256,49,2944,top_k,0.9998539719626168
256,49,3008,threshold,0.9914573598130841
256,49,3008,top_k,0.9999269859813084
256,49,3072,threshold,0.9928446261682243
256,49,3072,top_k,0.9998539719626168
256,49,3136,threshold,0.9940858644859814
256,49,3136,top_k,1.0
256,49,3200,threshold,0.9954731308411215
256,49,3200,top_k,1.0
256,49,3264,threshold,0.9964223130841121
256,49,3264,top_k,0.9999269859813084
256,49,3328,threshold,0.9964223130841121
256,49,3328,top_k,1.0
256,49,3392,threshold,0.9979556074766355
256,49,3392,top_k,1.0
256,49,3456,threshold,0.9981016355140186
256,49,3456,top_k,1.0
256,49,3520,threshold,0.9980286214953271
256,49,3520,top_k,1.0
256,49,3584,threshold,0.9988317757009346
256,49,3584,top_k,1.0
256,49,3648,threshold,0.998758761682243
256,49,3648,top_k,1.0
256,49,3712,threshold,0.9989778037383178
256,49,3712,top_k,1.0
256,49,3776,threshold,0.9989778037383178
256,49,3776,top_k,1.0
256,49,3840,threshold,0.9993428738317757
256,49,3840,top_k,1.0
256,49,3904,threshold,0.9994158878504673
256,49,3904,top_k,1.0
256,49,3968,threshold,0.9994158878504673
256,49,3968,top_k,1.0
256,49,4032,threshold,0.9992698598130841
256,49,4032,top_k,1.0
256,49,4096,threshold,0.999634929906542
256,49,4096,top_k,1.0
256,50,64,threshold,0.0
256,50,64,top_k,0.0
256,50,128,threshold,0.0
256,50,128,top_k,0.0
256,50,192,threshold,0.0
256,50,192,top_k,0.0
256,50,256,threshold,0.0
256,50,256,top_k,0.0
256,50,320,threshold,0.0
256,50,320,top_k,0.0
256,50,384,threshold,0.0
256,50,384,top_k,0.0
256,50,448,threshold,0.0
256,50,448,top_k,0.0
256,50,512,threshold,0.0
256,50,512,top_k,7.301401869158878e-05
256,50,576,threshold,7.301401869158878e-05
256,50,576,top_k,0.0005841121495327102
256,50,640,threshold,0.0003650700934579439
256,50,640,top_k,0.0017523364485981308
256,50,704,threshold,0.0025554906542056073
256,50,704,top_k,0.008615654205607476
256,50,768,threshold,0.006790303738317757
256,50,768,top_k,0.024824766355140186
256,50,832,threshold,0.01796144859813084
256,50,832,top_k,0.04943049065420561
256,50,896,threshold,0.03183411214953271
256,50,896,top_k,0.0924357476635514
256,50,960,threshold,0.0579001168224299
256,50,960,top_k,0.15771028037383178
256,50,1024,threshold,0.09754672897196262
256,50,1024,top_k,0.2408002336448598
256,50,1088,threshold,0.1426693925233645
256,50,1088,top_k,0.3241092289719626
256,50,1152,threshold,0.20524240654205608
256,50,1152,top_k,0.410338785046729
256,50,1216,threshold,0.26452978971962615
256,50,1216,top_k,0.5042348130841121
256,50,1280,threshold,0.32710280373831774
256,50,1280,top_k,0.5792932242990654
256,50,1344,threshold,0.3961010514018692
256,50,1344,top_k,0.6617990654205608
256,50,1408,threshold,0.4595502336448598
256,50,1408,top_k,0.721232476635514
256,50,1472,threshold,0.5261390186915887
256,50,1472,top_k,0.7843896028037384
256,50,1536,threshold,0.588054906542056
256,50,1536,top_k,0.8307535046728972
256,50,1600,threshold,0.6393107476635514
256,50,1600,top_k,0.8683557242990654
256,50,1664,threshold,0.6909316588785047
256,50,1664,top_k,0.9073452102803738
256,50,1728,threshold,0.732768691588785
256,50,1728,top_k,0.9257447429906542
256,50,1792,threshold,0.7675963785046729
256,50,1792,top_k,0.9447283878504673
256,50,1856,threshold,0.8068779205607477
256,50,1856,top_k,0.9578709112149533
256,50,1920,threshold,0.836302570093458
256,50,1920,top_k,0.9692610981308412
256,50,1984,threshold,0.8599591121495327
256,50,1984,top_k,0.9759053738317757
256,50,2048,threshold,0.8887266355140186
256,50,2048,top_k,0.9828417056074766
256,50,2112,threshold,0.8969772196261683
256,50,2112,top_k,0.986857476635514
256,50,2176,threshold,0.9133323598130841
256,50,2176,top_k,0.9903621495327103
256,50,2240,threshold,0.9245765186915887
256,50,2240,top_k,0.9929176401869159
256,50,2304,threshold,0.9345794392523364
256,50,2304,top_k,0.9943779205607477
256,50,2368,threshold,0.9478679906542056
256,50,2368,top_k,0.9959112149532711
256,50,2432,threshold,0.9586010514018691
256,50,2432,top_k,0.997517523364486
256,50,2496,threshold,0.9608644859813084
256,50,2496,top_k,0.9986127336448598
256,50,2560,threshold,0.9686769859813084
256,50,2560,top_k,0.9986857476635514
256,50,2624,threshold,0.9720356308411215
256,50,2624,top_k,0.998758761682243
256,50,2688,threshold,0.9784608644859814
256,50,2688,top_k,0.9993428738317757
256,50,2752,threshold,0.9821845794392523
256,50,2752,top_k,0.9992698598130841
256,50,2816,threshold,0.9848130841121495
256,50,2816,top_k,0.9995619158878505
256,50,2880,threshold,0.9872225467289719
256,50,2880,top_k,0.999634929906542
256,50,2944,threshold,0.9897780373831776
256,50,2944,top_k,1.0
256,50,3008,threshold,0.9894859813084113
256,50,3008,top_k,0.9999269859813084
256,50,3072,threshold,0.9914573598130841
256,50,3072,top_k,1.0
256,50,3136,threshold,0.9937207943925234
256,50,3136,top_k,0.9998539719626168
256,50,3200,threshold,0.9929906542056075
256,50,3200,top_k,1.0
256,50,3264,threshold,0.9953271028037384
256,50,3264,top_k,0.9998539719626168
256,50,3328,threshold,0.9959112149532711
256,50,3328,top_k,1.0
256,50,3392,threshold,0.9964223130841121
256,50,3392,top_k,1.0
256,50,3456,threshold,0.9964223130841121
256,50,3456,top_k,1.0
256,50,3520,threshold,0.997517523364486
256,50,3520,top_k,1.0
256,50,3584,threshold,0.9970794392523364
256,50,3584,top_k,1.0
256,50,3648,threshold,0.998758761682243
256,50,3648,top_k,1.0
256,50,3712,threshold,0.9989778037383178
256,50,3712,top_k,1.0
256,50,3776,threshold,0.9986857476635514
256,50,3776,top_k,1.0
256,50,3840,threshold,0.9988317757009346
256,50,3840,top_k,1.0
256,50,3904,threshold,0.9991968457943925
256,50,3904,top_k,0.9999269859813084
256,50,3968,threshold,0.9990508177570093
256,50,3968,top_k,1.0
256,50,4032,threshold,0.9991968457943925
256,50,4032,top_k,1.0
256,50,4096,threshold,0.9995619158878505
256,50,4096,top_k,1.0
256,51,64,threshold,0.0
256,51,64,top_k,0.0
256,51,128,threshold,0.0
256,51,128,top_k,0.0
256,51,192,threshold,0.0
256,51,192,top_k,0.0
256,51,256,threshold,0.0
256,51,256,top_k,0.0
256,51,320,threshold,0.0
256,51,320,top_k,0.0
256,51,384,threshold,0.0
256,51,384,top_k,0.0
256,51,448,threshold,0.0
256,51,448,top_k,0.0
256,51,512,threshold,0.0
256,51,512,top_k,0.0
256,51,576,threshold,0.0
256,51,576,top_k,0.0003650700934579439
256,51,640,threshold,0.0003650700934579439
256,51,640,top_k,0.0021174065420560746
256,51,704,threshold,0.0016063084112149532
256,51,704,top_k,0.005914135514018691
256,51,768,threshold,0.004672897196261682
256,51,768,top_k,0.019713785046728972
256,51,832,threshold,0.011171144859813084
256,51,832,top_k,0.04161799065420561
256,51,896,threshold,0.028475467289719628
256,51,896,top_k,0.07980432242990654
256,51,960,threshold,0.0475321261682243
256,51,960,top_k,0.1328125
256,51,1024,threshold,0.08557242990654206
256,51,1024,top_k,0.205607476635514
256,51,1088,threshold,0.12981892523364486
256,51,1088,top_k,0.28796728971962615
256,51,1152,threshold,0.17954147196261683
256,51,1152,top_k,0.3787967289719626
256,51,1216,threshold,0.23327978971962618
256,51,1216,top_k,0.46707067757009346
256,51,1280,threshold,0.3078271028037383
256,51,1280,top_k,0.5438814252336449
256,51,1344,threshold,0.36696845794392524
256,51,1344,top_k,0.6281396028037384
256,51,1408,threshold,0.43078271028037385
256,51,1408,top_k,0.7007155373831776
256,51,1472,threshold,0.4907272196261682
256,51,1472,top_k,0.7596378504672897
256,51,1536,threshold,0.5630841121495327
256,51,1536,top_k,0.8070969626168224
256,51,1600,threshold,0.6122225467289719
256,51,1600,top_k,0.8529497663551402
256,51,1664,threshold,0.6534024532710281
256,51,1664,top_k,0.8817903037383178
256,51,1728,threshold,0.7013726635514018
256,51,1728,top_k,0.9120181074766355
256,51,1792,threshold,0.7488317757009346
256,51,1792,top_k,0.9337762850467289
256,51,1856,threshold,0.7803008177570093
256,51,1856,top_k,0.9470648364485982
256,51,1920,threshold,0.8183411214953271
256,51,1920,top_k,0.9608644859813084
256,51,1984,threshold,0.8397342289719626
256,51,1984,top_k,0.9694801401869159
256,51,2048,threshold,0.8652161214953271
256,51,2048,top_k,0.978679906542056
256,51,2112,threshold,0.8877774532710281
256,51,2112,top_k,0.9850321261682243
256,51,2176,threshold,0.9042786214953271
256,51,2176,top_k,0.9878796728971962
256,51,2240,threshold,0.9181512850467289
256,51,2240,top_k,0.9920414719626168
256,51,2304,threshold,0.9301255841121495
256,51,2304,top_k,0.9945969626168224
256,51,2368,threshold,0.9439982476635514
256,51,2368,top_k,0.9954001168224299
256,51,2432,threshold,0.9491822429906542
256,51,2432,top_k,0.9962032710280374
256,51,2496,threshold,0.9572137850467289
256,51,2496,top_k,0.9972984813084113
256,51,2560,threshold,0.9623247663551402
256,51,2560,top_k,0.9982476635514018
256,51,2624,threshold,0.9699182242990654
256,51,2624,top_k,0.9989778037383178
256,51,2688,threshold,0.9756133177570093
256,51,2688,top_k,0.9990508177570093
256,51,2752,threshold,0.9775116822429907
256,51,2752,top_k,0.9989047897196262
256,51,2816,threshold,0.9798481308411215
256,51,2816,top_k,0.9994158878504673
256,51,2880,threshold,0.9842289719626168
256,51,2880,top_k,0.9994889018691588
256,51,2944,threshold,0.985981308411215
256,51,2944,top_k,0.999634929906542
256,51,3008,threshold,0.9884637850467289
256,51,3008,top_k,0.999634929906542
256,51,3072,threshold,0.9899970794392523
256,51,3072,top_k,0.9998539719626168
256,51,3136,threshold,0.9926255841121495
256,51,3136,top_k,0.9998539719626168
256,51,3200,threshold,0.9937207943925234
256,51,3200,top_k,0.9999269859813084
256,51,3264,threshold,0.9942318925233645
256,51,3264,top_k,1.0
256,51,3328,threshold,0.9956191588785047
256,51,3328,top_k,1.0
256,51,3392,threshold,0.9957651869158879
256,51,3392,top_k,0.9999269859813084
256,51,3456,threshold,0.9957651869158879
256,51,3456,top_k,0.9999269859813084
256,51,3520,threshold,0.9968603971962616
256,51,3520,top_k,1.0
256,51,3584,threshold,0.9967873831775701
256,51,3584,top_k,1.0
256,51,3648,threshold,0.9979556074766355
256,51,3648,top_k,1.0
256,51,3712,threshold,0.9980286214953271
256,51,3712,top_k,1.0
256,51,3776,threshold,0.9982476635514018
256,51,3776,top_k,1.0
256,51,3840,threshold,0.998393691588785
256,51,3840,top_k,1.0
256,51,3904,threshold,0.9991968457943925
256,51,3904,top_k,1.0
256,51,3968,threshold,0.9991968457943925
256,51,3968,top_k,1.0
256,51,4032,threshold,0.9990508177570093
256,51,4032,top_k,1.0
256,51,4096,threshold,0.9992698598130841
256,51,4096,top_k,1.0
256,52,64,threshold,0.0
256,52,64,top_k,0.0
256,52,128,threshold,0.0
256,52,128,top_k,0.0
256,52,192,threshold,0.0
256,52,192,top_k,0.0
256,52,256,threshold,0.0
256,52,256,top_k,0.0
256,52,320,threshold,0.0
256,52,320,top_k,0.0
256,52,384,threshold,0.0
256,52,384,top_k,0.0
256,52,448,threshold,0.0
256,52,448,top_k,0.0
256,52,512,threshold,0.0
256,52,512,top_k,7.301401869158878e-05
256,52,576,threshold,0.0
256,52,576,top_k,0.00014602803738317756
256,52,640,threshold,0.0004380841121495327
256,52,640,top_k,0.000657126168224299
256,52,704,threshold,0.0007301401869158878
256,52,704,top_k,0.004015771028037383
256,52,768,threshold,0.004599883177570093
256,52,768,top_k,0.01263142523364486
256,52,832,threshold,0.009053738317757009
256,52,832,top_k,0.03344042056074766
256,52,896,threshold,0.021904205607476634
256,52,896,top_k,0.06739193925233646
256,52,960,threshold,0.041325934579439255
256,52,960,top_k,0.11682242990654206
256,52,1024,threshold,0.0696553738317757
256,52,1024,top_k,0.18268107476635514
256,52,1088,threshold,0.10827978971962617
256,52,1088,top_k,0.2544538551401869
256,52,1152,threshold,0.1574182242990654
256,52,1152,top_k,0.33951518691588783
256,52,1216,threshold,0.2110105140186916
256,52,1216,top_k,0.42494158878504673
256,52,1280,threshold,0.26766939252336447
256,52,1280,top_k,0.5112441588785047
256,52,1344,threshold,0.34017231308411217
256,52,1344,top_k,0.599080023364486
256,52,1408,threshold,0.41508469626168226
256,52,1408,top_k,0.6758907710280374
256,52,1472,threshold,0.4618136682242991
256,52,1472,top_k,0.7298481308411215
256,52,1536,threshold,0.5249707943925234
256,52,1536,top_k,0.7876752336448598
256,52,1600,threshold,0.5822867990654206
256,52,1600,top_k,0.8341851635514018
256,52,1664,threshold,0.6310601635514018
256,52,1664,top_k,0.8664573598130841
256,52,1728,threshold,0.6866968457943925
256,52,1728,top_k,0.8943487149532711
256,52,1792,threshold,0.7270735981308412
256,52,1792,top_k,0.9237003504672897
256,52,1856,threshold,0.7673043224299065
256,52,1856,top_k,0.9425379672897196
256,52,1920,threshold,0.7910338785046729
256,52,1920,top_k,0.9534170560747663
256,52,1984,threshold,0.8244742990654206
256,52,1984,top_k,0.9661214953271028
256,52,2048,threshold,0.849956191588785
256,52,2048,top_k,0.9741530373831776
256,52,2112,threshold,0.8744158878504673
256,52,2112,top_k,0.9814544392523364
256,52,2176,threshold,0.8877774532710281
256,52,2176,top_k,0.985616238317757
256,52,2240,threshold,0.9057389018691588
256,52,2240,top_k,0.9880987149532711
256,52,2304,threshold,0.9199766355140186
256,52,2304,top_k,0.991311331775701
256,52,2368,threshold,0.9319509345794392
256,52,2368,top_k,0.9944509345794392
256,52,2432,threshold,0.9466267523364486
256,52,2432,top_k,0.9960572429906542
256,52,2496,threshold,0.9496203271028038
256,52,2496,top_k,0.9954001168224299
256,52,2560,threshold,0.9565566588785047
256,52,2560,top_k,0.9971524532710281
256,52,2624,threshold,0.9664865654205608
256,52,2624,top_k,0.9978095794392523
256,52,2688,threshold,0.9702832943925234
256,52,2688,top_k,0.9986127336448598
256,52,2752,threshold,0.9738609813084113
256,52,2752,top_k,0.999123831775701
256,52,2816,threshold,0.9791179906542056
256,52,2816,top_k,0.9993428738317757
256,52,2880,threshold,0.9787529205607477
256,52,2880,top_k,0.999123831775701
256,52,2944,threshold,0.9842289719626168
256,52,2944,top_k,0.9997809579439252
256,52,3008,threshold,0.9871495327102804
256,52,3008,top_k,0.999634929906542
256,52,3072,threshold,0.986857476635514
256,52,3072,top_k,0.9998539719626168
256,52,3136,threshold,0.9895589953271028
256,52,3136,top_k,0.9997809579439252
256,52,3200,threshold,0.9920414719626168
256,52,3200,top_k,1.0
256,52,3264,threshold,0.9933557242990654
256,52,3264,top_k,1.0
256,52,3328,threshold,0.9941588785046729
256,52,3328,top_k,1.0
256,52,3392,threshold,0.9954731308411215
256,52,3392,top_k,0.9998539719626168
256,52,3456,threshold,0.9954731308411215
256,52,3456,top_k,1.0
256,52,3520,threshold,0.9967873831775701
256,52,3520,top_k,1.0
256,52,3584,threshold,0.9970794392523364
256,52,3584,top_k,1.0
256,52,3648,threshold,0.9972984813084113
256,52,3648,top_k,1.0
256,52,3712,threshold,0.9975905373831776
256,52,3712,top_k,1.0
256,52,3776,threshold,0.9983206775700935
256,52,3776,top_k,1.0
256,52,3840,threshold,0.998758761682243
256,52,3840,top_k,1.0
256,52,3904,threshold,0.9989778037383178
256,52,3904,top_k,1.0
256,52,3968,threshold,0.9986857476635514
256,52,3968,top_k,1.0
256,52,4032,threshold,0.9989047897196262
256,52,4032,top_k,1.0
256,52,4096,threshold,0.9993428738317757
256,52,4096,top_k,1.0
256,53,64,threshold,0.0
256,53,64,top_k,0.0
256,53,128,threshold,0.0
256,53,128,top_k,0.0
256,53,192,threshold,0.0
256,53,192,top_k,0.0
256,53,256,threshold,0.0
256,53,256,top_k,0.0
256,53,320,threshold,0.0
256,53,320,top_k,0.0
256,53,384,threshold,0.0
256,53,384,top_k,0.0
256,53,448,threshold,0.0
256,53,448,top_k,0.0
256,53,512,threshold,0.0
256,53,512,top_k,0.0
256,53,576,threshold,0.0
256,53,576,top_k,7.301401869158878e-05
256,53,640,threshold,0.0004380841121495327
256,53,640,top_k,0.0008031542056074766
256,53,704,threshold,0.0011682242990654205
256,53,704,top_k,0.0035046728971962616
256,53,768,threshold,0.0032126168224299065
256,53,768,top_k,0.010075934579439252
256,53,832,threshold,0.008761682242990653
256,53,832,top_k,0.02584696261682243
256,53,896,threshold,0.017742406542056076
256,53,896,top_k,0.04921144859813084
256,53,960,threshold,0.03314836448598131
256,53,960,top_k,0.09594042056074767
256,53,1024,threshold,0.06176985981308411
256,53,1024,top_k,0.15749123831775702
256,53,1088,threshold,0.09280081775700935
256,53,1088,top_k,0.22751168224299065
256,53,1152,threshold,0.13244742990654207
256,53,1152,top_k,0.3037383177570093
256,53,1216,threshold,0.18706191588785046
256,53,1216,top_k,0.39040595794392524
256,53,1280,threshold,0.2441588785046729
256,53,1280,top_k,0.47079439252336447
256,53,1344,threshold,0.3048335280373832
256,53,1344,top_k,0.5636682242990654
256,53,1408,threshold,0.370035046728972
256,53,1408,top_k,0.6293078271028038
256,53,1472,threshold,0.4292494158878505
256,53,1472,top_k,0.705242406542056
256,53,1536,threshold,0.4967143691588785
256,53,1536,top_k,0.7576664719626168
256,53,1600,threshold,0.556293808411215
256,53,1600,top_k,0.8040303738317757
256,53,1664,threshold,0.609009929906542
256,53,1664,top_k,0.8517815420560748
256,53,1728,threshold,0.6563960280373832
256,53,1728,top_k,0.8847838785046729
256,53,1792,threshold,0.7058995327102804
256,53,1792,top_k,0.9111419392523364
256,53,1856,threshold,0.7386098130841121
256,53,1856,top_k,0.9291033878504673
256,53,1920,threshold,0.7735835280373832
256,53,1920,top_k,0.9461156542056075
256,53,1984,threshold,0.8072429906542056
256,53,1984,top_k,0.958820093457944
256,53,2048,threshold,0.8399532710280374
256,53,2048,top_k,0.9684579439252337
256,53,2112,threshold,0.859009929906542
256,53,2112,top_k,0.9770005841121495
256,53,2176,threshold,0.8744158878504673
256,53,2176,top_k,0.9816004672897196
256,53,2240,threshold,0.8979264018691588
256,53,2240,top_k,0.9872225467289719
256,53,2304,threshold,0.906615070093458
256,53,2304,top_k,0.9894129672897196
256,53,2368,threshold,0.9226781542056075
256,53,2368,top_k,0.9929906542056075
256,53,2432,threshold,0.931804906542056
256,53,2432,top_k,0.9955461448598131
256,53,2496,threshold,0.946918808411215
256,53,2496,top_k,0.9958382009345794
256,53,2560,threshold,0.952759929906542
256,53,2560,top_k,0.9965683411214953
256,53,2624,threshold,0.9575058411214953
256,53,2624,top_k,0.9977365654205608
256,53,2688,threshold,0.9657564252336449
256,53,2688,top_k,0.9979556074766355
256,53,2752,threshold,0.9704293224299065
256,53,2752,top_k,0.9989047897196262
256,53,2816,threshold,0.9757593457943925
256,53,2816,top_k,0.999123831775701
256,53,2880,threshold,0.9788989485981309
256,53,2880,top_k,0.9989047897196262
256,53,2944,threshold,0.9814544392523364
256,53,2944,top_k,0.9992698598130841
256,53,3008,threshold,0.982257593457944
256,53,3008,top_k,0.9995619158878505
256,53,3072,threshold,0.9860543224299065
256,53,3072,top_k,0.9997809579439252
256,53,3136,threshold,0.9883177570093458
256,53,3136,top_k,0.9998539719626168
256,53,3200,threshold,0.9908732476635514
256,53,3200,top_k,0.9998539719626168
256,53,3264,threshold,0.991311331775701
256,53,3264,top_k,0.9998539719626168
256,53,3328,threshold,0.9939398364485982
256,53,3328,top_k,0.9998539719626168
256,53,3392,threshold,0.9938668224299065
256,53,3392,top_k,1.0
256,53,3456,threshold,0.9955461448598131
256,53,3456,top_k,0.9998539719626168
256,53,3520,threshold,0.9959112149532711
256,53,3520,top_k,1.0
256,53,3584,threshold,0.9958382009345794
256,53,3584,top_k,1.0
256,53,3648,threshold,0.9963492990654206
256,53,3648,top_k,0.9999269859813084
256,53,3712,threshold,0.9971524532710281
256,53,3712,top_k,1.0
256,53,3776,threshold,0.9970794392523364
256,53,3776,top_k,1.0
256,53,3840,threshold,0.9981016355140186
256,53,3840,top_k,1.0
256,53,3904,threshold,0.9977365654205608
256,53,3904,top_k,1.0
256,53,3968,threshold,0.9986127336448598
256,53,3968,top_k,1.0
256,53,4032,threshold,0.9985397196261683
256,53,4032,top_k,1.0
256,53,4096,threshold,0.999123831775701
256,53,4096,top_k,1.0
256,54,64,threshold,0.0
256,54,64,top_k,0.0
256,54,128,threshold,0.0
256,54,128,top_k,0.0
256,54,192,threshold,0.0
256,54,192,top_k,0.0
256,54,256,threshold,0.0
256,54,256,top_k,0.0
256,54,320,threshold,0.0
256,54,320,top_k,0.0
256,54,384,threshold,0.0
256,54,384,top_k,0.0
256,54,448,threshold,0.0
256,54,448,top_k,0.0
256,54,512,threshold,0.0
256,54,512,top_k,0.0
256,54,576,threshold,0.0
256,54,576,top_k,7.301401869158878e-05
256,54,640,threshold,7.301401869158878e-05
256,54,640,top_k,0.0003650700934579439
256,54,704,threshold,0.00021904205607476635
256,54,704,top_k,0.002263434579439252
256,54,768,threshold,0.0021174065420560746
256,54,768,top_k,0.009564836448598131
256,54,832,threshold,0.00598714953271028
256,54,832,top_k,0.021904205607476634
256,54,896,threshold,0.01255841121495327
256,54,896,top_k,0.04315128504672897
256,54,960,threshold,0.027088200934579438
256,54,960,top_k,0.08002336448598131
256,54,1024,threshold,0.05037967289719626
256,54,1024,top_k,0.13303154205607476
256,54,1088,threshold,0.08491530373831775
256,54,1088,top_k,0.2003504672897196
256,54,1152,threshold,0.12324766355140188
256,54,1152,top_k,0.27591997663551404
256,54,1216,threshold,0.1626752336448598
256,54,1216,top_k,0.3514894859813084
256,54,1280,threshold,0.21458820093457945
256,54,1280,top_k,0.4466997663551402
256,54,1344,threshold,0.2846086448598131
256,54,1344,top_k,0.5191296728971962
256,54,1408,threshold,0.3438230140186916
256,54,1408,top_k,0.6017085280373832
256,54,1472,threshold,0.39916764018691586
256,54,1472,top_k,0.6728971962616822
256,54,1536,threshold,0.4725467289719626
256,54,1536,top_k,0.7345940420560748
256,54,1600,threshold,0.5175233644859814
256,54,1600,top_k,0.7816880841121495
256,54,1664,threshold,0.5803884345794392
256,54,1664,top_k,0.8252044392523364
256,54,1728,threshold,0.6272634345794392
256,54,1728,top_k,0.8718603971962616
256,54,1792,threshold,0.6725321261682243
256,54,1792,top_k,0.8941296728971962
256,54,1856,threshold,0.7265625
256,54,1856,top_k,0.9201956775700935
256,54,1920,threshold,0.766501168224299
256,54,1920,top_k,0.9393253504672897
256,54,1984,threshold,0.789427570093458
256,54,1984,top_k,0.9550963785046729
256,54,2048,threshold,0.8208235981308412
256,54,2048,top_k,0.9631279205607477
256,54,2112,threshold,0.8425817757009346
256,54,2112,top_k,0.9705023364485982
256,54,2176,threshold,0.8629526869158879
256,54,2176,top_k,0.9793370327102804
256,54,2240,threshold,0.8825934579439252
256,54,2240,top_k,0.9839369158878505
256,54,2304,threshold,0.898072429906542
256,54,2304,top_k,0.9861273364485982
256,54,2368,threshold,0.9147926401869159
256,54,2368,top_k,0.989705023364486
256,54,2432,threshold,0.9244304906542056
256,54,2432,top_k,0.9919684579439252
256,54,2496,threshold,0.9353095794392523
256,54,2496,top_k,0.9951810747663551
256,54,2560,threshold,0.9434141355140186
256,54,2560,top_k,0.9970794392523364
256,54,2624,threshold,0.951518691588785
256,54,2624,top_k,0.9964953271028038
256,54,2688,threshold,0.9611565420560748
256,54,2688,top_k,0.9972254672897196
256,54,2752,threshold,0.9641501168224299
256,54,2752,top_k,0.9981746495327103
256,54,2816,threshold,0.969115070093458
256,54,2816,top_k,0.9983206775700935
256,54,2880,threshold,0.9741530373831776
256,54,2880,top_k,0.9986857476635514
256,54,2944,threshold,0.9787529205607477
256,54,2944,top_k,0.9989047897196262
256,54,3008,threshold,0.982768691588785
256,54,3008,top_k,0.9995619158878505
256,54,3072,threshold,0.9853971962616822
256,54,3072,top_k,0.9997079439252337
256,54,3136,threshold,0.9889748831775701
256,54,3136,top_k,0.9997809579439252
256,54,3200,threshold,0.9892669392523364
256,54,3200,top_k,0.9998539719626168
256,54,3264,threshold,0.9910192757009346
256,54,3264,top_k,0.9998539719626168
256,54,3328,threshold,0.9919684579439252
256,54,3328,top_k,0.9999269859813084
256,54,3392,threshold,0.9924795560747663
256,54,3392,top_k,0.9997809579439252
256,54,3456,threshold,0.9945239485981309
256,54,3456,top_k,0.9999269859813084
256,54,3520,threshold,0.994669976635514
256,54,3520,top_k,0.9999269859813084
256,54,3584,threshold,0.9952540887850467
256,54,3584,top_k,1.0
256,54,3648,threshold,0.9958382009345794
256,54,3648,top_k,1.0
256,54,3712,threshold,0.9972984813084113
256,54,3712,top_k,1.0
256,54,3776,threshold,0.9964223130841121
256,54,3776,top_k,0.9998539719626168
256,54,3840,threshold,0.9977365654205608
256,54,3840,top_k,1.0
256,54,3904,threshold,0.9980286214953271
256,54,3904,top_k,1.0
256,54,3968,threshold,0.9981746495327103
256,54,3968,top_k,1.0
256,54,4032,threshold,0.9981746495327103
256,54,4032,top_k,1.0
256,54,4096,threshold,0.9986127336448598
256,54,4096,top_k,1.0
256,55,64,threshold,0.0
256,55,64,top_k,0.0
256,55,128,threshold,0.0
256,55,128,top_k,0.0
256,55,192,threshold,0.0
256,55,192,top_k,0.0
256,55,256,threshold,0.0
256,55,256,top_k,0.0
256,55,320,threshold,0.0
256,55,320,top_k,0.0
256,55,384,threshold,0.0
256,55,384,top_k,0.0
256,55,448,threshold,0.0
256,55,448,top_k,0.0
256,55,512,threshold,0.0
256,55,512,top_k,0.0
256,55,576,threshold,0.0
256,55,576,top_k,0.0
256,55,640,threshold,0.00014602803738317756
256,55,640,top_k,0.0004380841121495327
256,55,704,threshold,0.0005110981308411214
256,55,704,top_k,0.0018253504672897196
256,55,768,threshold,0.0012412383177570093
256,55,768,top_k,0.006060163551401869
256,55,832,threshold,0.004380841121495327
256,55,832,top_k,0.017596378504672897
256,55,896,threshold,0.01087908878504673
256,55,896,top_k,0.03475467289719626
256,55,960,threshold,0.023072429906542055
256,55,960,top_k,0.0703125
256,55,1024,threshold,0.043443341121495324
256,55,1024,top_k,0.11550817757009346
256,55,1088,threshold,0.06454439252336448
256,55,1088,top_k,0.17494158878504673
256,55,1152,threshold,0.10178154205607477
256,55,1152,top_k,0.2460572429906542
256,55,1216,threshold,0.1504088785046729
256,55,1216,top_k,0.32191880841121495
256,55,1280,threshold,0.19801401869158877
256,55,1280,top_k,0.4174211448598131
256,55,1344,threshold,0.2597838785046729
256,55,1344,top_k,0.4842289719626168
256,55,1408,threshold,0.32148072429906543
256,55,1408,top_k,0.5698014018691588
256,55,1472,threshold,0.36930490654205606
256,55,1472,top_k,0.6341267523364486
256,55,1536,threshold,0.43187792056074764
256,55,1536,top_k,0.7056804906542056
256,55,1600,threshold,0.4936477803738318
256,55,1600,top_k,0.758688668224299
256,55,1664,threshold,0.5544684579439252
256,55,1664,top_k,0.8072429906542056
256,55,1728,threshold,0.6025116822429907
256,55,1728,top_k,0.8465245327102804
256,55,1792,threshold,0.6601197429906542
