# run: do-look-real-research
# time: 2025-11-20T11:22:13.426162+00:00
# command: project/eta_sweep_runner.py
# git_commit: 02a306d205aea27793f13fcdeab56cf7488e687c
# config: {"n": 1048576, "max_factor": 9, "max_eta": 0.4, "max_steps": 3, "threshold": false, "batch": 256, "max_floats": 4294967296, "device": "cuda"}
k,d,acc,eta,factor,step
1,31,1.0,0.0063492064364254475,2.142857313156128,79
1,33,1.0,0.0063492064364254475,2.2857143878936768,80
1,36,1.0,0.0063492064364254475,2.4285714626312256,81
1,38,1.0,0.0063492064364254475,2.5714287757873535,82
1,40,1.0,0.0063492064364254475,2.7142858505249023,83
1,42,1.0,0.0063492064364254475,2.857142925262451,84
1,44,1.0,0.0063492064364254475,3.000000238418579,85
1,46,1.0,0.0063492064364254475,3.142857313156128,86
1,48,1.0,0.0063492064364254475,3.2857143878936768,87
1,50,1.0,0.0063492064364254475,3.4285717010498047,88
1,53,1.0,0.0063492064364254475,3.5714287757873535,89
1,55,1.0,0.0063492064364254475,3.7142858505249023,90
1,57,1.0,0.0063492064364254475,3.857142925262451,91
1,59,1.0,0.0063492064364254475,4.0,92
1,61,1.0,0.0063492064364254475,4.142857551574707,93
1,63,1.0,0.0063492064364254475,4.285714626312256,94
1,65,1.0,0.0063492064364254475,4.428571701049805,95
1,67,1.0,0.0063492064364254475,4.571428298950195,96
1,70,1.0,0.0063492064364254475,4.714285373687744,97
1,72,1.0,0.0063492064364254475,4.857142448425293,98
1,74,1.0,0.0063492064364254475,5.0,99
1,76,1.0,0.0063492064364254475,5.142857074737549,100
1,78,1.0,0.0063492064364254475,5.285714149475098,101
1,80,1.0,0.0063492064364254475,5.4285712242126465,102
1,82,1.0,0.0063492064364254475,5.571428298950195,103
1,84,1.0,0.0063492064364254475,5.714285373687744,104
1,87,1.0,0.0063492064364254475,5.857142925262451,105
1,89,1.0,0.0063492064364254475,6.0,106
1,91,1.0,0.0063492064364254475,6.142857074737549,107
1,93,1.0,0.0063492064364254475,6.285714149475098,108
1,95,1.0,0.0063492064364254475,6.4285712242126465,109
1,97,1.0,0.0063492064364254475,6.571428298950195,110
1,99,1.0,0.0063492064364254475,6.714285850524902,111
1,101,1.0,0.0063492064364254475,6.857142925262451,112
1,104,1.0,0.0063492064364254475,7.0,113
1,106,1.0,0.0063492064364254475,7.142857074737549,114
1,108,1.0,0.0063492064364254475,7.285714149475098,115
1,110,1.0,0.0063492064364254475,7.4285712242126465,116
1,112,1.0,0.0063492064364254475,7.571428298950195,117
1,114,1.0,0.0063492064364254475,7.714285850524902,118
1,116,1.0,0.0063492064364254475,7.857142925262451,119
1,118,1.0,0.0063492064364254475,8.0,120
1,121,1.0,0.0063492064364254475,8.142857551574707,121
1,123,1.0,0.0063492064364254475,8.285714149475098,122
1,125,1.0,0.0063492064364254475,8.428571701049805,123
1,127,1.0,0.0063492064364254475,8.571428298950195,124
1,129,1.0,0.0063492064364254475,8.714285850524902,125
1,131,1.0,0.0063492064364254475,8.857142448425293,126
1,133,1.0,0.0063492064364254475,9.0,127
1,1,0.0,0.012698412872850895,0.0,128
1,2,0.0,0.012698412872850895,0.1428571492433548,129
1,4,0.0,0.012698412872850895,0.2857142984867096,130
1,6,0.0,0.012698412872850895,0.4285714626312256,131
1,8,0.0,0.012698412872850895,0.5714285969734192,132
1,10,0.00390625,0.012698412872850895,0.7142857313156128,133
1,12,0.0,0.012698412872850895,0.8571429252624512,134
1,14,0.0078125,0.012698412872850895,1.0,135
