# run: want-similar-door-money
# time: 2025-11-20T11:44:59.248153+00:00
# command: project/eta_sweep_runner.py
# git_commit: 02a306d205aea27793f13fcdeab56cf7488e687c
# config: {"n": 256, "max_factor": 9, "max_eta": 0.4, "max_steps": 2, "threshold": false, "batch": 256, "max_floats": 4294967296, "device": "cuda"}
k,d,acc,eta,factor,step
1,1,0.00390625,0.0,0.0,0
1,1,0.01171875,0.0,0.1428571492433548,1
1,1,0.01171875,0.0,0.2857142984867096,2
1,2,0.01953125,0.0,0.4285714626312256,3
1,3,0.0390625,0.0,0.5714285969734192,4
1,4,0.03125,0.0,0.7142857313156128,5
1,5,0.12109375,0.0,0.8571429252624512,6
1,6,0.19921875,0.0,1.0,7
1,7,0.4453125,0.0,1.1428571939468384,8
1,8,0.6796875,0.0,1.2857143878936768,9
1,9,0.71484375,0.0,1.4285714626312256,10
1,10,0.87109375,0.0,1.571428656578064,11
1,11,0.9296875,0.0,1.7142858505249023,12
1,12,0.984375,0.0,1.8571429252624512,13
1,13,0.98828125,0.0,2.0,14
1,14,0.99609375,0.0,2.142857313156128,15
1,14,1.0,0.0,2.2857143878936768,16
1,15,1.0,0.0,2.4285714626312256,17
1,16,0.9921875,0.0,2.5714287757873535,18
1,17,1.0,0.0,2.7142858505249023,19
1,18,1.0,0.0,2.857142925262451,20
1,19,1.0,0.0,3.000000238418579,21
1,20,1.0,0.0,3.142857313156128,22
1,21,1.0,0.0,3.2857143878936768,23
1,22,1.0,0.0,3.4285717010498047,24
1,23,1.0,0.0,3.5714287757873535,25
1,24,1.0,0.0,3.7142858505249023,26
1,25,1.0,0.0,3.857142925262451,27
1,26,1.0,0.0,4.0,28
1,27,1.0,0.0,4.142857551574707,29
1,28,1.0,0.0,4.285714626312256,30
1,28,1.0,0.0,4.428571701049805,31
1,29,1.0,0.0,4.571428298950195,32
1,30,1.0,0.0,4.714285373687744,33
1,31,1.0,0.0,4.857142448425293,34
1,32,1.0,0.0,5.0,35
1,33,1.0,0.0,5.142857074737549,36
1,34,1.0,0.0,5.285714149475098,37
1,35,1.0,0.0,5.4285712242126465,38
1,36,1.0,0.0,5.571428298950195,39
1,37,1.0,0.0,5.714285373687744,40
1,38,1.0,0.0,5.857142925262451,41
1,39,1.0,0.0,6.0,42
1,40,1.0,0.0,6.142857074737549,43
1,41,1.0,0.0,6.285714149475098,44
1,42,1.0,0.0,6.4285712242126465,45
1,43,1.0,0.0,6.571428298950195,46
1,43,1.0,0.0,6.714285850524902,47
1,44,1.0,0.0,6.857142925262451,48
1,45,1.0,0.0,7.0,49
1,46,1.0,0.0,7.142857074737549,50
1,47,1.0,0.0,7.285714149475098,51
1,48,1.0,0.0,7.4285712242126465,52
1,49,1.0,0.0,7.571428298950195,53
1,50,1.0,0.0,7.714285850524902,54
1,51,1.0,0.0,7.857142925262451,55
1,52,1.0,0.0,8.0,56
1,53,1.0,0.0,8.142857551574707,57
1,54,1.0,0.0,8.285714149475098,58
1,55,1.0,0.0,8.428571701049805,59
1,56,1.0,0.0,8.571428298950195,60
1,57,1.0,0.0,8.714285850524902,61
1,57,1.0,0.0,8.857142448425293,62
1,58,1.0,0.0,9.0,63
1,1,0.015625,0.0063492064364254475,0.0,64
1,1,0.01171875,0.0063492064364254475,0.1428571492433548,65
1,1,0.0078125,0.0063492064364254475,0.2857142984867096,66
1,2,0.00390625,0.0063492064364254475,0.4285714626312256,67
1,3,0.05078125,0.0063492064364254475,0.5714285969734192,68
1,4,0.04296875,0.0063492064364254475,0.7142857313156128,69
1,5,0.140625,0.0063492064364254475,0.8571429252624512,70
1,6,0.2265625,0.0063492064364254475,1.0,71
1,7,0.41015625,0.0063492064364254475,1.1428571939468384,72
1,8,0.58984375,0.0063492064364254475,1.2857143878936768,73
1,9,0.69921875,0.0063492064364254475,1.4285714626312256,74
1,10,0.88671875,0.0063492064364254475,1.571428656578064,75
1,11,0.94140625,0.0063492064364254475,1.7142858505249023,76
1,12,0.96484375,0.0063492064364254475,1.8571429252624512,77
1,13,0.9921875,0.0063492064364254475,2.0,78
1,14,0.99609375,0.0063492064364254475,2.142857313156128,79
1,14,0.98828125,0.0063492064364254475,2.2857143878936768,80
1,15,1.0,0.0063492064364254475,2.4285714626312256,81
1,16,1.0,0.0063492064364254475,2.5714287757873535,82
1,17,1.0,0.0063492064364254475,2.7142858505249023,83
1,18,1.0,0.0063492064364254475,2.857142925262451,84
1,19,1.0,0.0063492064364254475,3.000000238418579,85
1,20,1.0,0.0063492064364254475,3.142857313156128,86
1,21,1.0,0.0063492064364254475,3.2857143878936768,87
1,22,1.0,0.0063492064364254475,3.4285717010498047,88
1,23,1.0,0.0063492064364254475,3.5714287757873535,89
1,24,1.0,0.0063492064364254475,3.7142858505249023,90
1,25,1.0,0.0063492064364254475,3.857142925262451,91
1,26,1.0,0.0063492064364254475,4.0,92
1,27,1.0,0.0063492064364254475,4.142857551574707,93
1,28,1.0,0.0063492064364254475,4.285714626312256,94
1,28,1.0,0.0063492064364254475,4.428571701049805,95
1,29,1.0,0.0063492064364254475,4.571428298950195,96
1,30,1.0,0.0063492064364254475,4.714285373687744,97
1,31,1.0,0.0063492064364254475,4.857142448425293,98
1,32,1.0,0.0063492064364254475,5.0,99
1,33,1.0,0.0063492064364254475,5.142857074737549,100
1,34,1.0,0.0063492064364254475,5.285714149475098,101
1,35,1.0,0.0063492064364254475,5.4285712242126465,102
1,36,1.0,0.0063492064364254475,5.571428298950195,103
1,37,1.0,0.0063492064364254475,5.714285373687744,104
1,38,1.0,0.0063492064364254475,5.857142925262451,105
1,39,1.0,0.0063492064364254475,6.0,106
1,40,1.0,0.0063492064364254475,6.142857074737549,107
1,41,1.0,0.0063492064364254475,6.285714149475098,108
1,42,1.0,0.0063492064364254475,6.4285712242126465,109
1,43,1.0,0.0063492064364254475,6.571428298950195,110
1,43,1.0,0.0063492064364254475,6.714285850524902,111
1,44,1.0,0.0063492064364254475,6.857142925262451,112
1,45,1.0,0.0063492064364254475,7.0,113
1,46,1.0,0.0063492064364254475,7.142857074737549,114
1,47,1.0,0.0063492064364254475,7.285714149475098,115
1,48,1.0,0.0063492064364254475,7.4285712242126465,116
1,49,1.0,0.0063492064364254475,7.571428298950195,117
1,50,1.0,0.0063492064364254475,7.714285850524902,118
1,51,1.0,0.0063492064364254475,7.857142925262451,119
1,52,1.0,0.0063492064364254475,8.0,120
1,53,1.0,0.0063492064364254475,8.142857551574707,121
1,54,1.0,0.0063492064364254475,8.285714149475098,122
1,55,1.0,0.0063492064364254475,8.428571701049805,123
1,56,1.0,0.0063492064364254475,8.571428298950195,124
1,57,1.0,0.0063492064364254475,8.714285850524902,125
1,57,1.0,0.0063492064364254475,8.857142448425293,126
1,58,1.0,0.0063492064364254475,9.0,127
1,1,0.015625,0.012698412872850895,0.0,128
1,1,0.0078125,0.012698412872850895,0.1428571492433548,129
1,1,0.0,0.012698412872850895,0.2857142984867096,130
1,2,0.0234375,0.012698412872850895,0.4285714626312256,131
1,3,0.03125,0.012698412872850895,0.5714285969734192,132
1,4,0.04296875,0.012698412872850895,0.7142857313156128,133
1,5,0.1328125,0.012698412872850895,0.8571429252624512,134
1,6,0.265625,0.012698412872850895,1.0,135
1,7,0.41796875,0.012698412872850895,1.1428571939468384,136
1,8,0.578125,0.012698412872850895,1.2857143878936768,137
1,9,0.73828125,0.012698412872850895,1.4285714626312256,138
1,10,0.91015625,0.012698412872850895,1.571428656578064,139
1,11,0.9609375,0.012698412872850895,1.7142858505249023,140
1,12,0.96484375,0.012698412872850895,1.8571429252624512,141
1,13,0.99609375,0.012698412872850895,2.0,142
1,14,0.99609375,0.012698412872850895,2.142857313156128,143
1,14,1.0,0.012698412872850895,2.2857143878936768,144
1,15,0.99609375,0.012698412872850895,2.4285714626312256,145
1,16,1.0,0.012698412872850895,2.5714287757873535,146
1,17,1.0,0.012698412872850895,2.7142858505249023,147
1,18,1.0,0.012698412872850895,2.857142925262451,148
1,19,1.0,0.012698412872850895,3.000000238418579,149
1,20,1.0,0.012698412872850895,3.142857313156128,150
1,21,1.0,0.012698412872850895,3.2857143878936768,151
1,22,1.0,0.012698412872850895,3.4285717010498047,152
1,23,1.0,0.012698412872850895,3.5714287757873535,153
1,24,1.0,0.012698412872850895,3.7142858505249023,154
1,25,1.0,0.012698412872850895,3.857142925262451,155
1,26,1.0,0.012698412872850895,4.0,156
1,27,1.0,0.012698412872850895,4.142857551574707,157
1,28,1.0,0.012698412872850895,4.285714626312256,158
